date,start_date,end_date,REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,OT,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,YEAR_WEEK,search_fact,report_fact
2000-04-10,2000-04-10,2000-04-16,National,X,2000,16,0.607002,0.451177,107,X,96,120,X,24,347,280,76910,2000-16,"The Division of Viral and Rickettsial Diseases, National Center for Infectious Diseases, USA updated recommendations for the prevention and control of influenza in 2000.",NA
2000-04-17,2000-04-17,2000-04-23,National,X,2000,17,0.600003,0.438685,112,X,80,141,X,14,347,274,79100,2000-17,"Objective facts about the Pulic Health and FLU situation: 
The CDC has a strategic plan for preparedness and response to biological and chemical terrorism, including emerging infectious diseases. 
Vaccination of healthcare workers should be considered part of a broader infection control policy for healthcare facilities. 
The United States has a system for reporting and tracking infectious diseases, including influenza.",NA
2000-04-24,2000-04-24,2000-04-30,National,X,2000,18,0.547247,0.440517,93,X,77,147,X,7,324,257,73550,2000-18,"Influenza epidemics occur nearly every year, and influenza and pneumonia are important causes of death in the United States.",NA
2000-05-01,2000-05-01,2000-05-07,National,X,2000,19,0.476417,0.351667,67,X,77,85,X,10,239,248,67962,2000-19,"The kinetics of virus replication, antibody response, and the roles of various interferons during influenza virus infection have been studied.",NA
2000-05-08,2000-05-08,2000-05-14,National,X,2000,20,0.445917,0.36646,79,X,64,65,X,11,219,233,59761,2000-20,"Mortality from pneumonia in children in the United States has declined markedly since 1939, with a sustained decline after the influenza A pandemic.",NA
2000-05-15,2000-05-15,2000-05-21,National,X,2000,21,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-21,"The influenza A virus infection can be diagnosed using monoclonal antibodies, and dietary vitamin A can enhance the immune response to the infection.",NA
2000-05-22,2000-05-22,2000-05-28,National,X,2000,22,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-22,"Objective facts about the Pulic Health and FLU situation:
Oseltamivir was found to be effective and well-tolerated in the treatment of natural influenza infection in adults in a study published on May 27, 2000. 
A study published on May 22, 2000, compared the central nervous system adverse effects of amantadine and rimantadine in the prophylaxis of influenza A infection. 
The United States General Accounting Office reported on May 24, 2000, that all veterans who are at increased risk from influenza infection and veterans with certain medical conditions should receive influenza vaccine.",NA
2000-05-29,2000-05-29,2000-06-04,National,X,2000,23,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-23,The majority of cases of influenza-like illnesses occur in the fall and winter.,NA
2000-06-05,2000-06-05,2000-06-11,National,X,2000,24,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-24,"Objective facts about the Pulic Health and FLU situation: 
Influenza virus replication is affected by cytotoxic T cell-resistant variants . 
Influenza activity was reported in the United States and worldwide in 1999 .",NA
2000-06-12,2000-06-12,2000-06-18,National,X,2000,25,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-25,"Influenza virus is responsible for up to 70,000 deaths a year in the United States and 20,000,000 worldwide in the worst epidemic years.",NA
2000-06-19,2000-06-19,2000-06-25,National,X,2000,26,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-26,"Objective facts about the Pulic Health and FLU situation:
Mice can recover from pulmonary influenza virus infection in the absence of class I-restricted cytotoxic T cells. 
Annual influenza vaccination is recommended for patients with Krabbe disease.",NA
2000-06-26,2000-06-26,2000-07-02,National,X,2000,27,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-27,"Objective facts about the Pulic Health and FLU situation:
The United States estimates that 95%-97% of cases of meningococcal disease are related to Influenza A infection. 
Influenza viruses can infect cells without surface-accessible sialic acid, leading to two proposed models for entry.",NA
2000-07-03,2000-07-03,2000-07-09,National,X,2000,28,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-28,The provided search results do not contain any objective facts about the current Pulic Health and FLU situation.,NA
2000-07-10,2000-07-10,2000-07-16,National,X,2000,29,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-29,"Objective facts about the Pulic Health and FLU situation:
NO synthase 2 (NOS2) is induced in airway epithelium by influenza virus infection. 
Influenza virus continues to both frighten and fascinate us with its capacity for change. 
Influenza virus infection can occur in individuals with a deficiency in the dsRNA-dependent protein kinase PKR.",NA
2000-07-17,2000-07-17,2000-07-23,National,X,2000,30,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-30,"Objective facts about the Pulic Health and FLU situation:
B-1 and B-2 cell-derived immunoglobulin M antibodies are involved in the protective response to influenza virus infection. 
Natural Interferon α/β–Producing Cells link innate and adaptive immunity during influenza infection.",NA
2000-07-24,2000-07-24,2000-07-30,National,X,2000,31,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-31,"There were 2,337,256 deaths reported in the United States in 1998.",NA
2000-07-31,2000-07-31,2000-08-06,National,X,2000,32,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-32,"Objective facts about the Pulic Health and FLU situation: 
Influenza A virus is a significant public health concern, and research has been conducted on its relationship with reactive oxygen and nitrogen intermediates. 
Influenza Spotlight is a feature on the CDC website, indicating that influenza is a priority for public health monitoring. 
Amantadine is a medication used to treat or prevent Influenza A viral infection and has a currently accepted medical use in the United States.",NA
2000-08-07,2000-08-07,2000-08-13,National,X,2000,33,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-33,"The spread of communicable diseases, such as influenza type b and hepatitis B, can be prevented through vaccination.",NA
2000-08-14,2000-08-14,2000-08-20,National,X,2000,34,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-34,"In the United States, pneumonia and influenza death rates have been tracked by the CDC.",NA
2000-08-21,2000-08-21,2000-08-27,National,X,2000,35,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-35,"The United States government has official websites providing information on public health topics, including influenza virus infection and pulmonary host defense.",NA
2000-08-28,2000-08-28,2000-09-03,National,X,2000,36,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-36,Influenza infections can cause major discomforts and are a significant public health concern.,NA
2000-09-04,2000-09-04,2000-09-10,National,X,2000,37,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-37,"Objective facts about the Pulic Health and FLU situation: 
Influenza virus infections are a significant public health concern, and pneumonia is the sixth most common cause of death in the United States.",NA
2000-09-11,2000-09-11,2000-09-17,National,X,2000,38,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-38,"Lower respiratory tract infections (RTIs), including influenza, are the most common cause of death by infection in the United States.",NA
2000-09-18,2000-09-18,2000-09-24,National,X,2000,39,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-39,Pneumonia and influenza accounted for most of the infectious disease deaths in the United States during 1900-1996.,NA
2000-09-25,2000-09-25,2000-10-01,National,X,2000,40,1.04113,1.22865,206,X,322,443,X,70,1041,337,84727,2000-40,"Objective facts about the Pulic Health and FLU situation: 
Pneumococcal disease is a significant cause of morbidity and mortality in the United States. 
Infectious disease (e.g., pneumonia and influenza) was the sixth leading cause of death in the United States in 1998. 
In the U.S., four common respiratory illnesses (common cold, influenza, pneumonia, and bronchitis) cause about 176 million days lost from work and an additional economic burden.",NA
2000-10-02,2000-10-02,2000-10-08,National,X,2000,41,1.2871,1.05545,270,X,389,489,X,86,1234,451,116917,2000-41,"Objective facts about the Pulic Health and FLU situation:
Vaccinating day care children against influenza can be effective in reducing disease transmission. 
Influenza virus infection can occur in people 12 years of age or older, and primary or concomitant bacterial infection could occur. 
Expression of the influenza virus hemagglutinin (HA) is a result of virus infection.",NA
2000-10-09,2000-10-09,2000-10-15,National,X,2000,42,1.28299,1.15984,390,X,458,617,X,96,1561,487,134587,2000-42,"The articles suggest a focus on influenza virus research, including the development of assay systems for studying inhibitors, vaccination for healthcare workers, and the study of various influenza virus strains.",NA
2000-10-16,2000-10-16,2000-10-22,National,X,2000,43,1.34081,1.22688,411,X,564,683,X,123,1781,507,145165,2000-43,"Objective facts about the Pulic Health and FLU situation:
The majority of toxoplasmosis cases in the United States are acquired through eating contaminated food. 
Negative test results do not preclude influenza viral infection and should not be used as the sole basis for patient management. 
Colds are often the result of transient infections of the mucosa of the upper respiratory tract from a variety of viruses. 
Host-range restrictions govern the transmission of the majority of avian influenza viruses.",NA
2000-10-23,2000-10-23,2000-10-29,National,X,2000,44,1.0555,1.24107,465,X,564,703,X,138,1870,526,150676,2000-44,"Objective facts about the Pulic Health and FLU situation: 
The 1918 flu epidemic was extremely rapid and virulent, with a rapid spread and development of infection. 
In 2000, there were concerns about undetected infectious diseases, including subtypes of influenza, among human trafficking victims.",NA
2000-10-30,2000-10-30,2000-11-05,National,X,2000,45,1.14136,1.4316,564,X,635,849,X,181,2229,545,155700,2000-45,"Objective facts about the Pulic Health and FLU situation: 
Examples of public health emergencies may include a natural outbreak of an infectious disease, i.e., influenza. 
The influenza vaccination can cause onset of pain in some individuals. 
Maternal influenza vaccines can protect infants.",NA
2000-11-06,2000-11-06,2000-11-12,National,X,2000,46,1.44111,1.49427,572,X,736,979,X,162,2449,571,163893,2000-46,"Influenza epidemics have a significant impact on mortality in the United States, with an estimated 712-716 deaths from October 1972 to May 1985.",NA
2000-11-13,2000-11-13,2000-11-19,National,X,2000,47,1.95735,1.84268,704,X,646,913,X,154,2417,569,131168,2000-47,Influenza infection can contribute to the development of atherosclerosis and cardiovascular disease.,NA
2000-11-20,2000-11-20,2000-11-26,National,X,2000,48,1.61928,1.59762,673,X,900,1085,X,196,2854,581,178641,2000-48,"The FDA approved Tamiflu for the prevention of influenza illness in adults on November 20, 2000.",NA
2000-11-27,2000-11-27,2000-12-03,National,X,2000,49,1.7844,1.73473,710,X,916,1232,X,239,3097,595,178529,2000-49,Influenza and pneumonia were the sixth leading causes of death in the United States in 2000.,NA
2000-12-04,2000-12-04,2000-12-10,National,X,2000,50,2.34423,2.04538,677,X,1077,1455,X,185,3394,600,165935,2000-50,"Influenza A virus infection causes severe seasonal epidemics, especially in the elderly and in young children, partly because of poor immune function.",NA
2000-12-11,2000-12-11,2000-12-17,National,X,2000,51,2.69528,2.41051,767,X,1052,1337,X,205,3361,585,139431,2000-51,The neuraminidase inhibitor zanamivir has been shown to be effective and safe in the treatment of influenza virus infections.,NA
2000-12-18,2000-12-18,2000-12-24,National,X,2000,52,3.8618,3.38334,1059,X,1496,1335,X,262,4152,587,122719,2000-52,There is evidence that viral infections such as the common cold and influenza can affect sleep.,NA
2001-01-01,2001-01-01,2001-01-07,National,X,2001,1,3.505,3.2288,1049,X,1855,1571,X,321,4796,591,148538,2001-1,"Objective facts about the Pulic Health and FLU situation:
The introduction of the H influenzae type b vaccine in 1990 reduced the incidence of infections and complications. 
Canine influenza has become a concern in the United States, and vaccination is recommended for dogs that frequently contact other dogs.",NA
2001-01-08,2001-01-08,2001-01-14,National,X,2001,2,3.43804,3.11951,1081,X,1722,2423,X,318,5544,611,177720,2001-2,Influenza viruses assemble at the plasma membrane of the cell.,NA
2001-01-15,2001-01-15,2001-01-21,National,X,2001,3,4.3928,3.80424,1395,X,1806,3223,X,293,6717,617,176566,2001-3,"Pneumonia and influenza combined are the sixth leading cause of death in the United States, and about 90 percent of these deaths occur in older adults.",NA
2001-01-22,2001-01-22,2001-01-28,National,X,2001,4,4.21339,4.18681,1542,X,1991,4057,X,318,7908,626,188879,2001-4,The FDA approved Tamiflu for the prevention of naturally occurring influenza A & B in adults and adolescents 13 years and older in 2001.,NA
2001-01-29,2001-01-29,2001-02-04,National,X,2001,5,4.35364,3.9865,1329,X,1958,3705,X,295,7287,578,182792,2001-5,Amantadine is effective against infection with influenza A viruses but not influenza B viruses.,NA
2001-02-05,2001-02-05,2001-02-11,National,X,2001,6,3.69969,3.60607,1370,X,1731,3017,X,358,6476,566,179586,2001-6,"At the beginning of the 20th century, infectious diseases were widely prevalent in the United States and exacted an enormous toll on the population.",NA
2001-02-12,2001-02-12,2001-02-18,National,X,2001,7,2.81921,2.81015,1059,X,1393,2126,X,254,4832,566,171948,2001-7,"Objective facts about the Pulic Health and FLU situation:
- In the United States, only a few cases of polio have been reported since 2000. 
- Influenza vaccine is available in aluminium hydroxide adjuvant. 
- Pneumonia and influenza caused 14,016 deaths in the United States in 2001. 
- Influenza transmission can be prevented by healthcare and public health measures.",NA
2001-02-19,2001-02-19,2001-02-25,National,X,2001,8,2.55294,2.41561,834,X,1278,1566,X,245,3923,540,162402,2001-8,"Objective facts about the Pulic Health and FLU situation: 
In 1999, there were 62 cases of West Nile Virus in New York City, with 7 deaths. 
Influenza virus-infected epithelial cells present antigens to the immune system. 
H1N1 2009 influenza vaccine (Pandemrix) was studied in a self-controlled case series study.",NA
2001-02-26,2001-02-26,2001-03-04,National,X,2001,9,1.90167,1.73272,683,X,752,1008,X,163,2606,511,150399,2001-9,The leading causes of death in the United States in 1900 were influenza and other infectious diseases.,NA
2001-03-05,2001-03-05,2001-03-11,National,X,2001,10,1.68033,1.64319,622,X,854,934,X,152,2562,510,155916,2001-10,"The Saudi state has implemented measures to prevent the spread of travel-related infections, including influenza, during mass gatherings like Hajj.",NA
2001-03-12,2001-03-12,2001-03-18,National,X,2001,11,1.6254,1.35803,524,X,522,762,X,135,1943,472,143075,2001-11,Influenza infection is responsible for thousands of hospitalizations and deaths in the United States each year.,NA
2001-03-19,2001-03-19,2001-03-25,National,X,2001,12,1.45957,1.39027,485,X,507,751,X,136,1879,460,135154,2001-12,"Objective facts about the Pulic Health and FLU situation:
In Japan, the use of influenza vaccine fell to very low levels. 
In the United States, there were similar questions about the use of influenza vaccine in the early years. 
Haemophilus influenzae type b infections were a concern in the United States, with epidemiological studies conducted.",NA
2001-03-26,2001-03-26,2001-04-01,National,X,2001,13,1.32376,1.2237,465,X,419,575,X,131,1590,442,129934,2001-13,"Objective facts about the Pulic Health and FLU situation:
Seasonal variation in infectious diseases, including influenza, may have an effect on schizophrenia and season of birth in a tropical region. 
Annual influenza vaccinations are part of routine childhood vaccinations in the United States. 
Leptospirosis is an example of an emerging infection in the United States. 
Respiratory tract infections, including influenza, have a significant economic cost in the United States.",NA
2001-04-02,2001-04-02,2001-04-08,National,X,2001,14,0.920073,1.11908,288,X,421,421,X,126,1256,371,112235,2001-14,"The U.S. Department of Health & Human Services has an Action Plan to Prevent Healthcare-Associated Infections, which includes influenza vaccination of healthcare personnel.",NA
2001-04-09,2001-04-09,2001-04-15,National,X,2001,15,0.779257,0.938967,219,X,305,344,X,82,950,349,101175,2001-15,"The influenza virus neuraminidase (NA) can be inhibited by transition state analog inhibitors such as 2,3-didehydro-2-deoxy-N:-acetylneuraminic acid (DANA) .",NA
2001-04-16,2001-04-16,2001-04-22,National,X,2001,16,0.991303,0.944308,234,X,344,331,X,88,997,342,105580,2001-16,The influenza cap-dependent endonuclease has active sites that play a role in the viral infection process.,NA
2001-04-23,2001-04-23,2001-04-29,National,X,2001,17,0.82693,0.742603,198,X,253,274,X,46,771,334,103824,2001-17,"Objective facts about the Pulic Health and FLU situation:
* Seasonal influenza vaccines are available. 
* Influenza type B is a concern for public health. 
* NA (no other relevant objective facts found)",NA
2001-04-30,2001-04-30,2001-05-06,National,X,2001,18,0.588952,0.735456,173,X,225,265,X,71,734,322,99802,2001-18,"Objective facts about the Pulic Health and FLU situation:
Influenza outbreaks occurred in the United States during the 1985-1986 season .
Influenza-like illness outbreaks were reported in several states in the United States .
Influenza vaccine was developed in the United States to prevent infection .
Meningococcal disease outbreaks occurred in the United States, with documented secondary cases of infection .",NA
2001-05-07,2001-05-07,2001-05-13,National,X,2001,19,0.605586,0.725155,165,X,196,250,X,60,671,293,92532,2001-19,Influenza infection can cause high-density lipoprotein (HDL) to lose its anti-inflammatory properties.,NA
2001-05-14,2001-05-14,2001-05-20,National,X,2001,20,0.49434,0.670346,94,X,159,179,X,38,470,262,70113,2001-20,The intranasal administration of Lactobacillus casei Shirota has been shown to protect against influenza virus infection in the respiratory tract.,NA
2001-05-21,2001-05-21,2001-05-27,National,X,2001,21,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-21,The CD8(+) T cell diaspora has been analyzed after secondary challenge with an influenza A virus that replicates only in the respiratory tract.,NA
2001-05-28,2001-05-28,2001-06-03,National,X,2001,22,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-22,"Objective facts about the Pulic Health and FLU situation: 
Influenza activity was reported in the United States as of June 3, 2001.",NA
2001-06-04,2001-06-04,2001-06-10,National,X,2001,23,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-23,"Influenza is a reportable disease in Prince George's County, Maryland, and novel influenza A virus infections are included in the reportable diseases list.",NA
2001-06-11,2001-06-11,2001-06-17,National,X,2001,24,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-24,"The absence of FcR gamma(-/-) in mice makes them more susceptible to lethal influenza virus infection, highlighting the importance of opsonophagocytosis in protection against influenza.",NA
2001-06-18,2001-06-18,2001-06-24,National,X,2001,25,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-25,"Objective facts about the Pulic Health and FLU situation: 
There is no direct information about the current Pulic Health and FLU situation. However, there are references to smallpox vaccine, smallpox surveillance, and influenza pandemic/virus infection in the provided search results.",NA
2001-06-25,2001-06-25,2001-07-01,National,X,2001,26,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-26,"The influenza A virus can cause severe T-cell lymphopenia and moderate B-cell lymphopenia in infected individuals, even with seroconversion.",NA
2001-07-02,2001-07-02,2001-07-08,National,X,2001,27,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-27,"There is no direct information about the current Public Health and FLU situation. However, there are mentions of influenza-like symptoms, Haemophilus influenzae, and influenza virus infection.",NA
2001-07-09,2001-07-09,2001-07-15,National,X,2001,28,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-28,"Objective facts about the Pulic Health and FLU situation:
Influenza virus is a pathogen that can cause upper respiratory tract infections, which can lead to acute otitis media (AOM) in the United States. 
In the United States, respiratory illnesses, including colds and flu, are common infection problems. 
Influenza-like illnesses are part of the syndromes of interest in infectious disease control in the United States.",NA
2001-07-16,2001-07-16,2001-07-22,National,X,2001,29,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-29,"The flu is mentioned as a relevant disease in the context of public health, specifically in relation to vaccination and infectious disease management.",NA
2001-07-23,2001-07-23,2001-07-29,National,X,2001,30,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-30,"The Centers for Disease Control and Prevention (CDC) has a public health response to infectious diseases, including influenza.",NA
2001-07-30,2001-07-30,2001-08-05,National,X,2001,31,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-31,"Objective facts about the Pulic Health and FLU situation:
In 2000, there was a West Nile Fever Outbreak in Israel . In 1999, West Nile virus emerged in New York . Influenza viruses are a type of pathogen that can be transmitted through food .",NA
2001-08-06,2001-08-06,2001-08-12,National,X,2001,32,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-32,"The article ""Medl Cal Eligibility Procedures Manual Letter Number 246"" mentions influenza Type B as one of the diseases that can affect individuals.",NA
2001-08-13,2001-08-13,2001-08-19,National,X,2001,33,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-33,"Objective facts about the Pulic Health and FLU situation:
The National Center for Health Statistics published ""Health, United States, 2001"" which included an Urban and Rural Health Chartbook. 
A study in 2001 found that long-term use of oseltamivir can be effective for the prophylaxis of influenza in frail older adults. 
Handwashing has been shown to reduce respiratory illness among young adults in military training.",NA
2001-08-20,2001-08-20,2001-08-26,National,X,2001,34,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-34,The United States Department of Agriculture has reported on infectious diseases such as influenza and Mycoplasma gallisepticum infection in animals.,NA
2001-08-27,2001-08-27,2001-09-02,National,X,2001,35,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-35,The 1918-1919 influenza pandemic killed more than 20 million people worldwide.,NA
2001-09-03,2001-09-03,2001-09-09,National,X,2001,36,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-36,"Objective facts about the Pulic Health and FLU situation:
In the United States, up to 22% of Streptococcus pneumoniae infections are drug-resistant. 
Approximately 6000 people die annually in the United States from influenza.",NA
2001-09-10,2001-09-10,2001-09-16,National,X,2001,37,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-37,"Objective facts about the Pulic Health and FLU situation:
Antigen-specific CD8(+) T cells persist in the upper respiratory tract following influenza virus infection. 
Influenza infections are a severe infectious disease disaster. 
Respiratory syncytial virus (RSV) infections are a significant public health concern, with an annual cost of $300 million in the United States.",NA
2001-09-17,2001-09-17,2001-09-23,National,X,2001,38,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-38,"Objective facts about the Pulic Health and FLU situation: 
In 1999, the age-adjusted death rate for the United States included influenza and pneumonia as a leading cause of death. 
Influenza infection affects all age groups, but the rates of serious morbidity and mortality tend to be highest among those aged 65 years and over.",NA
2001-09-24,2001-09-24,2001-09-30,National,X,2001,39,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-39,"Objective facts about the Pulic Health and FLU situation:
Chronic Obstructive Pulmonary Disease (COPD) is the 4th leading cause of death in the United States and patients with COPD should receive pneumococcal and influenza vaccines.",NA
2001-10-01,2001-10-01,2001-10-07,National,X,2001,40,1.41046,0.997404,429,X,372,485,X,82,1368,607,137156,2001-40,"The influenza virus is responsible for over 20,000 deaths annually and up to 300,000 hospitalizations in the United States.",NA
2001-10-08,2001-10-08,2001-10-14,National,X,2001,41,1.77019,1.09692,479,X,526,628,X,114,1747,646,159264,2001-41,"The leading causes of death in the United States in 1999 included influenza and pneumonia, with a total of 64,751 deaths.",NA
2001-10-15,2001-10-15,2001-10-21,National,X,2001,42,1.61904,1.1679,562,X,560,697,X,113,1932,690,165425,2001-42,"Objective facts about the Pulic Health and FLU situation:
In 1918, during the first wave of the pandemic, most susceptible young adults were infected with influenza. 
Equine influenza virus is one of the most common causes of Infectious Upper Respiratory Disease (IURD) in horses. 
Influenza A and parainfluenza virus 3 were important causes of Acute Respiratory Infection (ARI) among children.",NA
2001-10-22,2001-10-22,2001-10-28,National,X,2001,43,1.77065,1.26256,567,X,643,876,X,118,2204,710,174566,2001-43,"Objective facts about the Pulic Health and FLU situation:
The estimated number of hospitalizations for CHF per year in the United States is 700,000. 
Influenza vaccine is mentioned as a preventive measure for CHF exacerbations. 
Exposure to influenza can affect early brain development.",NA
2001-10-29,2001-10-29,2001-11-04,National,X,2001,44,1.93891,1.30014,655,X,665,883,X,168,2371,746,182365,2001-44,"Objective facts about the Pulic Health and FLU situation:
Influenza A virus infection can cause mortality and relative body weight loss in mice. 
Infection of humans with avian influenza A viruses has been documented. 
Influenza and other related diseases are considered in hazard vulnerability analysis in healthcare settings.",NA
2001-11-05,2001-11-05,2001-11-11,National,X,2001,45,1.63439,1.21838,626,X,687,865,X,149,2327,758,190992,2001-45,The Respiratory Syncytial Virus (RSV) is a significant cause of disease in the United States.,NA
2001-11-12,2001-11-12,2001-11-18,National,X,2001,46,1.90363,1.33993,693,X,811,862,X,142,2508,770,187174,2001-46,The National Poultry Improvement Plan (NPIP) was started in the United States to control influenza A viral infections.,NA
2001-11-19,2001-11-19,2001-11-25,National,X,2001,47,1.80556,1.47679,602,X,698,643,X,147,2090,764,141523,2001-47,"Objective facts about the Pulic Health and FLU situation: 
Research on influenza virus budding has shown that treating influenza virus-infected cells with ATP decreases the rate of virus budding. 
There have been three deaths after knee surgery, prompting a CDC search for similar cases, possibly related to H5N1 avian flu in US cattle. 
Dengue is the most common and widespread arthropod-borne viral infection in the world, with symptoms resembling influenza.",NA
