Month,Exports,Imports,OT,start_date,date,end_date,report_fact,search_fact,search_fact_summary_gpt_5_2
August 2023,171404.5,266026.9,-94622.4,2023-08-01,2023-08-01,2023-08-31,"The U.S. international trade deficit decreased to $58.3 billion in August 2023, down $6.4 billion from July 2023. Exports increased $4.1 billion to $256.0 billion, while imports decreased $2.3 billion to $314.3 billion.; Objective facts about the Monthly international trade balance of U.S. situation**
The international trade deficit was $84.3 billion in August, down $6.6 billion from $90.9 billion in July. Exports of goods for August were $168.9 billion, $3.6 billion more than July exports. Imports of goods for August were $253.1 billion, $3.1 billion less than July imports. 

**","The U.S. economy grew 1.3% in the second quarter of 2023, according to the Bureau of Economic Analysis.; The U.S. Bureau of Economic Analysis (BEA) provides accurate and objective data about the nation's economy.; The U.S. has bilateral relationships with countries like Mexico and Vietnam, which directly impact the lives and livelihoods of millions of Americans, particularly in terms of trade and economic development.; The United States has imposed $80 billion in tariffs on $380 billion worth of imports, resulting in a tax increase.","BEA reported U.S. real GDP grew 1.3% in Q2 2023. Separately, the U.S. maintains major bilateral trade relationships (including Mexico and Vietnam) and has imposed about $80 billion in tariffs on roughly $380 billion of imports."
September 2023,171272.3,261306.3,-90034.0,2023-09-01,2023-09-01,2023-09-30,"Objective facts about the Monthly international trade balance of U.S. situation:
The goods and services deficit was $61.5 billion in September, up $2.9 billion from $58.7 billion in August, revised. Exports were $261.1 billion, $5.7 billion more than August exports. Imports were $322.7 billion, $8.6 billion more than August imports.; Objective facts about the Monthly international trade balance of U.S. situation**

* The international trade deficit was $85.8 billion in September, up $1.1 billion from $84.6 billion in August. 
* Exports of goods for September were $174.0 billion, $5.0 billion more than August exports. 
* Imports of goods for September were $259.8 billion, $6.1 billion more than August imports. 

**","The U.S. Economic Development Administration (EDA) has announced grantees of its 2023 University Center Economic Development Program.; The United States economy expanded by 2.0% and 2.1% in the first and second quarters of 2023, respectively, driven mainly by consumer spending.; The United States' economic freedom score is 70.1, making its economy the 25th freest in the 2024 Index of Economic Freedom.; The U.S. economy experienced a 28% decline in real GDP at an annual rate in the second quarter of 2020, the largest quarterly drop on record.; The United States has seen a strong GDP recovery and is on track to reach the level that would have been achieved without the pandemic.","U.S. real GDP grew 2.0% in Q1 2023 and 2.1% in Q2 2023, with growth driven mainly by consumer spending. Separate items note the EDA’s 2023 University Center grantees and report the U.S. ranks 25th in the 2024 Index of Economic Freedom with a score of 70.1, alongside context on the 28% annualized GDP plunge in Q2 2020 and the subsequent recovery trajectory."
October 2023,178021.0,276831.6,-98810.6,2023-10-01,2023-10-01,2023-10-31,"The goods and services deficit was $64.3 billion in October, up $3.1 billion from $61.2 billion in September.; Objective facts about the Monthly international trade balance of U.S. situation:
The international trade deficit was $89.8 billion in October, up $3.0 billion from $86.8 billion in September. Exports of goods for October were $170.8 billion, $3.0 billion less than September exports. Imports of goods for October were $260.7 billion, virtually unchanged from September imports.","Real GDP grew at a 4.9 percent annual rate in the third quarter of 2023.; The U.S. goods and services deficit was $61.5 billion in September 2023.; The U.S. Bureau of Economic Analysis (BEA) released statistics on the outdoor recreation economy for the nation, all 50 states, and the District of Columbia.; The U.S. economy gathered significant pace in Q3, with GDP growth up","Real GDP increased at a 4.9% annual rate in Q3 2023, indicating stronger overall demand conditions. The U.S. goods and services trade deficit was $61.5 billion in September 2023."
November 2023,167193.2,255909.3,-88716.1,2023-11-01,2023-11-01,2023-11-30,"Objective Facts:**

* The goods and services deficit decreased by $1.3 billion to $63.2 billion in November 2023.
* Exports decreased by $4.8 billion to $253.7 billion, while imports decreased by $6.1 billion to $316.9 billion.
* The goods deficit decreased by $0.6 billion to $89.4 billion, while the services surplus increased by $0.7 billion to $26.2 billion.
* Year-to-date, the goods and services deficit decreased by $161.8 billion, or 18.4 percent, from the same period in 2022. 

**; The international trade deficit was $90.3 billion in November, up $0.7 billion from $89.6 billion in October. Exports of goods for November were $165.1 billion, $6.2 billion less than October exports. Imports of goods for November were $255.4 billion, $5.5 billion less than October imports.","The US GDP increased at an annual rate of 5.2 percent in the third quarter of 2023, according to the second estimate.; The U.S. fiscal deficit roughly doubled to $1.84 trillion in 2023.; NHE (National Health Expenditures) grew 4.1% to $4.5 trillion in 2022, accounting for 17.3% of Gross Domestic Product (GDP).; The U.S. economy grew stronger than expected in 2023, with manufacturing investment reaching historic highs.; The United States Gross Domestic Product (GDP) rose 5.2% in the third quarter of 2023, the fastest growth rate in recent years.","U.S. real GDP grew at a 5.2% annual rate in Q3 2023 (second estimate), alongside reports that 2023 economic growth beat expectations and manufacturing investment reached historic highs. The U.S. fiscal deficit roughly doubled to $1.84 trillion in 2023, and national health expenditures rose 4.1% to $4.5 trillion in 2022 (17.3% of GDP)."
December 2023,167788.2,247425.9,-79637.6,2023-12-01,2023-12-01,2023-12-31,"The goods and services deficit was $62.2 billion in December, up $0.3 billion from $61.9 billion in November, revised.; Objective facts about the Monthly international trade balance of U.S. situation**

* The international trade deficit was $88.5 billion in December 2023, down $0.9 billion from $89.3 billion in November. 
* Exports of goods for December were $169.8 billion, $4.1 billion more than November exports. 
* Imports of goods for December were $258.3 billion, $3.2 billion more than November imports. 

**","The United States has experienced a historically strong economic recovery from the COVID-19 recession, with more jobs and a larger inflation-adjusted gross domestic product.; The United States has the largest immigrant population in the world.; The US economy grew 1.9% in 2022 and 2.5% in 2023, with year-over-year inflation.; The U.S. Commerce Department's Bureau of Economic Analysis (BEA) reported that the fourth quarter real gross domestic product (GDP) increased at an annual rate of 3.3%.","BEA reported Q4 real GDP rose at a 3.3% annual rate, and the economy grew 1.9% in 2022 and 2.5% in 2023 alongside year-over-year inflation. The other items focus on the strength of the post-COVID recovery and the size of the U.S. immigrant population, without specific trade, export, or import details."
January 2022,147848.0,247065.3,-99217.3,2022-01-01,2022-01-01,2022-01-31,"Objective facts about the Monthly international trade balance of U.S. situation**

* The goods and services deficit was $89.7 billion in January, up $7.7 billion from $82.0 billion in December.
* Exports were $224.4 billion, $3.9 billion less than December exports.
* Imports were $314.1 billion, $3.8 billion more than December imports.
* The goods deficit increased $7.1 billion to $108.9 billion, and the services surplus decreased $0.6 billion to $19.2 billion.



**; Objective facts about the Monthly international trade balance of U.S. situation**

* The international trade deficit was $107.6 billion in January, up $7.2 billion from $100.5 billion in December.
* Exports of goods for January were $154.8 billion, $2.8 billion less than December exports.
* Imports of goods for January were $262.5 billion, $4.4 billion more than December imports.



**","The U.S. embargo on Cuba has a severe impact on the Cuban economy, but little cost to the United States.; The U.S. goods and services deficit was $80.7 billion in December 2021.; The U.S. economy has surpassed the pre-recession level of GDP and continues to grow, with U.S. real personal income finishing 2021 3.3% above its pre-recession level.; The U.S. Geological Survey has released a new list of 50 mineral commodities critical to the U.S. economy and national security.","The U.S. goods and services trade deficit was $80.7 billion in December 2021. Separate items noted that the U.S. embargo on Cuba has severe economic effects on Cuba with little cost to the United States, and that the U.S. economy exceeded its pre-recession GDP level with real personal income ending 2021 at 3.3% above pre-recession, alongside a new USGS list of 50 critical mineral commodities."
February 2022,150555.2,234218.6,-83663.4,2022-02-01,2022-02-01,2022-02-28,"The goods and services deficit was $89.2 billion in February, down less than $0.1 billion from January. Exports were $228.6 billion, $4.1 billion more than January exports, while imports were $317.8 billion, $4.1 billion more than January imports.; Objective facts about the Monthly international trade balance of U.S. situation:
The international trade deficit was $106.6 billion in February, down $1.0 billion from $107.6 billion in January. Exports of goods for February were $157.2 billion, $1.9 billion more than January exports. Imports of goods for February were $263.7 billion, $0.9 billion more than January imports.","The U.S. economy created over 6.5 million new jobs in 2021, more jobs in one year than ever before in the history of the United States of America.; The US has banned imports of Russian oil and liquefied natural gas, and over 30 countries have announced sanctions that impose immediate and severe economic costs on Russia.; Industries in the United States that intensively use IP accounted for 41% of domestic economic activity, or output, in 2019.; The US and European Commission have announced a new data flow agreement, highlighting the importance of data flows to the trans-Atlantic economic relationship.","The U.S. banned imports of Russian oil and liquefied natural gas, while more than 30 countries announced sanctions aimed at imposing immediate and severe economic costs on Russia. The U.S. and European Commission announced a new trans-Atlantic data flow agreement, and separate reports noted 6.5 million jobs were created in 2021 and IP‑intensive industries accounted for 41% of U.S. output in 2019."
March 2022,179313.8,295975.4,-116661.7,2022-03-01,2022-03-01,2022-03-31,"Objective Facts:

* The goods and services deficit was $109.8 billion in March, up $20.0 billion from $89.8 billion in February. (Source)
* Exports were $241.7 billion, $12.9 billion more than February exports. (Source)
* Imports were $351.5 billion, $32.9 billion more than February imports. (Source)
* The average goods and services deficit increased $9.3 billion to $96.3 billion for the three months ending in March. (Source); The international trade deficit was $125.3 billion in March, up $19.0 billion from $106.3 billion in February. Exports of goods for March were $169.3 billion, $11.4 billion more than February exports. Imports of goods for March were $294.6 billion, $30.3 billion more than February imports.","The U.S. commercial and recreational saltwater fishing industry generated over $255 billion in sales impacts and contributed $117 billion to gross domestic product in 2019.; The United States government is investing in the economy and people to reduce the deficit and improve the economy.; The U.S. economy has made robust progress over the past year, with improved estimates of current-dollar gross domestic product (GDP); The U.S. economy suffered one of the sharpest contractions in its history during 2020, but the economic damage was even greater in many foreign countries.","The U.S. commercial and recreational saltwater fishing industry generated over $255 billion in sales impacts and contributed $117 billion to U.S. GDP in 2019. Other items note U.S. government efforts to reduce the deficit alongside improved estimates of current-dollar GDP over the past year, and that while the U.S. economy contracted sharply in 2020, many foreign countries experienced even greater economic damage."
April 2022,173533.9,273176.8,-99642.9,2022-04-01,2022-04-01,2022-04-30,"The goods and services deficit decreased by $20.6 billion to $87.1 billion in April 2022, with exports increasing by $8.5 billion to $252.6 billion and imports decreasing by $12.1 billion to $339.7 billion.; The international trade deficit was $105.9 billion in April, down $20.0 billion from $125.9 billion in March. Exports of goods for April were $173.9 billion, $5.2 billion more than March exports. Imports of goods for April were $279.9 billion, $14.8 billion less than March imports.","The United States' real gross domestic product (GDP) decreased at an annual rate of 1.4 percent in the first quarter of 2022.; The U.S. agricultural exports supported more than 1 million jobs; The U.S. economy is currently facing supply disruptions due to global supply chain constraints, labor shortages, and temporary business disruptions linked to COVID-19 outbreaks.; The U.S. economy relies heavily on international STEM talent, with students and workers being an essential part of the U.S. science and engineering community.; The United States has been a net borrower for much of the last four decades, with borrowing peaking at 6.0 percent of GDP in 2006.","U.S. real GDP fell at a 1.4% annual rate in Q1 2022, with the economy experiencing global supply-chain constraints, labor shortages, and COVID-related business disruptions affecting production and trade flows. Separately, U.S. agricultural exports were highlighted as supporting over 1 million jobs, and the U.S. was noted to have been a net borrower for most of the past four decades (peaking at 6.0% of GDP in 2006), underscoring reliance on foreign capital alongside trade and investment linkages."
May 2022,179047.5,285388.2,-106340.7,2022-05-01,2022-05-01,2022-05-31,"The goods and services deficit was $85.5 billion in May, down $1.1 billion from $86.7 billion in April. Exports were $255.9 billion, $3.0 billion more than April exports. Imports were $341.4 billion, $1.9 billion more than April imports.; Objective facts about the Monthly international trade balance of U.S. situation**

* The international trade deficit was $104.3 billion in May, down $2.4 billion from $106.7 billion in April.
* Exports of goods for May were $176.6 billion, $2.0 billion more than April exports.
* Imports of goods for May were $280.9 billion, $0.4 billion less than April imports.

**","The U.S. economy has rebounded from the disruptions caused by the initial stages of the pandemic, characterized by relatively tight labor markets and economic growth.; The U.S. marine economy accounted for $361 billion of the nation's gross domestic product in 2020.; STEM workers play an increasingly important role in the U.S. economy, and they are critical to the country's economic growth.; The U.S. economy has staged a strong recovery from the COVID-19 shock, with unprecedented policy stimulus and advantages contributing to its growth.","The articles describe a strong U.S. economic rebound from the pandemic, supported by unprecedented policy stimulus, tight labor markets, and continued growth momentum. They also note that the U.S. marine economy contributed $361 billion to GDP in 2020 and highlight the growing importance of STEM workers for U.S. economic growth."
June 2022,182662.9,286285.2,-103622.3,2022-06-01,2022-06-01,2022-06-30,"Objective facts about the Monthly international trade balance of U.S. situation:
The goods and services deficit was $79.6 billion in June, down $5.3 billion from $84.9 billion in May. Exports were $260.8 billion, $4.3 billion more than May exports, while imports were $340.4 billion, $1.0 billion less than May imports.; Objective facts about the Monthly international trade balance of U.S. situation:

* The international trade deficit was $98.2 billion in June, down $5.9 billion from $104.0 billion in May.
* Exports of goods for June were $181.5 billion, $4.4 billion more than May exports.
* Imports of goods for June were $279.7 billion, $1.5 billion less than May imports.
* The trade deficit decreased by 5.6% from May to June.","Real gross domestic product (GDP) decreased at an annual rate of 1.6 percent in the first quarter of 2022, according to the ""third"" estimate released by the Bureau of Economic Analysis.; The United States economy expanded by 5.7% in 2021, the strongest annual growth since 1984.; The US economy has staged a strong recovery from the pandemic shock, with a quick rebound.; The economic toll of gun violence in the United States is $1,698 for every resident in the country.; The U.S. debt to GDP ratio surpassed 100% in 2013, and currently, the U.S. economy has shrunk for a second straight quarter, contracting at a 0.9% annual pace.","BEA’s third estimate shows real U.S. GDP fell at a 1.6% annual rate in Q1 2022, and another report notes a second straight quarterly contraction with GDP down at a 0.9% annual pace. Other items note the U.S. economy grew 5.7% in 2021 (strongest since 1984) and rebounded quickly from the pandemic shock, while separate content discusses the economic toll of gun violence and mentions U.S. debt-to-GDP exceeding 100% since 2013."
July 2022,175896.8,270907.4,-95010.6,2022-07-01,2022-07-01,2022-07-31,"The U.S. international trade deficit decreased by $10.2 billion to $70.6 billion in July 2022, with exports increasing by $0.5 billion to $259.3 billion and imports decreasing by $9.7 billion to $329.9 billion.; The international trade deficit was $89.1 billion in July, down $9.5 billion from $98.6 billion in June. Exports of goods for July were $181.0 billion, $0.4 billion less than June exports. Imports of goods for July were $270.0 billion, $9.9 billion less than June imports.","The U.S. economy has shown strong growth in certain sectors, such as organic agriculture and travel and tourism, with the latter supporting 9.2 million U.S. jobs and accounting for 9% of all U.S. exports in 2019.; The United States is investing in its economy and underlying infrastructure, and is critical to both future economic competitiveness and national security.; The United States has a large-scale estimated general equilibrium model of the economy, called FRB/US, which was developed at the Federal Reserve Board.; The US economy is clearly slowing from the historically high growth rates of 2021, reflecting the reopening of the economy following the pandemic.","U.S. travel and tourism supported 9.2 million jobs and accounted for about 9% of all U.S. exports in 2019, highlighting the sector’s role in export performance. The broader context notes the U.S. economy is slowing from the unusually high 2021 growth rates, alongside ongoing investment in infrastructure aimed at strengthening competitiveness and national security."
August 2022,181182.3,283635.4,-102453.1,2022-08-01,2022-08-01,2022-08-31,"Objective facts about the Monthly international trade balance of U.S. situation:
The goods and services deficit was $67.4 billion in August, down $3.1 billion from $70.5 billion in July. Exports were $258.9 billion, $0.7 billion less than July exports, while imports were $326.3 billion, $3.7 billion less than July imports. The average goods and services deficit decreased $6.2 billion to $72.9 billion for the three months ending in August.; Objective facts about the Monthly international trade balance of U.S. situation**
The international trade deficit was $87.3 billion in August, down $2.9 billion from $90.2 billion in July. Exports of goods for August were $179.8 billion, $1.7 billion less than July exports. Imports of goods for August were $267.1 billion, $4.6 billion less than July imports. 

**","The United States has a total of 5,000 public-use airports that support civil air transportation, which plays a major role in the economy.; The United States has launched the Indo-Pacific Economic Framework (IPEF) with partner countries, aiming to contribute to cooperation, stability, prosperity, development, and peace within the region.; The US government spends money on various goods, programs, and services to support the economy and people of the United States.; The U.S. economy is projected to grow faster than in the previous two decades, but still falls short of the annual average rates of growth in the 1980s and 1990s.","The U.S. launched the Indo-Pacific Economic Framework (IPEF) with partner countries to promote regional cooperation, stability, and prosperity, potentially affecting future trade and supply-chain relationships. Other items note the scale of U.S. civil aviation infrastructure (about 5,000 public-use airports), broad U.S. government spending, and projections that U.S. economic growth will be faster than the prior two decades but below 1980s–1990s averages."
