MapDate,AreaOfInterest,OT,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,date,start_date,end_date,search_fact,report_fact
20231017,Total,51.02,48.98,33.22,18.92,7.28,2.1,2023-10-17,2023-10-23,1,2023-10-17,2023-10-17,2023-10-23,"The contiguous U.S. had its 18th-warmest October in the 129-year record.; The contiguous U.S. winter outlook for 2023-24 predicts a wetter South and warmer North, with above-average precipitation in the South and below-average precipitation in the North.","Objective facts about the Monthly Contiguous U.S. Precipitation situation**

* October 2023 was drier than normal from the Lower Mississippi Valley to East Coast, and parts of the central and northern Plains and Ohio Valley. 
* The month ended up wetter than normal from parts of the northern Rockies to Great Lakes and across parts of the southern Plains and New England. 
* The Standardized Precipitation Index (SPI) showed dryness from the Lower Mississippi Valley to Mid-Atlantic Coast at the 1-month time scale, and extended from there northward into the Ohio Valley and east and west along the Gulf Coast at 2-6 months. 

**; Objective Facts about Monthly Contiguous U.S. Precipitation**

* The October precipitation total for the contiguous U.S. was 2.14 inches, 0.05 inch below average, ranking in the middle third of the 129-year record. 
* Precipitation was below average from the Lower Mississippi Valley to parts of the Mid-Atlantic and in parts of the Northwest, Southwest, central Plains, and Southeast. 
* No state ranked in their top-10 wettest October on record for this period. Conversely, North Carolina had the 10th driest October on record. 

**"
20231010,Total,50.41,49.59,33.59,18.96,7.53,2.11,2023-10-10,2023-10-16,1,2023-10-10,2023-10-10,2023-10-16,"The contiguous U.S. winter outlook for 2023-24 predicts a wetter South and warmer North, with above-average precipitation in the South and below-average precipitation in the North.; The average temperature of the contiguous U.S. in September 2023 was remarkably warm, and the month was quite dry across the contiguous United States.","Objective facts about the Monthly Contiguous U.S. Precipitation situation**

* October 2023 was drier than normal from the Lower Mississippi Valley to East Coast, and parts of the central and northern Plains and Ohio Valley. 
* The month ended up wetter than normal from parts of the northern Rockies to Great Lakes and across parts of the southern Plains and New England. 
* The Standardized Precipitation Index (SPI) showed dryness from the Lower Mississippi Valley to Mid-Atlantic Coast at the 1-month time scale, and extended from there northward into the Ohio Valley and east and west along the Gulf Coast at 2-6 months. 

**; Objective Facts about Monthly Contiguous U.S. Precipitation**

* The October precipitation total for the contiguous U.S. was 2.14 inches, 0.05 inch below average, ranking in the middle third of the 129-year record. 
* Precipitation was below average from the Lower Mississippi Valley to parts of the Mid-Atlantic and in parts of the Northwest, Southwest, central Plains, and Southeast. 
* No state ranked in their top-10 wettest October on record for this period. Conversely, North Carolina had the 10th driest October on record. 

**"
20231003,Total,50.88,49.12,33.62,19.41,8.35,2.45,2023-10-03,2023-10-09,1,2023-10-03,2023-10-03,2023-10-09,"The average temperature of the contiguous U.S. in September 2023 was remarkably warm, and the month was quite dry across the contiguous United States.; The contiguous United States (CONUS) experienced a specific atmospheric circulation pattern recently, which led to precipitation in western areas.","Objective facts about the Monthly Contiguous U.S. Precipitation situation**

* October 2023 was drier than normal from the Lower Mississippi Valley to East Coast, and parts of the central and northern Plains and Ohio Valley. 
* The month ended up wetter than normal from parts of the northern Rockies to Great Lakes and across parts of the southern Plains and New England. 
* The Standardized Precipitation Index (SPI) showed dryness from the Lower Mississippi Valley to Mid-Atlantic Coast at the 1-month time scale, and extended from there northward into the Ohio Valley and east and west along the Gulf Coast at 2-6 months. 

**; Objective Facts about Monthly Contiguous U.S. Precipitation**

* The October precipitation total for the contiguous U.S. was 2.14 inches, 0.05 inch below average, ranking in the middle third of the 129-year record. 
* Precipitation was below average from the Lower Mississippi Valley to parts of the Mid-Atlantic and in parts of the Northwest, Southwest, central Plains, and Southeast. 
* No state ranked in their top-10 wettest October on record for this period. Conversely, North Carolina had the 10th driest October on record. 

**"
20230926,Total,52.53,47.47,32.1,18.79,8.48,2.35,2023-09-26,2023-10-02,1,2023-09-26,2023-09-26,2023-10-02,"The contiguous United States (CONUS) experienced a specific atmospheric circulation pattern recently, which led to precipitation in western areas.; The contiguous U.S. summer precipitation total was notable in 2023.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
About 12% of the contiguous U.S. fell in the severely to extremely wet categories in September 2023. 
The month was warmer than normal in the central to northern Plains, where moderate to exceptional drought continued. 
Beneficial precipitation fell in northern and western parts of the Great Plains, contracting drought and abnormal dryness. 
Drought made inroads in the Southeast, especially in Alabama and the Florida panhandle, and continued in the western Florida peninsula, northern and western Virginia, and the Carolinas.; Objective facts about the Monthly Contiguous U.S. Precipitation situation**

* October 2023 was drier than normal from the Lower Mississippi Valley to East Coast, and parts of the central and northern Plains and Ohio Valley. 
* The month ended up wetter than normal from parts of the northern Rockies to Great Lakes and across parts of the southern Plains and New England. 
* The Standardized Precipitation Index (SPI) showed dryness from the Lower Mississippi Valley to Mid-Atlantic Coast at the 1-month time scale, and extended from there northward into the Ohio Valley and east and west along the Gulf Coast at 2-6 months. 

**; The contiguous U.S. average precipitation total for September was 2.10 inches, 0.39 inch below average, ranking in the driest third of the 129-year record.; Objective Facts about Monthly Contiguous U.S. Precipitation**

* The October precipitation total for the contiguous U.S. was 2.14 inches, 0.05 inch below average, ranking in the middle third of the 129-year record. 
* Precipitation was below average from the Lower Mississippi Valley to parts of the Mid-Atlantic and in parts of the Northwest, Southwest, central Plains, and Southeast. 
* No state ranked in their top-10 wettest October on record for this period. Conversely, North Carolina had the 10th driest October on record. 

**"
20230919,Total,53.18,46.82,31.71,19.63,9.44,2.52,2023-09-19,2023-09-25,1,2023-09-19,2023-09-19,2023-09-25,The contiguous U.S. summer precipitation total was notable in 2023.; The National Water Model (NWM) simulates observed and forecast streamflow over the entire continental United States.,"Objective facts about the Monthly Contiguous U.S. Precipitation situation:
About 12% of the contiguous U.S. fell in the severely to extremely wet categories in September 2023. 
The month was warmer than normal in the central to northern Plains, where moderate to exceptional drought continued. 
Beneficial precipitation fell in northern and western parts of the Great Plains, contracting drought and abnormal dryness. 
Drought made inroads in the Southeast, especially in Alabama and the Florida panhandle, and continued in the western Florida peninsula, northern and western Virginia, and the Carolinas.; The contiguous U.S. average precipitation total for September was 2.10 inches, 0.39 inch below average, ranking in the driest third of the 129-year record."
20230912,Total,55.18,44.82,31.1,19.32,8.0,1.98,2023-09-12,2023-09-18,1,2023-09-12,2023-09-12,2023-09-18,"The National Water Model (NWM) simulates observed and forecast streamflow over the entire continental United States.; The contiguous United States experienced above-average temperature and precipitation in September 2023, with the Ohio Valley and West being particularly wet.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
About 12% of the contiguous U.S. fell in the severely to extremely wet categories in September 2023. 
The month was warmer than normal in the central to northern Plains, where moderate to exceptional drought continued. 
Beneficial precipitation fell in northern and western parts of the Great Plains, contracting drought and abnormal dryness. 
Drought made inroads in the Southeast, especially in Alabama and the Florida panhandle, and continued in the western Florida peninsula, northern and western Virginia, and the Carolinas.; The contiguous U.S. average precipitation total for September was 2.10 inches, 0.39 inch below average, ranking in the driest third of the 129-year record."
20230905,Total,56.21,43.79,30.2,18.27,7.52,1.65,2023-09-05,2023-09-11,1,2023-09-05,2023-09-05,2023-09-11,"The contiguous United States experienced above-average temperature and precipitation in September 2023, with the Ohio Valley and West being particularly wet.; As of September 7, 2023, 58% of the contiguous 48 states are experiencing drought conditions.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
About 12% of the contiguous U.S. fell in the severely to extremely wet categories in September 2023. 
The month was warmer than normal in the central to northern Plains, where moderate to exceptional drought continued. 
Beneficial precipitation fell in northern and western parts of the Great Plains, contracting drought and abnormal dryness. 
Drought made inroads in the Southeast, especially in Alabama and the Florida panhandle, and continued in the western Florida peninsula, northern and western Virginia, and the Carolinas.; The contiguous U.S. average precipitation total for September was 2.10 inches, 0.39 inch below average, ranking in the driest third of the 129-year record."
20230829,Total,56.62,43.38,28.76,15.93,6.23,1.28,2023-08-29,2023-09-04,1,2023-08-29,2023-08-29,2023-09-04,"As of September 7, 2023, 58% of the contiguous 48 states are experiencing drought conditions.; The contiguous United States experienced record-breaking temperature, precipitation, and drought in August 2023.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
August 2023 was drier than normal across coastal parts of the Northwest, much of the Upper Mississippi Valley, parts of the Mid-Atlantic states, and most of the Southwest, southern Plains, and Gulf of Mexico states.; Objective facts about the Monthly Contiguous U.S. Precipitation situation:
About 12% of the contiguous U.S. fell in the severely to extremely wet categories in September 2023. 
The month was warmer than normal in the central to northern Plains, where moderate to exceptional drought continued. 
Beneficial precipitation fell in northern and western parts of the Great Plains, contracting drought and abnormal dryness. 
Drought made inroads in the Southeast, especially in Alabama and the Florida panhandle, and continued in the western Florida peninsula, northern and western Virginia, and the Carolinas.; The August precipitation total for the contiguous U.S. was 2.74 inches, 0.12 inch above average, ranking in the middle third of the 129-year record.; The contiguous U.S. average precipitation total for September was 2.10 inches, 0.39 inch below average, ranking in the driest third of the 129-year record."
20230822,Total,56.68,43.32,27.52,14.58,4.82,1.0,2023-08-22,2023-08-28,1,2023-08-22,2023-08-22,2023-08-28,"The contiguous United States experienced record-breaking temperature, precipitation, and drought in August 2023.; The contiguous United States has a spatial resolution of 1/8th-degree grid spacing for land data assimilation systems, covering the area from 25-53 North latitude.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
August 2023 was drier than normal across coastal parts of the Northwest, much of the Upper Mississippi Valley, parts of the Mid-Atlantic states, and most of the Southwest, southern Plains, and Gulf of Mexico states.; The August precipitation total for the contiguous U.S. was 2.74 inches, 0.12 inch above average, ranking in the middle third of the 129-year record."
20230815,Total,56.01,43.99,25.86,10.7,2.59,0.18,2023-08-15,2023-08-21,1,2023-08-15,2023-08-15,2023-08-21,"The contiguous United States has a spatial resolution of 1/8th-degree grid spacing for land data assimilation systems, covering the area from 25-53 North latitude.; The contiguous United States experienced dry conditions in the western and southern tier states, as well as Hawaii, due to a ridge inhibiting precipitation.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
August 2023 was drier than normal across coastal parts of the Northwest, much of the Upper Mississippi Valley, parts of the Mid-Atlantic states, and most of the Southwest, southern Plains, and Gulf of Mexico states.; The August precipitation total for the contiguous U.S. was 2.74 inches, 0.12 inch above average, ranking in the middle third of the 129-year record."
20230808,Total,54.65,45.35,25.54,9.77,2.3,0.19,2023-08-08,2023-08-14,1,2023-08-08,2023-08-08,2023-08-14,"The contiguous United States experienced dry conditions in the western and southern tier states, as well as Hawaii, due to a ridge inhibiting precipitation.; The average July precipitation for the contiguous U.S. was 2.70 inches, 0.08 inch below average, ranking in the middle third of the historical record.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
August 2023 was drier than normal across coastal parts of the Northwest, much of the Upper Mississippi Valley, parts of the Mid-Atlantic states, and most of the Southwest, southern Plains, and Gulf of Mexico states.; The August precipitation total for the contiguous U.S. was 2.74 inches, 0.12 inch above average, ranking in the middle third of the 129-year record."
20230801,Total,55.74,44.26,23.52,8.99,2.11,0.22,2023-08-01,2023-08-07,1,2023-08-01,2023-08-01,2023-08-07,"The average July precipitation for the contiguous U.S. was 2.70 inches, 0.08 inch below average, ranking in the middle third of the historical record.; For the month of August 2023, the drought outlook for the contiguous United States indicates that moderate to exceptional drought covers 23.5% of the country.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
August 2023 was drier than normal across coastal parts of the Northwest, much of the Upper Mississippi Valley, parts of the Mid-Atlantic states, and most of the Southwest, southern Plains, and Gulf of Mexico states.; The August precipitation total for the contiguous U.S. was 2.74 inches, 0.12 inch above average, ranking in the middle third of the 129-year record."
20230725,Total,57.19,42.81,22.68,8.18,2.19,0.22,2023-07-25,2023-07-31,1,2023-07-25,2023-07-25,2023-07-31,"For the month of August 2023, the drought outlook for the contiguous United States indicates that moderate to exceptional drought covers 23.5% of the country.; Total annual precipitation has increased over land areas in the United States.","The contiguous U.S. experienced severe to extreme drought affecting about 10% of the area as of the end of July 2023, an increase of about 4% from last month.; The July precipitation total for the contiguous U.S. was 2.70 inches, 0.08 inch below average, ranking in the middle third of the 129-year record."
20230718,Total,58.38,41.62,21.6,7.14,2.23,0.29,2023-07-18,2023-07-24,1,2023-07-18,2023-07-18,2023-07-24,Total annual precipitation has increased over land areas in the United States.; Nearly 80 percent of the stations across the contiguous 48 states have experienced a decrease in the proportion of precipitation falling as snow.,"The contiguous U.S. experienced severe to extreme drought affecting about 10% of the area as of the end of July 2023, an increase of about 4% from last month.; The July precipitation total for the contiguous U.S. was 2.70 inches, 0.08 inch below average, ranking in the middle third of the 129-year record."
20230711,Total,58.67,41.33,22.48,7.89,2.16,0.33,2023-07-11,2023-07-17,1,2023-07-11,2023-07-11,2023-07-17,"Nearly 80 percent of the stations across the contiguous 48 states have experienced a decrease in the proportion of precipitation falling as snow.; In June 2023, the contiguous U.S. had 2.85 inches of precipitation, 0.08 inch below average, ranking in the middle third of the historical record.","The contiguous U.S. experienced severe to extreme drought affecting about 10% of the area as of the end of July 2023, an increase of about 4% from last month.; The July precipitation total for the contiguous U.S. was 2.70 inches, 0.08 inch below average, ranking in the middle third of the 129-year record."
20230704,Total,56.25,43.75,22.57,7.83,2.29,0.45,2023-07-04,2023-07-10,1,2023-07-04,2023-07-04,2023-07-10,"In June 2023, the contiguous U.S. had 2.85 inches of precipitation, 0.08 inch below average, ranking in the middle third of the historical record.; The contiguous United States (CONUS) is divided into 17 domains for precipitation analysis.","The contiguous U.S. experienced severe to extreme drought affecting about 10% of the area as of the end of July 2023, an increase of about 4% from last month.; The July precipitation total for the contiguous U.S. was 2.70 inches, 0.08 inch below average, ranking in the middle third of the 129-year record."
20230627,Total,54.86,45.14,22.61,7.74,2.16,0.49,2023-06-27,2023-07-03,1,2023-06-27,2023-06-27,2023-07-03,The contiguous United States (CONUS) is divided into 17 domains for precipitation analysis.; The contiguous U.S. March–May precipitation total was below average.,"Objective facts about the Monthly Contiguous U.S. Precipitation situation:
The contiguous U.S. experienced a mixed precipitation anomaly pattern in June 2023, with above-normal precipitation in the West and below-normal precipitation in the East. About 19% of the contiguous U.S. fell in the moderate to extreme drought categories, and 5% of the contiguous U.S. fell in the severely to extremely wet categories.; The contiguous U.S. experienced severe to extreme drought affecting about 10% of the area as of the end of July 2023, an increase of about 4% from last month.; The June precipitation total for the contiguous U.S. was 2.85 inches, 0.08 inch above average, ranking in the middle third of the 129-year record.; The July precipitation total for the contiguous U.S. was 2.70 inches, 0.08 inch below average, ranking in the middle third of the 129-year record."
20230620,Total,53.06,46.94,22.67,6.69,2.06,0.47,2023-06-20,2023-06-26,1,2023-06-20,2023-06-20,2023-06-26,"The contiguous U.S. March–May precipitation total was below average.; The contiguous United States has 344 climate divisions, and each division has its own temperature and precipitation data.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
The contiguous U.S. experienced a mixed precipitation anomaly pattern in June 2023, with above-normal precipitation in the West and below-normal precipitation in the East. About 19% of the contiguous U.S. fell in the moderate to extreme drought categories, and 5% of the contiguous U.S. fell in the severely to extremely wet categories.; The June precipitation total for the contiguous U.S. was 2.85 inches, 0.08 inch above average, ranking in the middle third of the 129-year record."
20230613,Total,54.29,45.71,20.89,5.76,1.82,0.6,2023-06-13,2023-06-19,1,2023-06-13,2023-06-13,2023-06-19,"The contiguous United States has 344 climate divisions, and each division has its own temperature and precipitation data.; The contiguous United States (""the Lower 48"") has temperature and precipitation data available for each month back to 1895.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
The contiguous U.S. experienced a mixed precipitation anomaly pattern in June 2023, with above-normal precipitation in the West and below-normal precipitation in the East. About 19% of the contiguous U.S. fell in the moderate to extreme drought categories, and 5% of the contiguous U.S. fell in the severely to extremely wet categories.; The June precipitation total for the contiguous U.S. was 2.85 inches, 0.08 inch above average, ranking in the middle third of the 129-year record."
20230606,Total,54.28,45.72,18.33,5.99,1.96,0.66,2023-06-06,2023-06-12,1,2023-06-06,2023-06-06,2023-06-12,"The contiguous United States (""the Lower 48"") has temperature and precipitation data available for each month back to 1895.; The contiguous United States experienced above-average precipitation in May 2023, with 18.3% of the country under moderate to exceptional drought as of June 6, 2023.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
The contiguous U.S. experienced a mixed precipitation anomaly pattern in June 2023, with above-normal precipitation in the West and below-normal precipitation in the East. About 19% of the contiguous U.S. fell in the moderate to extreme drought categories, and 5% of the contiguous U.S. fell in the severely to extremely wet categories.; The June precipitation total for the contiguous U.S. was 2.85 inches, 0.08 inch above average, ranking in the middle third of the 129-year record."
