CBSA Code,CBSA,start_date,end_date,OT,Category,Defining Parameter,Defining Site,Number of Sites Reporting,date,search_fact,report_fact
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-03-13,2000-03-19,64.42857142857143,Moderate,NO2,36-005-0080,42.285714285714285,2000-03-13,"The air quality permit was issued to Pyramid Mountain Lumber, Inc. for the addition of a second York/Shipley boiler to the facility located near Seeley Lake, Montana.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-03-20,2000-03-26,73.28571428571429,Moderate,PM2.5,34-039-0004,41.42857142857143,2000-03-20,"Air quality was not a concern in the past, as stated by David Axelrod.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-03-27,2000-04-02,63.0,Moderate,PM2.5,34-039-0004,41.0,2000-03-27,"The Emission Measurement Branch (EMB) of the Office of Air Quality Planning conducted measurements at the Dunkirk Power in Dunkirk, New York.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-04-03,2000-04-09,71.85714285714286,Moderate,NO2,34-029-0006,44.285714285714285,2000-04-03,The Prevention of Significant Deterioration (PSD) of Air Quality Regulations is a Federally delegated program in the State of New York.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-04-10,2000-04-16,68.42857142857143,Moderate,NO2,34-039-0004,42.857142857142854,2000-04-10,The air quality standards in New York are regulated by 40 C.F.R. part 52.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-04-17,2000-04-23,53.285714285714285,Moderate,NO2,34-039-0004,44.142857142857146,2000-04-17,The Clean Air Act Amendments of 1990 established new programs and made major changes in the ways that air pollution is controlled.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-04-24,2000-04-30,63.57142857142857,Moderate,NO2,34-039-0004,47.0,2000-04-24,The Environmental Protection Agency (EPA) has based its air pollution model on data from New York State air monitors and TRI sites in the neighborhood.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-05-01,2000-05-07,112.57142857142857,Moderate,Ozone,34-029-0006,44.142857142857146,2000-05-01,"Objective facts about the Environment situation: 
The U.S. Environmental Protection Agency (EPA) reported that air pollution has decreased in the National Air Quality Trends report . 
Acetone was found in 64% of 42 surface water samples collected on Long Island, New York, and in New Jersey, according to a Quality Assessment report .",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-05-08,2000-05-14,110.14285714285714,Moderate,Ozone,34-029-0006,43.857142857142854,2000-05-08,"The air quality permit was issued by the state EPA on May 11, 2000, for the AURORA PEAK PLANT'S CONSTRUCTION.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-05-15,2000-05-21,78.14285714285714,Moderate,Ozone,34-029-0006,46.42857142857143,2000-05-15,Fossil fuel emissions from vehicles damage the environment and contribute to air pollution.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-05-22,2000-05-28,73.14285714285714,Moderate,Ozone,34-029-0006,42.285714285714285,2000-05-22,"In New York State, Reformulated Gasoline (RFG) is required to be used in the greater New York City metropolitan area to reduce severe air pollution problems.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-05-29,2000-06-04,101.71428571428571,Moderate,NO2,34-039-0004,42.714285714285715,2000-05-29,"The Council on Environmental Quality released a 25th-anniversary report in 1997, highlighting environmental quality issues.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-06-05,2000-06-11,138.57142857142858,Very Unhealthy,Ozone,34-029-0006,46.142857142857146,2000-06-05,"The temporary tri-state air pollution commission was created among New York, New Jersey, and Connecticut in 1967 to address air quality issues.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-06-12,2000-06-18,82.28571428571429,Moderate,PM2.5,34-039-0004,43.42857142857143,2000-06-12,"The Environmental Protection Agency (EPA) has established air quality criteria for carbon monoxide, and research has been conducted on the epidemiology of particle effects and air pollution and health.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-06-19,2000-06-25,110.14285714285714,Unhealthy for Sensitive Groups,Ozone,36-027-0007,43.714285714285715,2000-06-19,"The New York State Department of Environmental Conservation has imposed restrictions on water conservation and management in the Village of Mineola, NY.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-06-26,2000-07-02,108.14285714285714,Moderate,Ozone,34-029-0006,46.42857142857143,2000-06-26,The Chesapeake-2000 Agreement aims to improve environmental quality by reducing pollution and protecting habitats in the watershed.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-07-03,2000-07-09,97.57142857142857,Good,Ozone,34-023-0011,44.142857142857146,2000-07-03,The Environmental Protection Agency (EPA) posted a report on foams technical options committee in April 2000.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-07-10,2000-07-16,94.28571428571429,Unhealthy for Sensitive Groups,Ozone,34-029-0006,44.0,2000-07-10,"Objective facts about the Environment situation: 
The Colorado Department of Public Health and Environment has an Air Pollution Control Division that regulates air quality. 
The Superfund Program addresses environmental pollution, including air quality, in areas like New York and Kentucky. 
The New York State Congenital Malformations Registry tracks health impacts of environmental pollution.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-07-17,2000-07-23,94.71428571428571,Moderate,Ozone,34-023-0011,47.57142857142857,2000-07-17,"The air quality in Albuquerque/Bernalillo County is a concern, with highly polluted air that exceeds air quality standards set by the Air Quality Board.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-07-24,2000-07-30,66.14285714285714,Moderate,PM2.5,34-039-0004,43.714285714285715,2000-07-24,The Porter Cologne Water Quality Control Board was established in 1970 under the California Environmental Quality Act (CEQA) to regulate water quality in California.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-07-31,2000-08-06,88.57142857142857,Moderate,PM2.5,34-039-0004,44.285714285714285,2000-07-31,"The Environmental Protection Agency (EPA) issued a federal plan for hospital/medical/infectious waste incinerators on August 4, 2000.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-08-07,2000-08-13,105.57142857142857,Unhealthy for Sensitive Groups,Ozone,34-029-0006,47.857142857142854,2000-08-07,The indoor environmental index was modified from the U.S. EPA Air Quality Index.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-08-14,2000-08-20,54.285714285714285,Moderate,PM2.5,34-039-0004,44.285714285714285,2000-08-14,The Clean Air Act requires National Ambient Air Quality Standards to be met.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-08-21,2000-08-27,95.42857142857143,Moderate,Ozone,34-025-0005,44.0,2000-08-21,The cost of passage from Paris to New York decreased to a couple of months' wages by 1907.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-08-28,2000-09-03,72.0,Moderate,PM2.5,34-039-0004,47.285714285714285,2000-08-28,"The New York State Department of Environmental Conservation (NYSDEC) issued a permit under the Environmental Conservation Law (ECL) to Gernatt Asphalt Products on August 30, 2000.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-09-04,2000-09-10,77.42857142857143,Moderate,PM2.5,34-039-0004,44.0,2000-09-04,"The quality of air, water, and land resources are important factors in environmental health.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-09-11,2000-09-17,71.28571428571429,Moderate,NO2,34-039-0004,44.285714285714285,2000-09-11,The New York State Uniform Fire Prevention and Building Code (NYSUFPB Code) adopted requirements relative to school building toilet fixture requirements to control outdoor sources of indoor air pollution.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-09-18,2000-09-24,70.28571428571429,Moderate,PM2.5,34-039-0004,48.0,2000-09-18,The United States Environmental Protection Agency (EPA) has published a report on NOx control technologies for the cement industry in 2000.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-09-25,2000-10-01,56.42857142857143,Moderate,NO2,34-039-0004,44.857142857142854,2000-09-25,"As of 2000, many gas-fired generating facilities in New York had air quality permit restrictions that limited the use of fuel oil at rates above a certain percentage.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-10-02,2000-10-08,68.85714285714286,Moderate,PM2.5,34-039-0004,44.142857142857146,2000-10-02,"Objective facts about the Environment situation:
The New York State Environmental Quality Review Act (SEQRA) and its regulations are in place to review projects like the Astoria Rezoning and Text Amendment. 
Macrophyte management via mechanical shredding can affect water quality in Lake Champlain (Vermont-New York). 
The New York State Dept. of Environmental Conservation has a protocol for no-purge groundwater sampling. 
Canada's oil sands activities impact land, water, and air quality, as well as socio-economic conditions.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-10-09,2000-10-15,64.85714285714286,Moderate,PM2.5,36-061-0010,47.857142857142854,2000-10-09,The air quality on planes is little different from that in New York City.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-10-16,2000-10-22,65.85714285714286,Moderate,PM2.5,34-039-0004,45.142857142857146,2000-10-16,"The ACLU challenged Michigan's anti-mask law in 2000, citing concerns about air quality in downtown Detroit.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-10-23,2000-10-29,90.14285714285714,Moderate,PM2.5,34-039-0004,44.0,2000-10-23,The environmental costs of mountaintop mining valley fill operations are affecting aquatic ecosystems of the Central Appalachians.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-10-30,2000-11-05,54.57142857142857,Good,NO2,34-039-0004,45.142857142857146,2000-10-30,"The health and environmental effects of nuclear weapons testing can be devastating, causing radioactive contamination of the air, water, and earth.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-11-06,2000-11-12,52.0,Good,PM2.5,34-039-0004,39.857142857142854,2000-11-06,The New York State Department of Environmental Conservation Commissioner has determined the lead agency under Article 8 of the Environmental Conservation Law.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-11-13,2000-11-19,67.85714285714286,Moderate,PM2.5,36-061-0010,38.714285714285715,2000-11-13,"The EPA estimated that new rules would prevent 15,000 premature deaths and 350,000 cases of asthma every year.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-11-20,2000-11-26,72.42857142857143,Moderate,PM2.5,34-039-0004,41.714285714285715,2000-11-20,"The New Jersey State Health Assessment Data (NJSHAD) provides information on demographics and social determinants of health, including air quality, in New Jersey.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-11-27,2000-12-03,56.0,Moderate,PM2.5,36-061-0010,37.714285714285715,2000-11-27,"The air quality in Jakarta is poor, with a giant pollution stain visible from the air.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-12-04,2000-12-10,76.0,Moderate,PM2.5,34-039-0004,37.857142857142854,2000-12-04,"The smog layer over Upstate New York on December 10, 2000, was capped by an atmospheric inversion marked by a layer of clouds.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-12-11,2000-12-17,66.71428571428571,Moderate,PM2.5,36-061-0010,40.857142857142854,2000-12-11,"Fine particulate air pollution is linked to mortality in 20 U.S. cities, including New York, Chicago, and Houston, from 1987.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-12-18,2000-12-24,77.85714285714286,Moderate,PM2.5,36-005-0110,36.57142857142857,2000-12-18,The New York Department of Environmental Conservation (DEC) is involved in environmental remediation efforts.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-12-25,2000-12-31,55.714285714285715,Moderate,PM2.5,36-061-0010,36.857142857142854,2000-12-25,"The NY Wa$teMatch website, www.wastematch.org, was launched in fall 2000, funded by a grant obtained from the United States Environmental Protection Agency.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-01-01,2001-01-07,80.42857142857143,Moderate,PM2.5,36-061-0010,40.285714285714285,2001-01-01,"The Illinois Pollution Control Board has implemented ""High-Tech I/M. Test Procedures, Emission Standards, Quality Control"" to control air pollution.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-01-08,2001-01-14,94.71428571428571,Moderate,PM2.5,36-005-0110,36.714285714285715,2001-01-08,"Indoor air quality is a concern in schools, with the New York State Education Department recognizing the importance of IAQ.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-01-15,2001-01-21,73.57142857142857,Moderate,PM2.5,36-061-0010,36.285714285714285,2001-01-15,"The Environmental Protection Agency (EPA) has implemented programs to improve air quality, including economic incentive programs and control of air pollution from new motor vehicles.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-01-22,2001-01-28,106.57142857142857,Unhealthy for Sensitive Groups,PM2.5,36-005-0110,39.0,2001-01-22,"The Federal Register published new national primary drinking water regulations on January 22, 2001, to ensure high-quality water production.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-01-29,2001-02-04,75.28571428571429,Moderate,PM2.5,34-039-0004,36.142857142857146,2001-01-29,"Objective facts about the Environment situation:
The New York State Department of Environmental Conservation (DEC) is responsible for protecting the state's land, water, and air resources, including addressing climate change.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-02-05,2001-02-11,78.85714285714286,Moderate,PM2.5,34-039-0004,35.57142857142857,2001-02-05,"Despite improvements in air quality since the 1970s, air pollution remains an important environmental risk to human health.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-02-12,2001-02-18,84.85714285714286,Moderate,PM2.5,36-061-0010,38.714285714285715,2001-02-12,"The New York State Department of Environmental Conservation, Environmental Quality Board, and Office of the Governor are involved in reducing air pollution and fuel consumption.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-02-19,2001-02-25,68.57142857142857,Moderate,PM2.5,36-061-0010,36.142857142857146,2001-02-19,The New York City Department of Environmental Protection (NYCDEP) and the New York State air quality report have been involved in ambient air monitoring and setting health-based standards for contaminants.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-02-26,2001-03-04,80.0,Moderate,PM2.5,34-039-0004,36.285714285714285,2001-02-26,The New York State Environmental Quality Review Act is a law that guides development proposals within communities in New York State.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-03-05,2001-03-11,64.0,Moderate,PM2.5,36-061-0010,38.714285714285715,2001-03-05,The New York State Department of Transportation (NYSDOT) and the New York State Department of Environmental Conservation are involved in environmental cleanup and regulation efforts in the state.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-03-12,2001-03-18,76.57142857142857,Moderate,PM2.5,34-039-0004,35.857142857142854,2001-03-12,The United Church of Christ's Commission for Racial Justice reported in 1987 that residential proximity to industrial sources of air pollution has a significant impact on environmental quality.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-03-19,2001-03-25,50.714285714285715,Good,NO2,34-039-0004,36.42857142857143,2001-03-19,"The objective facts about the Environment situation are:
- Carpets in schools do not compromise indoor air quality (IAQ). 
- Air pollution has been a concern since medieval times, with historical records of air quality problems in London. 
- Urban forests can help reduce air pollution, improve environmental quality, and enhance quality of life. 
- Air cleaners can improve indoor air quality in residences impacted by wood smoke. 
- Some airports, like San Francisco International Airport, support clean air initiatives.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-03-26,2001-04-01,64.85714285714286,Moderate,PM2.5,36-061-0056,43.42857142857143,2001-03-26,The New Jersey Department of Environmental Protection is confident that negotiations between buyers and sellers will address water quality issues.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-04-02,2001-04-08,68.85714285714286,Moderate,PM2.5,34-039-0004,42.714285714285715,2001-04-02,The New York State Public Service Commission is promoting the use of more diesel generators despite air quality concerns.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-04-09,2001-04-15,71.0,Moderate,PM2.5,36-005-0110,43.285714285714285,2001-04-09,The New York State Clean Water/Clean Air Bond Act was established to address environmental concerns.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-04-16,2001-04-22,74.0,Moderate,Ozone,34-029-0006,47.857142857142854,2001-04-16,"The Environment situation is affected by various factors such as air pollution, urbanization, and poor air quality in cities, which can have negative impacts on human health and the environment.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-04-23,2001-04-29,70.42857142857143,Moderate,Ozone,34-029-0006,44.0,2001-04-23,The United Nations held an international Expert Workshop on Methodologies for Indicators of Sustainable Development in February 1996 to review the progress in developing indicators of sustainable development.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-04-30,2001-05-06,137.42857142857142,Unhealthy,Ozone,34-029-0006,44.57142857142857,2001-04-30,"The New York State Department of Environmental Conservation (DEC) protects the land, water, and air resources in New York.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-05-07,2001-05-13,102.71428571428571,Moderate,Ozone,34-029-0006,45.285714285714285,2001-05-07,"The air quality study was conducted on May 9, 2001, in Glenmont, New York.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-05-14,2001-05-20,69.71428571428571,Moderate,Ozone,34-039-0004,43.0,2001-05-14,New York State Environmental Quality Systems Center at Syracuse University was created in 1993.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-05-21,2001-05-27,58.857142857142854,Moderate,NO2,34-039-0004,43.714285714285715,2001-05-21,"Air quality, health hazards, noise, water quality, and wildlife are some of the environmental concerns in New York.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-05-28,2001-06-03,61.0,Moderate,Ozone,34-023-0011,47.714285714285715,2001-05-28,"New York City's Clean Air Taxi rules have been successful in cutting emissions and reducing air pollution between 2009 and 2019, according to a study.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-06-04,2001-06-10,82.28571428571429,Moderate,Ozone,34-029-0006,45.0,2001-06-04,"The air quality in Beijing, China was reported to be terrible in 2001, with visitors being appalled by the quality of the air.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-06-11,2001-06-17,126.85714285714286,Unhealthy,Ozone,34-027-3001,44.142857142857146,2001-06-11,The United States Environmental Protection Agency (EPA) has an Emission Trends Viewer that provides data on air quality trends.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-06-18,2001-06-24,112.85714285714286,Good,Ozone,34-023-0011,47.42857142857143,2001-06-18,The Environmental Protection Agency (EPA) and Nature Conservancy have celebrated companies for their air-quality initiatives.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-06-25,2001-07-01,161.28571428571428,Unhealthy,Ozone,34-029-0006,43.714285714285715,2001-06-25,"The concern about indoor air quality has been around for centuries, and poor indoor air quality is still a prevalent issue today.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-07-02,2001-07-08,82.85714285714286,Moderate,Ozone,34-023-0006,42.142857142857146,2001-07-02,"The following sources discuss air quality and pollution: AP-42 Vol. I CH1.6 Wood Residue Combustion in Boilers, NJ TRANSIT HOSTS MEETINGS ON WEST SHORE REGION, Preferred and Alternative Methods for Estimating Air Emissions from, and Junking Science to Promote Tobacco.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-07-09,2001-07-15,85.0,Moderate,Ozone,34-029-0006,45.857142857142854,2001-07-09,"Objective facts about the Environment situation:
The sulfur content of bark contributes to SO2 emissions when burned. 
Air pollution from surrounding urban areas has contributed to ozone, acid rain, and haze. 
Mercury speciation in aquatic environments is affected by seasonal variability. 
Air quality concerns include pollution from factory farms and wildfires.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-07-16,2001-07-22,123.85714285714286,Moderate,Ozone,34-029-0006,43.285714285714285,2001-07-16,"The Federal Insecticide, Fungicide, and Rodenticide Act (FIFRA) regulates air and land quality, and potential risks to humans include exposure to pollutants.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-07-23,2001-07-29,111.28571428571429,Moderate,Ozone,34-039-0004,42.42857142857143,2001-07-23,"There were concerns about air quality in New York and other areas in the United States, with exceedances of air quality standards reported in Houston and New York.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-07-30,2001-08-05,133.85714285714286,Unhealthy,Ozone,34-003-0005,46.285714285714285,2001-07-30,The 36-month study report on 65 MPH speed limit in New Jersey found that environmental impacts regarding air quality and noise were only nominally affected.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-08-06,2001-08-12,158.42857142857142,Unhealthy,Ozone,34-029-0006,43.714285714285715,2001-08-06,The air quality in some cities in the US is among the worst due to Canada wildfire smoke.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-08-13,2001-08-19,118.42857142857143,Unhealthy for Sensitive Groups,Ozone,34-023-0011,44.57142857142857,2001-08-13,"Objective facts about the Environment situation:
The New York State Attorney General and Department of Environmental Conservation are involved in environmental monitoring and regulation. 
Regulation 6 NYCRR 617 outlines the State Environmental Quality Review (SEQR) process in New York State. 
Air quality standards compliance reports are available for various cities, including New York.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-08-20,2001-08-26,107.42857142857143,Unhealthy for Sensitive Groups,Ozone,34-019-0001,47.857142857142854,2001-08-20,"The air quality has been a priority in New York, with air quality monitoring equipment installed.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-08-27,2001-09-02,84.0,Moderate,Ozone,34-029-0006,44.857142857142854,2001-08-27,The Natural Resources Defense Council reported on particulate air pollution in 239 American cities in 1996.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-09-03,2001-09-09,99.28571428571429,Moderate,Ozone,36-079-0005,43.714285714285715,2001-09-03,"The Bronx, Chautauqua, Dutchess, Erie, Jefferson, Monroe, and New York have failing grades for air quality, according to the American Lung Association.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-09-10,2001-09-16,66.0,Good,NO2,34-039-0004,46.714285714285715,2001-09-10,"The air quality in New York City after the September 11 attacks was severely impacted, with high levels of pollution and particulate matter in the air.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-09-17,2001-09-23,83.28571428571429,Moderate,NO2,34-029-0006,44.857142857142854,2001-09-17,"On September 18, 2001, the Environmental Protection Agency (EPA) released a statement claiming that the air quality in Lower Manhattan was safe.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-09-24,2001-09-30,64.85714285714286,Good,PM2.5,36-061-0062,45.285714285714285,2001-09-24,"Objective facts about the Environment situation:
Air quality is a concern in New York City, particularly after the September 11, 2001, terrorist attack.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-10-01,2001-10-07,81.57142857142857,Good,Ozone,34-013-0016,49.142857142857146,2001-10-01,The U.S. Environmental Protection Agency (EPA) has 16 stationary air-quality monitors in place to monitor air quality at Ground Zero.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-10-08,2001-10-14,64.57142857142857,Moderate,NO2,36-061-0062,44.714285714285715,2001-10-08,The New York State Environmental Quality Review Act (SEQRA) and its regulations set forth in Volume 6 of the New York Code of Rules and Regulations are relevant to city planning commission actions.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-10-15,2001-10-21,62.714285714285715,Moderate,NO2,34-039-0004,44.57142857142857,2001-10-15,The Illinois Environmental Protection Agency was involved in vehicle emissions arbitration in Kentucky and investigation in New York in 2001.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-10-22,2001-10-28,54.57142857142857,Moderate,NO2,34-039-0004,47.142857142857146,2001-10-22,"The air quality in New York City, particularly in Astoria and Long Island City, has been compromised due to industrial building fires and pollution from factories and airports.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-10-29,2001-11-04,62.285714285714285,Moderate,PM2.5,34-039-0004,43.857142857142854,2001-10-29,"Mercury is not commonly considered a household air pollutant, but it is a concern for indoor air quality.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-11-05,2001-11-11,52.714285714285715,Good,NO2,34-039-0004,39.42857142857143,2001-11-05,"The air quality is poor in homes near Ground Zero in New York, according to a BBC News report in 2001.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-11-12,2001-11-18,75.57142857142857,Moderate,PM2.5,36-061-0062,43.42857142857143,2001-11-12,"The air quality impact of projects needs to be taken into account, and buildings can circulate 50% more indoor air than required by New York City code.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-11-19,2001-11-25,67.14285714285714,Moderate,PM2.5,34-039-0004,40.0,2001-11-19,The New York State Department of Environmental Conservation (DEC) has a program policy to assist staff in interpreting and applying regulations and statutes to assure environmental quality.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-11-26,2001-12-02,65.0,Moderate,PM2.5,36-061-0062,39.0,2001-11-26,"The City of New York is taking steps to reduce air pollution and truck traffic on the streets, including supporting the reconstruction of nearby expressways.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2001-12-03,2001-12-09,68.28571428571429,Moderate,PM2.5,34-039-0004,43.0,2001-12-03,"In December 2001, there were concerns about air quality and pollution in New York State, with protests and campaigns to clean up power plants.",NA
