date,OT,Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),search_fact,search_fact_summary_gpt_5_2
1993-06-14,1.101,1.076,1.103,1.097,1.062,1.092,1.094,1.137,1.188,"The real price of Gulf oil is underestimated, leading to an overestimation of the real price of alternative fuels.","Claims that Gulf crude oil’s real price is being underestimated imply reported oil costs may be lower than actual, which can affect the perceived cost basis for gasoline. The same underestimation is said to overstate the real price of alternative fuels, potentially influencing fuel-switching and demand comparisons relevant to gasoline consumption."
1993-06-21,1.095,1.075,1.101,1.095,1.062,1.077,1.09,1.132,1.186,"In 1993, the International Monetary Fund reported that price pressures eased in world oil markets.",The IMF reported that price pressures eased in world oil markets.
1993-06-28,1.089,1.072,1.1,1.095,1.057,1.068,1.087,1.12,1.182,"The United States Supreme Court based its decision in Phillips Petroleum Co. on the cost per unit of oil and gas produced, which affects the economy of oil and gas extraction.","A U.S. Supreme Court decision involving Phillips Petroleum focused on the cost per unit of oil and gas produced, highlighting legal attention to extraction cost structures. The decision’s emphasis on production unit costs could affect incentives and economics of U.S. oil and gas extraction, a factor relevant to fuel supply conditions."
1993-07-05,1.086,1.068,1.096,1.091,1.054,1.063,1.089,1.111,1.181,The price of oil was at rock bottom in 1993 until the Gulf War.,"Oil prices were at very low levels in 1993 and did not rise until the Gulf War. This indicates that major geopolitical disruptions in the Persian Gulf can rapidly shift crude oil prices, which can feed through into U.S. gasoline prices within weeks."
1993-07-12,1.081,1.066,1.095,1.09,1.05,1.054,1.083,1.134,1.177,"In 1993, about 83% of recycled used oil in the United States was reprocessed for use as fuel.","In 1993, roughly four-fifths of recycled used oil in the U.S. was reprocessed for use as fuel. This provides historical context on used-oil recycling as a supplementary fuel source but contains no current-week information on crude supply, refinery operations, gasoline inventories, or demand."
1993-07-19,1.075,1.062,1.091,1.086,1.046,1.045,1.08,1.124,1.172,"The state energy conglomerate ENI was involved in a scandal in 1993, which led to the suicide of its former chairman Gabriele Cagliari.","ENI faced a major scandal in 1993 that led to the suicide of former chairman Gabriele Cagliari. No information was provided on current crude oil supply, refinery operations, fuel demand, inventories, or policy changes that would affect U.S. gasoline prices in the next 1–7 weeks."
1993-07-26,1.069,1.059,1.089,1.083,1.043,1.036,1.075,1.114,1.168,The presumptive NOx RACT emissions rates for gas/oil are 0.20 to 0.30.,Presumptive NOx RACT emissions rates for gas/oil were cited in a range of roughly 0.20–0.30. These emissions requirements could affect near-term operating constraints or compliance costs for refineries and fuel producers.
1993-08-02,1.062,1.054,1.086,1.077,1.038,1.028,1.07,1.103,1.158,"The Clinton administration passed a budget bill in August 1993, which included a gasoline tax increase from 14.1 cents to 18.4 cents per gallon.",A U.S. federal budget bill passed in August 1993 raised the gasoline tax from about 14 cents to about 18 cents per gallon. This indicates a tax-driven increase in retail gasoline prices independent of crude oil or refining market conditions.
1993-08-09,1.06,1.051,1.081,1.076,1.035,1.026,1.067,1.092,1.159,"The proposed tax rates in Alaska in 1993 would have resulted in people using fuel oil for heating paying the most, about $88 per household.","A 1993 Alaska proposal would have imposed the highest household tax burden on heating fuel oil users (about $88 per household). No information was provided on gasoline supply, demand, refinery operations, crude prices, or current/future gasoline taxes that would affect U.S. gasoline prices over the next 1–7 weeks."
1993-08-16,1.059,1.047,1.077,1.075,1.03,1.025,1.064,1.134,1.154,"Objective facts about the Economy and Energy situation: 
NA","No related news or article content was provided for the week, so there are no extracted facts on crude oil, refinery operations, inventories, demand, or policy that could inform a 1–7 week U.S. gasoline price forecast."
1993-08-23,1.065,1.045,1.072,1.074,1.028,1.043,1.067,1.129,1.155,"Objective facts about the Economy and Energy situation: 
The price of oil was around $28 a barrel in August 1993. 
The copper price changes export earnings by one US cent.",Oil was priced around $28 per barrel in August 1993. Copper price movements were noted as affecting export earnings by about one U.S. cent.
1993-08-30,1.062,1.041,1.069,1.068,1.024,1.04,1.062,1.121,1.155,"The United States experienced rapid growth in 1993, which contributed to an external surplus.","Rapid U.S. economic growth in 1993 was associated with an external surplus, implying stronger domestic activity alongside relatively favorable net trade/financial conditions."
1993-09-06,1.055,1.037,1.065,1.065,1.02,1.029,1.06,1.108,1.154,"Objective facts about the Economy and Energy situation: 
The cost of fuel is a significant factor in the total cost of rulemaking for ultralight vehicles in the United States .","Fuel costs are highlighted as a significant component of overall transportation-related costs in the U.S., signaling that changes in fuel prices can materially affect broader cost calculations. No additional details were provided on crude oil, refining, inventories, demand, outages, or policy actions that typically influence U.S. gasoline prices over the next 1–7 weeks."
1993-09-13,1.051,1.034,1.068,1.063,1.016,1.02,1.054,1.108,1.154,"The United States had various economic and energy-related activities in 1993, including discussions on tuition prices, NOx emissions from process heaters, Pigouvian tax on gasoline, and the national information infrastructure.","In 1993, U.S. discussions included potential gasoline taxation (a Pigouvian tax concept) and considerations around NOx emissions from process heaters. The material provides no near-term supply, demand, refinery, inventory, crude price, or policy action details that would be directly actionable for forecasting U.S. gasoline prices over the next 1–7 weeks."
1993-09-20,1.045,1.028,1.063,1.059,1.009,1.009,1.05,1.093,1.165,"The United States was involved in various economy and energy-related activities in September 1993, including investment in fuel expansion, oil price fluctuations, and natural gas development.",In September 1993 the U.S. saw activity to expand fuel supply alongside oil price fluctuations and ongoing natural-gas development. These factors indicate shifting near-term fuel availability and crude input costs relevant to U.S. gasoline prices over the next several weeks.
1993-09-27,1.047,1.024,1.06,1.057,1.003,1.016,1.042,1.132,1.171,"Sunflower oil has been researched as a potential diesel fuel substitute, since sunflower oil has an energy content equivalent to 93 percent of number 2 U.S. diesel fuel.","Research indicates sunflower oil could serve as a substitute for U.S. No. 2 diesel fuel, with energy content at roughly the low-90% range of conventional diesel. This suggests potential alternative diesel blending/substitution options that could affect overall petroleum distillate demand dynamics relevant to U.S. refined product markets."
1993-10-04,1.092,1.068,1.101,1.104,1.047,1.063,1.086,1.155,1.22,The United States consumes 20% of the world's oil produced.,"The U.S. consumes roughly one-fifth of global oil production, indicating U.S. demand is a major driver of global crude balances. This demand sensitivity can influence crude input costs that feed into U.S. gasoline prices over the next several weeks."
1993-10-11,1.09,1.064,1.092,1.102,1.042,1.065,1.081,1.144,1.215,The price of gasoline increased due to U.N. sanctions in Haiti in 1993.,"U.N. sanctions in Haiti in 1993 were associated with an increase in gasoline prices. The report provides no further details on the size, duration, or transmission channel of the increase."
1993-10-18,1.093,1.063,1.093,1.1,1.041,1.078,1.078,1.149,1.209,"The United States government has taken executive actions related to energy and economy, such as Executive Order 12873, which aims to reduce energy consumption and promote energy efficiency.",U.S. executive actions such as Executive Order 12873 emphasize reducing energy consumption and promoting energy efficiency. These policies could affect near-term gasoline demand by encouraging lower fuel use.
1993-10-25,1.092,1.061,1.091,1.1,1.039,1.074,1.073,1.202,1.202,The rate of inflation in 1993 was 2.9% as measured by the consumer price index. The fiscal deficit rose to US$ 290 billion in 1993.,U.S. consumer inflation in 1993 was roughly 3% based on the CPI. The fiscal deficit increased to about $290 billion in 1993.
1993-11-01,1.084,1.057,1.087,1.099,1.034,1.062,1.069,1.186,1.198,"The agreement to fix, raise or maintain retail gasoline prices is a crime, even if it was never carried out.","Price-fixing or agreements to raise or maintain retail gasoline prices are illegal even if not implemented, highlighting regulatory and legal constraints on coordinated pricing behavior in the retail gasoline market. No information was provided on supply, demand, inventories, refinery operations, crude prices, or other market fundamentals that typically drive U.S. gasoline prices over the next 1–7 weeks."
1993-11-08,1.075,1.053,1.081,1.097,1.029,1.051,1.062,1.169,1.186,"In 1993, the price of a gallon of gasoline in the United States was high, with gas prices rising nearly 5 percent for the second time.","U.S. gasoline prices rose by roughly 5% in 1993, marking a second instance of a similar near‑term increase. The repeated rise suggests upward price momentum during that period."
1993-11-15,1.064,1.048,1.081,1.09,1.025,1.034,1.052,1.158,1.176,"The cost of gasoline and oil in 1990 was estimated to be $0.054/mile, and maintenance and tire costs were estimated to be $0.03/mile.","The only information provided is historical and not current: in 1990, gasoline and oil costs were estimated at roughly $0.05 per mile, with maintenance and tire costs around $0.03 per mile. No details are included on current crude oil prices, refining capacity, inventories, demand, outages, policy, or other near-term factors that would inform U.S. gasoline prices over the next 1–7 weeks."
1993-11-22,1.058,1.043,1.076,1.085,1.019,1.026,1.044,1.171,1.167,"The United States was experiencing a gasoline shortage in 1979, which led to the development of oil stations as a way to deal with the shortage.","A U.S. gasoline shortage in 1979 led to the development of “oil stations” as a response to limited gasoline availability. The item provides historical context but contains no current-week supply, demand, refinery, inventory, or crude price details relevant to near-term U.S. gasoline price forecasting."
1993-11-29,1.051,1.038,1.074,1.081,1.013,1.017,1.04,1.158,1.158,"The U.S. economy is affected by the cost of inputs such as crude oil, gasoline, heating oil, diesel, and propane.","U.S. gasoline prices are highlighted as a key input cost affecting the broader U.S. economy, alongside crude oil, heating oil, diesel, and propane. No additional details were provided on current price levels, supply/demand conditions, refinery operations, inventories, or policy changes that would inform near-term gasoline price movements."
1993-12-06,1.036,1.028,1.064,1.071,1.003,0.994,1.03,1.154,1.147,"The United States experienced two oil price crises in the 1970s, which led to economic troubles and debt.","The U.S. experienced two oil price crises in the 1970s that contributed to broader economic troubles and rising debt. No current-week supply, demand, refining, inventory, policy, or price specifics were provided that would directly inform U.S. gasoline price movements over the next 1–7 weeks."
1993-12-13,1.018,1.015,1.055,1.064,0.986,0.969,1.014,1.135,1.134,The price of gasoline in the United States is affected by the cost of crude oil.,"U.S. gasoline prices are influenced by crude oil costs, so changes in crude oil prices can affect gasoline prices over the next several weeks."
1993-12-20,1.003,1.004,1.047,1.056,0.974,0.948,1.001,1.115,1.122,The price of crude oil imports to the United States and wellhead natural gas prices are compared to the drilling cost index.,"U.S. crude oil import prices and wellhead natural gas prices were reported alongside a drilling cost index, indicating a same-week view of upstream input costs for refining and fuel production. The materials did not provide specific price levels or directional changes beyond establishing these commodities’ relationship to drilling-cost conditions."
1993-12-27,0.999,0.997,1.04,1.051,0.966,0.949,0.993,1.098,1.12,"The Omnibus Budget Reconciliation Act of 1993 was enacted by the US Congress on August 10, 1993, which included price support between the purchase prices of oil shale claims.","The Omnibus Budget Reconciliation Act of 1993 was enacted on August 10, 1993 and included price support provisions related to the purchase prices of oil shale claims. No information was provided on current crude supply/demand, refining capacity, inventories, taxes, or policy changes that would affect U.S. gasoline prices over the next 1–7 weeks."
1994-01-03,0.992,0.992,1.037,1.044,0.962,0.939,0.989,1.085,1.117,The United States Department of the Interior's Office assessed whether oil pollution regulations are applicable to certain situations.,"The U.S. Department of the Interior’s Office reviewed whether oil pollution regulations apply in certain situations, indicating potential regulatory clarification that could affect compliance requirements for oil operations. No details were provided on specific rule changes, affected volumes, or timing."
1994-01-10,0.995,0.989,1.036,1.041,0.958,0.956,0.984,1.065,1.111,"The cost of operating a machine, including fuel, oil, grease, and operator labor, is normally included in a custom hire operation.","Custom hire operating costs typically include fuel (along with oil, grease, and operator labor), indicating fuel price changes can pass through quickly into service rates and related demand. No additional information on gasoline supply, refinery operations, crude prices, inventories, or demand trends was provided."
1994-01-17,1.001,0.987,1.036,1.033,0.958,0.974,0.982,1.092,1.105,"The Northridge earthquake on January 17, 1994, caused significant damage to natural-gas connections, resulting in a high cost to repair and replace them.","A January 1994 Northridge earthquake caused significant damage to natural-gas connections, creating high repair and replacement costs. No current-week information on crude oil, refining capacity, gasoline inventories, demand, or distribution disruptions was provided."
1994-01-24,0.999,0.985,1.032,1.03,0.957,0.972,0.981,1.075,1.104,"The oil price was a significant factor in the economy in 1994, with rising international interest rates and oil price changes affecting the market.","Oil prices were highlighted as a significant economic factor, with changes in oil prices affecting broader market conditions. Rising international interest rates were also mentioned alongside oil price moves as influencing the market environment."
1994-01-31,1.005,0.984,1.028,1.031,0.955,0.989,0.983,1.063,1.104,"Average residential prices for utility (piped) gas, electricity, and fuel oil in the US were tracked in 1994.","U.S. data tracking average residential prices for utility (piped) gas, electricity, and fuel oil is available dating back to 1994. The material provides no information on crude oil, refining, gasoline inventories, demand, or retail gasoline prices that would be directly usable for near-term U.S. gasoline price forecasting."
1994-02-07,1.007,0.989,1.028,1.035,0.962,0.989,0.986,1.056,1.105,The International Monetary Fund (IMF) reported on oil commodity prices and long-term developments in 1994.,"The IMF reported on oil commodity prices and long-term developments in 1994. No near-term supply, demand, inventory, refinery, or policy details relevant to forecasting U.S. gasoline prices over the next 1–7 weeks were provided."
1994-02-14,1.016,0.996,1.033,1.038,0.972,1.001,0.992,1.097,1.106,The oil-price shock was matched by a bigger increase in gold prices.,"Oil prices experienced a notable shock during the week, indicating heightened crude-price volatility that can influence near-term gasoline input costs. Gold prices rose even more than oil, signaling broader market stress and shifting risk sentiment that can coincide with energy-price volatility."
1994-02-21,1.009,0.997,1.035,1.04,0.972,0.984,0.985,1.073,1.11,The United States had a goal of reducing dependence on foreign petroleum imports in the 1990s .,"The U.S. pursued a policy goal in the 1990s of reducing dependence on foreign petroleum imports, implying attention to domestic supply and import exposure as factors affecting fuel markets. No week-specific developments, supply disruptions, inventory changes, or price-related figures were provided."
1994-02-28,1.004,0.996,1.036,1.038,0.97,0.975,0.981,1.062,1.112,The average price of crude corn oil from 1981 to 1994 is provided in a report by the EPA.,"An EPA report provides historical average crude corn oil prices from the early 1980s to mid-1990s. No information is included on current crude oil markets, refinery operations, gasoline inventories, demand, or distribution factors that would directly inform U.S. gasoline price forecasting over the next 1–7 weeks."
1994-03-07,1.007,0.994,1.041,1.036,0.968,0.988,0.978,1.042,1.108,"The oil prices in 1994 were at a low level, with crude oil prices reaching their lowest level in five years in December 1993 and gasoline hitting a seven-year low.","Crude oil prices fell to a five-year low in late 1993 and remained low into 1994, with gasoline prices reaching a seven-year low. The week’s content indicates a low underlying crude cost environment, which typically corresponds with lower wholesale gasoline feedstock costs."
1994-03-14,1.005,0.993,1.038,1.034,0.968,0.981,0.976,1.089,1.109,"The fuel sources for power generation in the US in 1993 were 26.5% gas, 6.4% oil, 50.3% nuclear, 16.4% coal, and 0.4% hydro.","In 1993 U.S. power generation used roughly 27% natural gas and about 6% oil, indicating a relatively limited role for oil in the power sector compared with other fuels. The mix was dominated by about 50% nuclear and roughly 16% coal, with hydro under 1%."
1994-03-21,1.007,0.992,1.034,1.031,0.969,0.984,0.981,1.064,1.115,"The Federal Open Market Committee meeting on March 22, 1994, discussed the increase in producer prices, mainly due to higher prices of gasoline and heating oil, which offset the decline in food prices.","Rising U.S. producer prices were attributed mainly to higher gasoline and heating-oil prices, which more than offset falling food prices. The Federal Open Market Committee discussed this fuel-driven inflation pressure at its March 22, 1994 meeting."
1994-03-28,1.012,0.996,1.033,1.029,0.975,0.992,0.995,1.036,1.114,"The economy and financial markets in the March quarter of 1994 showed a good result, helped by lower world oil prices, which pushed down both retail fuel prices and production costs.","Lower world oil prices in the period described reduced retail fuel prices and production costs, supporting stronger economic and financial market performance."
1994-04-04,1.011,0.996,1.032,1.027,0.976,0.989,0.999,1.027,1.115,"The price of oil and gas was a concern in 1994, with people stockpiling oil, canned food, and non-perishable milk in anticipation of emergencies.","In 1994, oil and gas prices were a public concern, prompting some people to stockpile oil and other essentials in anticipation of emergencies. The material provides no contemporaneous supply, demand, refinery, inventory, or policy details that would inform U.S. gasoline price movements over the next 1–7 weeks."
1994-04-11,1.028,1.004,1.033,1.028,0.988,1.019,1.01,1.081,1.117,The hydrocracking process can be used to produce middle distillate and low-sulfur fuel oil from vacuum gas oil feedstock.,"Hydrocracking can convert vacuum gas oil into middle distillates and low-sulfur fuel oil, implying a refinery process that shifts yields toward diesel/jet and away from gasoline. This suggests potential changes in product supply mix depending on refinery operating choices."
1994-04-18,1.033,1.008,1.036,1.035,0.992,1.025,1.015,1.059,1.128,The oil embargo of 1973 had an impact on the economy and energy prices.,"The 1973 oil embargo disrupted oil supply and drove up energy prices, contributing to broader economic impacts. This historical episode highlights how sudden supply constraints can cause rapid increases in gasoline and other energy prices."
1994-04-25,1.037,1.013,1.039,1.04,0.996,1.029,1.021,1.039,1.133,"The economic value of incremental smallwood production is based on the energy equivalent, with a border price for oil at US$11.23 per cubic meter in 1994.","A 1994 reference value pegs a border price for oil at roughly US$11 per cubic meter, used to estimate the energy-equivalent economic value of incremental smallwood production. No other near-term supply, demand, refining, inventory, or policy details relevant to U.S. gasoline prices are provided."
1994-05-02,1.04,1.017,1.043,1.049,0.998,1.029,1.024,1.039,1.14,,
1994-05-09,1.045,1.018,1.046,1.051,0.999,1.036,1.024,1.104,1.142,The state of California is concerned about the environment and economic disruptions caused by instability in the petroleum market.,California officials highlighted concerns that instability in petroleum markets could cause economic disruptions and environmental impacts in the state. The focus on market instability signals potential near-term sensitivity in California’s gasoline supply and pricing conditions.
1994-05-16,1.046,1.021,1.057,1.055,1.0,1.034,1.025,1.091,1.146,"The United States Army Medical Materiel Agency, Pacific, is involved in the redistribution of assets, including fuel oils, as of May 19, 1994.","A U.S. Army medical logistics agency in the Pacific reported redistributing assets including fuel oils. No additional information on U.S. gasoline supply, demand, refinery operations, inventories, or crude prices was provided."
1994-05-23,1.05,1.023,1.061,1.058,1.001,1.045,1.023,1.069,1.15,Plummeting world oil prices reduced government revenues by 60 percent in the early 1980s and have remained depressed.,"World oil prices fell sharply and stayed depressed, indicating sustained weakness in crude prices. Government oil revenues dropped by roughly 60% in the early 1980s due to the price decline."
1994-05-30,1.056,1.028,1.066,1.069,1.003,1.053,1.028,1.076,1.152,The price of natural gas from old fields is represented by the price of oil in the World Bank model.,"The World Bank model represents natural gas prices from old fields using oil prices, implying oil price movements can proxy for that portion of natural gas pricing. This linkage is relevant because shifts in oil prices can transmit into broader energy cost expectations that may influence fuel markets over the coming weeks."
1994-06-06,1.065,1.036,1.071,1.077,1.012,1.059,1.037,1.135,1.163,"Objective facts about the Economy and Energy situation:
The cost of delivered No. 2 fuel oil is mentioned in the Energy Engineering Analysis Program. 
The overall cost of insurance is not regarded as a part of the production cost structure when pricing is decided. 
Oil prices are mentioned as a factor in the North Sea experience.","Delivered No. 2 fuel oil costs were cited in an energy engineering analysis program, and oil prices were referenced as an influencing factor in North Sea experience. Insurance costs were described as generally excluded from the production cost structure used for pricing decisions."
1994-06-13,1.073,1.044,1.078,1.084,1.021,1.067,1.049,1.126,1.166,"The nominal price of a barrel of oil is affected by various factors, including the availability of alternative fuels and government policies.","Oil prices are influenced by the availability of alternative fuels and by government policies. Since crude oil is a key input cost for gasoline, changes in these factors can affect U.S. gasoline prices over the next several weeks."
1994-06-20,1.079,1.05,1.087,1.089,1.028,1.075,1.051,1.128,1.17,"The rates of pay for certain positions in the United States Code are being adjusted, with consideration for the cost of gasoline and oil.",U.S. Code pay rates for certain positions are being adjusted with explicit consideration of gasoline and oil costs. This indicates government recognition of fuel-cost pressures that could affect operating and labor costs tied to fuel consumption.
1994-06-27,1.095,1.062,1.096,1.1,1.04,1.097,1.067,1.156,1.179,"The largest chemical company in the U.S. produces oil, natural gas, and gasoline.","A major U.S. chemical company also produces oil, natural gas, and gasoline, indicating integrated domestic supply exposure across upstream and refined products. No details were provided on production levels, refinery operations, outages, demand, inventories, or pricing."
1994-07-04,1.097,1.068,1.105,1.106,1.044,1.095,1.072,1.142,1.184,"The United States had fewer than 2 million farmers in 1994, and they were considered price-takers, not price-makers.","The U.S. had fewer than 2 million farmers in the mid-1990s, and they were generally price-takers rather than price-makers. No information was provided on current crude oil markets, refinery operations, fuel inventories, demand, or policy factors that would affect U.S. gasoline prices in the next 1–7 weeks."
1994-07-11,1.103,1.07,1.105,1.109,1.046,1.099,1.072,1.194,1.195,"From 1979 to 1982, the real gasoline price grew by 170%.","Real U.S. gasoline prices rose by roughly 170% from 1979 to 1982. No information is provided on current supply, demand, inventories, refining capacity, crude prices, or policy changes relevant to forecasting U.S. gasoline prices over the next 1–7 weeks."
1994-07-18,1.109,1.074,1.108,1.118,1.049,1.109,1.079,1.179,1.199,The United States has experienced sudden and steep oil price increases in the early 1970s.,"The articles reference sudden, steep oil price increases in the United States during the early 1970s, indicating a period of sharp upstream crude cost shocks. No current-week details are provided on crude supply/demand, refinery operations, inventories, or policy that would inform U.S. gasoline price forecasting over the next 1–7 weeks."
1994-07-25,1.114,1.079,1.112,1.123,1.054,1.119,1.081,1.163,1.205,"The United States government has regulations in place for environmental protection, including those related to oil and gas.","U.S. environmental regulations affecting oil and gas operations can influence gasoline supply conditions by constraining or shaping production, refining, and distribution activities. No time-specific changes, compliance deadlines, or quantified impacts were provided."
1994-08-01,1.13,1.089,1.122,1.134,1.063,1.14,1.096,1.215,1.215,The practice of excluding petrol from inflation measures arose during the OPEC oil price shocks of the 1970s.,"Inflation measures in some contexts exclude petrol, a practice that began during the OPEC oil price shocks of the 1970s. The item provides historical context but includes no current supply, demand, inventory, refining, or price data relevant to near-term U.S. gasoline price forecasting."
1994-08-08,1.157,1.113,1.148,1.154,1.089,1.175,1.126,1.235,1.223,"Between 1977 and 1984, the Point Lisas complex cost US$2,500 million to establish, with the government borrowing up to 75 per cent of its investments.","Trinidad and Tobago’s Point Lisas industrial complex was built between 1977 and 1984 at a cost of about $2.5 billion, with the government borrowing up to roughly three-quarters of its investment."
1994-08-15,1.161,1.124,1.162,1.165,1.1,1.172,1.132,1.234,1.225,"The price of oil was $20/barrel in 1994, which translates to a gasoline price of $0.73/gallon.","Oil averaged about $20 per barrel in 1994, corresponding to roughly $0.73 per gallon for gasoline. This provides a historical oil-to-gasoline price reference point."
1994-08-22,1.165,1.127,1.166,1.167,1.103,1.179,1.134,1.23,1.227,"Natural gas prices plunged to a two-year low on August 25, 1994.","U.S. natural gas prices fell sharply to a two-year low in late August 1994. This indicates weaker near-term gas market pricing pressure that week, which can affect overall refinery fuel costs and energy market sentiment relevant to gasoline."
1994-08-29,1.161,1.126,1.167,1.168,1.1,1.164,1.134,1.293,1.227,"Energy Secretary Hazel O'Leary, who regulated oil and gas prices in the late 1970s, is now heading the Economic Regulatory Administration.","Energy Secretary Hazel O'Leary, who previously regulated oil and gas prices in the late 1970s, is now leading the Economic Regulatory Administration. This leadership change suggests potential shifts in federal oversight or regulatory approach affecting the oil and gasoline markets."
1994-09-05,1.156,1.122,1.164,1.163,1.098,1.158,1.131,1.282,1.227,"The following facts are related to Economy and Energy:
Fuel prices were a concern in 1994, with widespread strikes in some countries. 
There were discussions about fair compensation and prices in contracts for construction of buildings and facilities. 
Petrol and diesel prices were being tracked in India in 1994.","The provided items refer to fuel-price concerns, strikes, and petrol/diesel price tracking in 1994 (including India) and do not contain current-week U.S. market fundamentals such as crude/refined product supply, refinery outages/utilization, inventory changes, demand, or policy actions that would inform U.S. gasoline price forecasting over the next 1–7 weeks. As a result, there are no directly usable near-term indicators for U.S. gasoline prices in the supplied content."
