Wholesale broiler composite,OT,Retail-wholesale spread for broiler composite,date,start_date,end_date,search_fact,report_fact
65.07,161.69,96.62,2001-10-01,2001-10-01,2001-10-31,The United States exports more food and beverage products to Asia.,NA
60.49,159.03,98.54,2001-11-01,2001-11-01,2001-11-30,The state of Iowa has become the number one egg producing state in the nation with over 20 million layers.; The United States Department of Agriculture's Economic Research Service provides research and analysis on the broiler market.,NA
57.07,159.85,102.78,2001-12-01,2001-12-01,2001-12-31,"The favored sources of proteins in the animal feed market are, in order of preference, fish, poultry, beef, and lastly pork.; The Gene and the Stable Door: biotechnology and farm animals report mentions ""well-documented health and welfare problems caused by over-rapid growth of broiler chickens"" in the US. 

All other results are unrelated to the United States broiler market. Therefore, I will mark the remaining parts as ""NA"".",NA
58.87,159.15,100.28,2002-01-01,2002-01-01,2002-01-31,"The Gene and the Stable Door: biotechnology and farm animals report mentions ""well-documented health and welfare problems caused by over-rapid growth of broiler chickens"" in the US. 

All other results are unrelated to the United States broiler market. Therefore, I will mark the remaining parts as ""NA"".; The United States Department of Labor is involved in market conditions and business related to meat and poultry.; The United States is a significant market for livestock feed, including field peas.; NA (No relevant information found); The United States broiler market is affected by changes in poultry demand, which in turn affects prices.",NA
57.65,161.95,104.3,2002-02-01,2002-02-01,2002-02-28,"The United States broiler market is affected by changes in poultry demand, which in turn affects prices.; NA (No relevant information found related to the United States broiler market); The United States remains the world's leading producer of broilers, with a 21.6% market share.",NA
56.27,159.37,103.1,2002-03-01,2002-03-01,2002-03-31,"The national poultry flock in the United States comprises about 99% of the total poultry population.; The meat industry in the United States is a significant sector, and Tyson, a major poultry producer, has been involved in lobbying efforts to influence policy decisions. 

All other search results are irrelevant to the United States broiler market, so I will indicate ""NA"" for the remaining parts:",NA
54.18,161.31,107.13,2002-04-01,2002-04-01,2002-04-30,"The United States broiler market is not directly mentioned in the search results, but we can infer that the price of poultry in Ireland is consumed by four in ten consumers, which might have an indirect impact on the US broiler market.; The U.S. poultry industry has experienced increases in contracting and vertical integration, with changes occurring decades ago.; The demand for broiler chickens was established in markets throughout the Eastern United States and up into Canada.; The broiler industry in the United States uses compound feed 90% of the time.",NA
58.67,159.76,101.09,2002-05-01,2002-05-01,2002-05-31,"The broiler industry in the United States uses compound feed 90% of the time.; The United States has a market for frozen beef.; The 2002 Farm Act projected strengthening global trade and U.S. agricultural exports, resulting in rising market prices in the sector over the next few years.; NA (No relevant information found about the United States broiler market)",NA
59.38,158.93,99.55,2002-06-01,2002-06-01,2002-06-30,"NA (No relevant information found about the United States broiler market); The United States has been dumping chicken leg quarters in the Philippine market, which is detrimental to the domestic broiler industry in the Philippines.; The U.S. national rank in 2000 for grocery stores was led by chicken market, followed by Chick-fil-A, with chicken accounting for a significant percent of the market.",NA
58.41,160.3,101.89,2002-07-01,2002-07-01,2002-07-31,"The United States Department of Agriculture is involved in regulating the agriculture industry, including the broiler market.; The United States Department of Agriculture's Economic Research Service has a division focused on Resource Economics and Farm Sector Performance, which suggests that the department is actively monitoring and researching the agricultural sector, including the broiler market.; The United States broiler market is not mentioned in the provided search results.; The United States is mentioned as a competitor in the pork export market, alongside Canada, Denmark, and Thailand .",NA
57.26,163.62,106.36,2002-08-01,2002-08-01,2002-08-31,"The United States is mentioned as a competitor in the pork export market, alongside Canada, Denmark, and Thailand .; The per capita consumption of milk in Canada dropped by 14 percent since 1980, and farm gate milk prices in Canada are 41 percent higher than in the US.; The National Broiler Marketing Association is a relevant entity in the United States broiler market.",NA
56.97,164.52,107.55,2002-09-01,2002-09-01,2002-09-30,The National Broiler Marketing Association is a relevant entity in the United States broiler market.; The United States Department of Agriculture's Economic Research Service published a report on the Globalization of the Processed Foods Market in 1997.; The National Broiler Marketing Association was mentioned in a context related to antitrust laws and price fixing in the United States.; NA (No relevant information found about the United States broiler market situation); The U.S. poultry consumption has risen rapidly in response to its declining real price,NA
50.67,163.23,112.56,2002-10-01,2002-10-01,2002-10-31,"The U.S. poultry consumption has risen rapidly in response to its declining real price; The United States is the world's largest market for poultry products, with about 70% of production consumed domestically.; NA (No relevant information found)",NA
52.37,165.85,113.48,2002-11-01,2002-11-01,2002-11-30,"NA (No relevant information found); The price of broiler chickens at the consumer level in the United States varies daily, and the price has resulted from the imbalance between supply and demand.; The United States has a well-developed organic market, with organic poultry products costing four times as much as conventional products.; The United States broiler market situation is not mentioned in the provided search results.",NA
50.7,164.2,113.5,2002-12-01,2002-12-01,2002-12-31,"The United States is mentioned as a country with large farms in the context of agricultural drainage water management.; The United States has a significant demand for broilers, with a large portion of grain fed to animals, ranging from over 60 percent in the United States.; As of December 31, 2002, U.S. beef production is mentioned, but no specific data or trend is provided. 

All other search results are irrelevant to the United States broiler market. Therefore, I have to conclude that:",NA
55.55,159.28,103.73,2003-01-01,2003-01-01,2003-01-31,"As of December 31, 2002, U.S. beef production is mentioned, but no specific data or trend is provided. 

All other search results are irrelevant to the United States broiler market. Therefore, I have to conclude that:; The United States broiler market is affected by market demand, and the available egg and broiler meat in the market is positively correlated with demand.",NA
60.65,157.99,97.34,2003-02-01,2003-02-01,2003-02-28,"The United States dominates the market for poultry products in China, supplying 93% of the poultry products.; The U.S. Government provides oilseed farmers in the United States with substantial benefits (loan guarantees and direct payments); The United States market is affected by consumer characteristics and factors affecting demand.; The United States Department of Agriculture provides a national grading service based on official U.S. classes, standards, and grades for poultry.",NA
60.59,159.92,99.33,2003-03-01,2003-03-01,2003-03-31,"The United States Department of Agriculture provides a national grading service based on official U.S. classes, standards, and grades for poultry.; The target market for Bollgard II cotton is 45% of the U.S. cotton acreage that experiences consistent lepidopteran pest pressure.; The United States is a significant producer of poultry, with increasing demand for poultry and poultry products.; NA (No relevant information found about the United States broiler market situation); The United States is a significant player in the agricultural market, with a focus on competitiveness and cost-effectiveness in the domestic market.",NA
59.64,162.2,102.56,2003-04-01,2003-04-01,2003-04-30,"The United States is a significant player in the agricultural market, with a focus on competitiveness and cost-effectiveness in the domestic market.; The United States is a significant player in the global meat market, with pork being the second most consumed meat after beef.; The United States has a significant influence on international grain markets, which can lead to rising prices and pressure on poor countries.",NA
64.03,160.43,96.4,2003-05-01,2003-05-01,2003-05-31,"The United States has a market potential for egg antibodies, with an estimated demand for an end-use product.; The USDA still regulates the sale of poultry carcasses in the United States.",NA
66.41,159.224922698348,92.8149226983483,2003-06-01,2003-06-01,2003-06-30,"The demand for broilers in the United States market can be affected by international trade agreements, such as the U.S.-Chile Free Trade Agreement.; The United States is a major market for lamb and seafood products.; The United States broiler market had opportunities for exports in 2003, particularly to the European Economic Community.; The European poultrymeat market was disrupted due to a fall in prices, which may have an impact on the United States broiler market.",NA
68.39,162.032345373773,93.6423453737733,2003-07-01,2003-07-01,2003-07-31,"NA (No relevant information found); The price of a chicken would have to increase to reflect the true cost of animal welfare in the Chilean poultry market, which is relevant to the United States broiler market. 

All other results are not relevant to the United States broiler market, so I will write ""NA"" for the remaining parts.; The United States has a broiler market, and there is a trade dispute with China regarding chicken products.",NA
71.96,161.068306885793,89.1083068857933,2003-08-01,2003-08-01,2003-08-31,"The United States has a broiler market, and there is a trade dispute with China regarding chicken products.; There is no objective fact about the United States broiler market situation in the provided search results.; The U.S. Department of Agriculture (USDA) prohibits discrimination in all its programs and activities on the basis of race, color, national origin, gender, etc.; NA (No relevant information found about the United States broiler market); The demand and consumption of livestock products, including broilers, is expected to nearly double in the next few decades.",NA
72.02,161.131393087117,89.1113930871173,2003-09-01,2003-09-01,2003-09-30,"The United States is a significant player in the international market for broilers, and the demand for U.S. beef exists in markets like Japan.; The United States is a significant market for poultry products.; The U.S. and Canadian poultry markets are segmented markets due to supply management policies in Canada.",NA
68.86,164.649967563251,95.7899675632505,2003-10-01,2003-10-01,2003-10-31,"NA (No relevant information found about the United States broiler market situation); In 2002, Russia briefly banned imports of U.S. poultry, disrupting U.S. poultry exports to Russia for several months and reducing prices for some U.S. poultry.",NA
69.44,163.230204609403,93.790204609403,2003-11-01,2003-11-01,2003-11-30,"In 2002, Russia briefly banned imports of U.S. poultry, disrupting U.S. poultry exports to Russia for several months and reducing prices for some U.S. poultry.; The U.S. broiler industry has prospered in recent decades, in part, by providing convenience.; Fuel costs comprise 15 to 20% of the total cost of production for a contract broiler grower in the United States.; The United States is one of the main export markets for red snapper from Indonesia; The National Turkey Federation and United Egg are involved in the United States poultry market, which is a primary market for poultry meat.",NA
70.29,164.600239457311,94.3102394573108,2003-12-01,2003-12-01,2003-12-31,"The United States is a major player in the global poultry market, with Egypt being a significant importer of U.S. poultry meat.; The market demand for poultry products, such as broilers, is driven by factors like supply and demand, price, and national food security.; The international maize market, especially the US market, has a dominant influence on local imports and exports as it determines the world price of maize.",NA
74.03,165.575212246574,91.5452122465735,2004-01-01,2004-01-01,2004-01-31,"The international maize market, especially the US market, has a dominant influence on local imports and exports as it determines the world price of maize.; The increasing share of poultry in meat consumption is a general trend.; The U.S. broiler market is not explicitly mentioned in these search results. However, it is mentioned that the prices of outputs are determined by consumers in the market place, which could be applicable to the broiler market.; The price of broiler live bird has fallen to Rs48 in Karachi, Pakistan, due to a fall in demand of poultry birds.",NA
79.57,166.569964132559,86.9999641325593,2004-02-01,2004-02-01,2004-02-29,"The price of broiler live bird has fallen to Rs48 in Karachi, Pakistan, due to a fall in demand of poultry birds.; The bird flu scare has sent the wholesale market plummeting with poultry selling at Rs ten per kilo, its lowest price in the recent past, in India.; The United States is expected to have strong domestic and international demand for broiler meat in 2005, leading to an increase in world meat exports.; The United States broiler market has experienced strong consumer demand, which has helped support prices after the closure of most U.S. export markets.",NA
83.25,166.876984425657,83.6269844256569,2004-03-01,2004-03-01,2004-03-31,"The growth of the poultry industry has led to an increased demand for efficient and cost-effective housing solutions for broilers and layers.; The United States produces wheat that has been engineered to contain even more gluten.; The U.S. Department of Agriculture (USDA) prohibits discrimination in its programs and activities on the basis of race, color, national origin, sex, etc.; The poultry business in the United States has a significant presence, with a large flock of hens.; The United States has lost market share in Poland's poultry imports.",NA
84.75,167.113878020627,82.3638780206268,2004-04-01,2004-04-01,2004-04-30,"The United States has lost market share in Poland's poultry imports.; The United States has a significant poultry industry, with a market share maintained by Swiss egg producers despite being a globalized market.; The United States broiler market is not explicitly mentioned in the provided search results. However, there is information about the pork market, which can be related to the broiler market.; The United States broiler output in 1990 was a significant reference point for comparing the rise of obesity in the country.; NA (no relevant information found about the United States broiler market)",NA
87.77,174.274684097624,86.504684097624,2004-05-01,2004-05-01,2004-05-31,NA (no relevant information found about the United States broiler market); Broiler production in the United States was about 8.4 billion in 2001.; Objective facts about the United States broiler market situation: NA; The United States energy drinks market was a niche category with total sales of nearly $1 billion in 2004.,NA
88.58,173.604682812657,85.0246828126572,2004-06-01,2004-06-01,2004-06-30,"The United States energy drinks market was a niche category with total sales of nearly $1 billion in 2004.; Objective facts about the United States broiler market situation: NA; The United States Department of Agriculture (USDA) notes that there are four primary reasons for the per capita increase in demand for certain products, including changing lifestyles.",NA
86.64,176.184321593399,89.544321593399,2004-07-01,2004-07-01,2004-07-31,"The United States once had half the export market for broiler, but this has changed.; The United States broiler market is not directly mentioned in the provided search results. However, there are mentions of the poultry industry and chicken prices in specific markets.; The United States is a major exporter of broiler chicken, with Japan being the number one export market.; The United States has a significant share in the global poultry market.",NA
79.65,177.359881214514,97.7098812145138,2004-08-01,2004-08-01,2004-08-31,"The United States has a significant share in the global poultry market.; The United States broiler market situation is not explicitly mentioned in the provided search results. However, it can be inferred that per capita consumption of broiler meat in Syria is higher than in the United States.; The forces that shaped the rapid growth of meat demand in the past are expected to weaken considerably in the future.; The average consumption of chicken per person in the United States is 30.5 kg.",NA
69.21,178.279077010989,109.069077010989,2004-09-01,2004-09-01,2004-09-30,The United States broiler market accounts for about 93.6% of the total poultry-meat production.; Objective facts about the United States broiler market situation: NA,NA
64.57,178.878251065031,114.308251065031,2004-10-01,2004-10-01,2004-10-31,"Objective facts about the United States broiler market situation: NA; The United States Department of Agriculture is involved in funding and programs related to agriculture and land use.; The US broiler market is affected by supply and demand, with prices determined by wholesale boxed beef price spreads.; NA (No relevant objective facts about the United States broiler market were found)",NA
60.25,173.343936091499,113.093936091499,2004-11-01,2004-11-01,2004-11-30,"NA (No relevant information found); The United States has taken ""full"" modes 1 and 2 market access and national treatment commitments with respect to gambling and betting services.; The U.S. lamb supply is affected by wool prices, and when wool prices are low, producers tend to sell sheep, increasing the supply of lamb and mutton in the market.; In the USA in 2000, the price of broiler meat was affected by market demands, which led to poultry selection focusing on growth rate and muscle mass in broiler.; NA (No relevant information found about the United States broiler market situation)",NA
62.07,175.332480500917,113.262480500917,2004-12-01,2004-12-01,2004-12-31,"NA (No relevant information found about the United States broiler market situation); The United States has a national response plan in place to prevent and respond to biological terrorist threats or acts, including those affecting the livestock and poultry industry.; The United States has an international market for broilers, with imports and exports affecting domestic demand and prices.; The United States broiler market is not mentioned explicitly in the provided search results.; The U.S. Department of Health and Human Services' National Fresh Market Dominates U.S. Beef.",NA
67.56,171.93,104.37,2005-01-01,2005-01-01,2005-01-31,"The U.S. Department of Health and Human Services' National Fresh Market Dominates U.S. Beef.; Objective facts about the United States broiler market situation:
NA; The United States imports hatching eggs to satisfy demand for different broiler and layer breeds.; The Consumer Price Index (CPI) in the United States measures the price of a base period market basket of goods.; The national injury rate in the meat and poultry industry is more than twice the national average.; The United States is a major market for shrimp, with market demand seemingly limitless.",NA
70.9,173.39,102.49,2005-02-01,2005-02-01,2005-02-28,"The United States is a major market for shrimp, with market demand seemingly limitless.; As of 2005, the United States broiler market is influenced by demand from fast-food chains and has competitive prices.; The Consumer Price Index (CPI) in the United States increased in January 2005, with price increases for pork, poultry, beef, and fish.",NA
69.59,172.09,102.5,2005-03-01,2005-03-01,2005-03-31,"The provided search results do not contain any objective facts about the United States broiler market situation.; The United States broiler market is not directly mentioned in the provided search results. However, there is a mention of the livestock sub-sector, including poultry farmers, having limited access to credit facilities.",NA
68.73,173.02,104.29,2005-04-01,2005-04-01,2005-04-30,"The United States broiler market is not explicitly mentioned in the provided search results. However, it is mentioned that growing consumer demand in the United States for fresh vegetables has also driven growth in the Indian market broiler prices.; The U.S. poultry meat exports increased by 44 percent (in value terms) during January 2005, driven by continuing demand from Mexico's food and meat processors.",NA
70.26,172.26,102.0,2005-05-01,2005-05-01,2005-05-31,"The U.S. poultry meat exports increased by 44 percent (in value terms) during January 2005, driven by continuing demand from Mexico's food and meat processors.; The demand for broiler meat is ever-lasting, and the profit from a single broiler is higher than other poultry birds in the market.; The United States broiler market is not explicitly mentioned in the search results, but it is known that chicken ranks second in annual U.S. meat consumption, behind beef.; The revenue from the poultry business jumped 7% to $1.3 billion in the past year.; The United States was in the forefront of poultry states in the 1940s.",NA
71.17,174.35,103.18,2005-06-01,2005-06-01,2005-06-30,"The United States was in the forefront of poultry states in the 1940s.; The United States has lifted restrictions on eggs and egg products, allowing for increased exports.; The United States is considered to be Vietnam's most important market in the future for seafood exports.; The U.S. broiler market is not explicitly mentioned in the provided search results. However, there is a mention of ""animal products"" and ""demand on animal products"" in the context of Jordan, which could be related to the broiler market.",NA
71.77,173.04,101.27,2005-07-01,2005-07-01,2005-07-31,"The U.S. broiler market is not explicitly mentioned in the provided search results. However, there is a mention of ""animal products"" and ""demand on animal products"" in the context of Jordan, which could be related to the broiler market.; Objective facts about the United States broiler market situation: NA; The United States broiler market is not explicitly mentioned in the provided search results. However, it is known that poultry production is an important industry in the United States, with Northeast producers concentrated on dairying and poultry.; The United States broiler market is not directly mentioned in the search results.; The United States has regulations on live poultry and poultry product imports from certain states.",NA
70.53,174.34,103.81,2005-08-01,2005-08-01,2005-08-31,"The National Dairy Board provided funding for a study on fruit and vegetable consumption, which also mentioned poultry consumption in the United States.; The United States broiler market is experiencing an increase in demand, with the average broiler being increasingly chosen for whole chicken and parts.; The United States Department of Agriculture (USDA) has complex requirements and prohibitions governing meat, poultry, and egg products.; The United States has continued access to the Philippine poultry market.",NA
73.7,177.52,103.82,2005-09-01,2005-09-01,2005-09-30,"The United States has continued access to the Philippine poultry market.; The United States National Income and Product Account (NIPA) classifications provide data on goods and services, including price changes.; The demand for broiler food products increased in the US market, leading to a rise in prices.; The United States Poultry and Egg Export Council (USAPEEC) represents the interests of the U.S. poultry and egg industry worldwide.; The United States broiler market was driven by active demand and firm market prices in 2005.",NA
65.43,175.5,110.07,2005-10-01,2005-10-01,2005-10-31,"The United States broiler market was driven by active demand and firm market prices in 2005.; The U.S. broiler market was affected by Hurricane Katrina, which damaged the nation's grain marketing infrastructure, leading to short-term market broiler price increases.; The United States broiler market is not directly mentioned in the provided search results. However, there are mentions of agricultural pricing policies, farm price-support, and adjustment legislation in the United States.; The United States Government provided a total of support to meet market demand.",NA
58.02,178.21,120.19,2005-11-01,2005-11-01,2005-11-30,"The United States Government provided a total of support to meet market demand.; The United States broiler market is not explicitly mentioned in the provided search results. However, there is information about the pet food industry, which may be related to the broiler market.; The Philippines consumes broiler products, and the demand may be affected by fears of a bird flu pandemic.",NA
54.62,173.18,118.56,2005-12-01,2005-12-01,2005-12-31,"The United States cattle supplies declined due to widespread drought conditions and strong domestic demand for beef, which kept farm prices high.; The United States has a large animal feed industry, with around 6,700 mills manufacturing animal and poultry feeds in 1984.; The US National Institute of Allergy and Infectious Diseases was involved in addressing the bird flu outbreak in 2005.; The 2005 Legislative Session Summary mentions that a measure removes the price cap to allow for free-market pricing of poultry market licenses after the third consecutive inspection failure. 

All other search results are not relevant to predicting the United States broiler market. Therefore, I will fill in the rest of the parts with ""NA"" as follows:",NA
54.89816716,169.52404668342,114.62587952342,2006-01-01,2006-01-01,2006-01-31,"The 2005 Legislative Session Summary mentions that a measure removes the price cap to allow for free-market pricing of poultry market licenses after the third consecutive inspection failure. 

All other search results are not relevant to predicting the United States broiler market. Therefore, I will fill in the rest of the parts with ""NA"" as follows:; The United States broiler market is subject to market forces and the effects of supply and demand, similar to other commodity markets.; The demand for poultry meat in the United States has fallen.; The Consumer Price Index (CPI) report for December 2005 shows that prices for poultry and other meats have changed.; The trend of export demand for high-quality, U.S. poultry products is expected to continue to grow across the globe.; The United States is mentioned as a country in the context of international trade and market prices, but there is no specific information about the broiler market in the US.",NA
53.18150794,154.1487508,100.96724286,2006-02-01,2006-02-01,2006-02-28,"The United States is mentioned as a country in the context of international trade and market prices, but there is no specific information about the broiler market in the US.; The technology was disseminated in January 1996 to meet the growing demand for grouper or lapu-lapu in the local and world market, which also mentions a dilemma in the broiler market.; The United States has over 2,500 Community Supported Agriculture (CSAs) farms, which may impact the demand for organic and sustainably-grown broilers.; The United States Department of Agriculture (USDA) provides free, unbiased price and sales information to assist in the marketing and distribution of farm commodities, including broilers.",NA
48.83509032,163.469826095798,114.634735775798,2006-03-01,2006-03-01,2006-03-31,"The United States Department of Agriculture (USDA) provides free, unbiased price and sales information to assist in the marketing and distribution of farm commodities, including broilers.; The United States Environmental Protection Agency (EPA) is researching emissions from Concentrated Animal Feeding Operations (CAFOs), and the transport of animal products.; Objective facts about the United States broiler market situation: 
The Ohio Poultry Association (OPA) is a non-profit trade organization that represents more than 1,000 egg, chicken and turkey farmers across the state.; The United States has a large broiler market, with market prices based on National Agricultural Statistics.; As of 2006, U.S. poultry producers and processors enjoy a healthy domestic market situation partly supported by slowly growing retail prices relative to other meat prices.",NA
48.98767598,164.423937851518,115.436261871518,2006-04-01,2006-04-01,2006-04-30,"As of 2006, U.S. poultry producers and processors enjoy a healthy domestic market situation partly supported by slowly growing retail prices relative to other meat prices.; The largest live poultry market in the United States is in New York City.; The complete elimination of efficiency-enhancing technologies in the beef industry will result in high beef prices to all consumers, and the U.S. would need to import beef from other countries.; The United States broiler market is affected by national and international market conditions, including prices, demand, and trade policies.; The United States broiler market is not directly mentioned in the search results. However, it is mentioned that 50% of antibiotics are used in the United States of America, which could have implications for the broiler industry.",NA
53.3669066,151.5207012,98.1537946,2006-05-01,2006-05-01,2006-05-31,"The United States poultry market will be eradicated of pandemic influenza, and the population will demand a rapid and coordinated response.; The demand for chicken products helped keep prices at a certain level in the United States.; The United States broiler market is part of the national poultry market, which is subject to state and federal laws designed to ensure food safety and quality.; The United States exported some 156,000 metric tons of poultry to China in 2005, making China the third-largest export market for U.S. poultry behind Russia and Mexico.; The United States broiler market has undergone changes in response to consumer preferences, leading to a segmentation of products targeted to domestic and international markets.",NA
57.75349416,149.5857604,91.83226624,2006-06-01,2006-06-01,2006-06-30,"The United States broiler market has undergone changes in response to consumer preferences, leading to a segmentation of products targeted to domestic and international markets.; The United States has three large sunflower crushing plants and two small plants, which can impact the domestic market for sunflower oil and potentially affect the broiler market as sunflower oil is used as a feed ingredient.; The United States broiler market was affected by the Asian financial crisis in 1997, which reduced global demand for U.S. goods, leading to a drop in market prices for crops by 1998.; The market for poultry and poultry products has demand throughout the year in the United States.; The United States imports a significant portion of its corn demand, cotton, and soybean meal from other countries, including Argentina and Ecuador.",NA
59.21798642,153.3753634,94.15737698,2006-07-01,2006-07-01,2006-07-31,"The United States imports a significant portion of its corn demand, cotton, and soybean meal from other countries, including Argentina and Ecuador.; NA (No relevant information found about the United States broiler market situation); The demand for processed foods, including poultry, is income elastic, meaning that as income increases, demand for these products also increases.; The United States Department of Labor's Bureau of Labor Statistics reported price increases for poultry in June 2006.; The United States is mentioned in several contexts, including agriculture, livestock, and bioenergy crops, but there is no specific information about the United States broiler market situation.; The United States: Oilseeds and Products Supply and Demand data is available, which may be useful in understanding the broiler market.",NA
