date,date.1,end_date,OT,search_fact,report_fact
2000-06-26,2000-06-26,2000-07-02,0.0666666666666666,"Objective facts about the Public Health and FLU situation: 
Epidemics of meningococcal disease are recurrent in sub-Saharan Africa. 
Influenza A infection is related to meningococcal disease. 
Novel Influenza A (H1N1) Virus Infection affects children and can be evaluated through chest radiographic and CT. 
Influenza vaccination rates are important, especially for high-risk populations like kidney dialysis patients. 
Computer reminders for influenza vaccination can reduce morbidity during influenza epidemics.",NA
2000-07-03,2000-07-03,2000-07-09,0.0769230769230769,Influenza (FLU) is known to have originated from birds.,NA
2000-07-10,2000-07-10,2000-07-16,0.1111111111111111,"Objective facts about the Public Health and FLU situation:
The 1918 influenza pandemic was a significant event in the history of infectious diseases. 
Influenza A and B, as well as other respiratory viruses, can cause severe infections in children. 
Psittacosis, a disease caused by Chlamydia psittaci, can cause influenza-like symptoms in humans. 
In 2000, there were reports of high rates of rheumatic fever in certain communities in Africa and Australia.",NA
2000-07-17,2000-07-17,2000-07-23,0.0754716981132075,"There are mentions of malaria, listeria monocytogenes, influenza, and vaccines in the provided search results, but no specific data or trends related to public health and flu.",NA
2000-07-24,2000-07-24,2000-07-30,0.0380952380952381,"The article from 2000 mentions that Rwandese traditional healers use medicinal plants to treat influenza, among other diseases.",NA
2000-07-31,2000-07-31,2000-08-06,0.0232558139534883,"There is no direct information about the current Public Health and FLU situation. However, there are mentions of influenza-related topics, such as swine influenza (SI)  and equine influenza .",NA
2000-08-07,2000-08-07,2000-08-13,0.0,"In 1996-1998, there was influenza A virus outbreak activity in Sydney.",NA
2000-08-14,2000-08-14,2000-08-20,0.0555555555555555,"Objective facts about the Public Health and FLU situation: 
Avian influenza isolates have been reported from ostriches in Africa. 
In 2018, influenza A(H1) was reported.",NA
2000-08-21,2000-08-21,2000-08-27,0.125,"The Influenza virus has mechanisms to evade the immune system, including the induction of p58IPK, a cellular inhibitor of PKR.",NA
2000-08-28,2000-08-28,2000-09-03,0.3529411764705882,The incidence of sepsis caused by pneumococcal and Haemophilus influenzae infections is higher in children of African ancestry.,NA
2000-09-04,2000-09-04,2000-09-10,0.064516129032258,"Influenza virus is mentioned as one of the causes of community-acquired pneumonia, and its detection is included in rapid diagnostic tests.",NA
2000-09-11,2000-09-11,2000-09-17,0.2127659574468085,The genome of the influenza virus consists of eight single strands of RNA.,NA
2000-09-18,2000-09-18,2000-09-24,0.0,"Objective facts about the Public Health and FLU situation:
The flu virus affects millions of people each flu season. 
There are recommendations and contraindications regarding immunizations in patients with epilepsy, including the flu shot and pneumococcal vaccine.",NA
2000-09-25,2000-09-25,2000-10-01,0.0,"The pneumococcal polysaccharide vaccines have been shown to be effective in preventing infectious diseases, including pneumonia and influenza.",NA
2000-10-02,2000-10-02,2000-10-08,0.0,The influenza virus is an infectious pathogen that provides a powerful selection for mechanisms that prolong parasitemia.,NA
2000-10-09,2000-10-09,2000-10-15,0.0,"The influenza virus has been used in immunization studies, such as epidermal immunization by a needle-free powder delivery in mice . Haemophilus influenzae is another pathogen that has been mentioned in the context of symbiosis .",NA
2000-10-16,2000-10-16,2000-10-22,0.0,Influenza virus strains can cause worldwide outbreaks (pandemics) and are maintained in other animal hosts before transmission to humans.,NA
2000-10-23,2000-10-23,2000-10-29,0.0,NA (no relevant information about Public Health and FLU),NA
2000-12-25,2000-12-25,2000-12-31,0.0,The Spanish Flu pandemic in 1918-1919 killed between 20 to 100 million people.,NA
2001-01-01,2001-01-01,2001-01-07,0.0,Influenza virus infection is a highly contagious respiratory disease.,NA
2001-01-08,2001-01-08,2001-01-14,0.0,Influenza viruses assemble at the plasma membrane of the cell.,NA
2001-01-15,2001-01-15,2001-01-21,0.0,"Swine influenza has been a significant zoonotic infection of humans, including fatal cases, and pigs have been the source of these infections.",NA
2001-01-22,2001-01-22,2001-01-28,0.0,"Objective facts about the Public Health and FLU situation:
In 2001, Roche received approval for Tamiflu in Japan for the treatment of influenza A and B virus infection in adults and children. 
RVF infections in humans are usually inapparent or associated with a moderate to severe, nonfatal, influenza-like illness. 
Avian Influenza in Hong Kong caused human deaths.",NA
2001-01-29,2001-01-29,2001-02-04,0.0,Influenza A(H1N1) and influenza A(H3N2) viruses were isolated from samples collected in South Africa during May-July 1995.,NA
2001-02-05,2001-02-05,2001-02-11,0.0,"During community influenza outbreaks, admitting patients infected with influenza to hospitals has led to nosocomial transmission of the disease.",NA
2001-02-12,2001-02-12,2001-02-18,0.0,"The flu (influenza) is often asymptomatic, but when symptoms are present, they usually last less than a week and may include influenza-like illness.",NA
2001-02-19,2001-02-19,2001-02-25,0.0,"The National Institutes of Health (NIH) focuses on various health issues, including infectious diseases, infant/neonatal and child health, and health in Africa, with specific mention of Haemophilus influenzae and Streptococcal diseases.",NA
2001-02-26,2001-02-26,2001-03-04,0.0,The Eastern Mediterranean and North African Region has a systematic review of influenza epidemiology and surveillance.,NA
2001-03-05,2001-03-05,2001-03-11,0.0,"Influenza infection is a risk factor for other infections, such as community-acquired pneumonia.",NA
2001-03-12,2001-03-12,2001-03-18,0.0,The influenza virus infection activates the MAP kinases p38 and JNK and the downstream transcription factors NF-κB.,NA
2001-03-19,2001-03-19,2001-03-25,0.0,"The influenza virus can cause infections, and reducing the number of youth dying from infectious and parasitic diseases such as tuberculosis (TB) and influenza is a public health goal.",NA
2001-03-26,2001-03-26,2001-04-01,0.0,The 1918–1919 pandemic of influenza had a significant urban impact.,NA
2001-04-02,2001-04-02,2001-04-08,0.0625,The influenza pandemic of the early 1920s is mentioned as a possible factor in the epidemiology of Parkinson's disease.,NA
2001-04-09,2001-04-09,2001-04-15,0.0869565217391304,"The flu virus has different strains, such as ""avian"" and ""swine"" flu, and it's essential for people with asthma to guard against it every year.",NA
2001-04-16,2001-04-16,2001-04-22,0.1388888888888889,"The influenza virus has been studied in various contexts, including its interaction with host defense mechanisms, its role in apoptosis, and its immunomodulation.",NA
2001-04-23,2001-04-23,2001-04-29,0.0,The endophytic fungus Streptomyces sp. HN2A53 has shown antiviral inhibitory activity against influenza virus neuraminidase (NA).,NA
2001-04-30,2001-04-30,2001-05-06,0.0625,"The influenza virus has two antigenic surface proteins, haemagglutinin (HA) and neuroaminidase (NA).",NA
2001-05-07,2001-05-07,2001-05-13,0.125,"The infected areas as of May 10, 2001, include Kwazulu-Natal, Lower Umfolozi District, Eshowe/Nkandla, Durban, and Port Shepstone in South Africa, as well as unspecified areas in Swaziland.",NA
2001-05-14,2001-05-14,2001-05-20,0.12,"The outbreak of influenza A(H5N1) virus in poultry was reported in Hong Kong on May 18, 2001.",NA
2001-05-21,2001-05-21,2001-05-27,0.1346153846153846,"The flu can cause blood glucose levels to rise, requiring special care for individuals with diabetes.",NA
2001-05-28,2001-05-28,2001-06-03,0.2586206896551724,Influenza virus infection can be experimentally transmitted in mice.,NA
2001-06-04,2001-06-04,2001-06-10,0.1739130434782608,"The Centers for Disease Control and Prevention (CDC) has published research on infectious diseases, including HIV/AIDS and influenza, and has collaborated with international partners in Africa and Haiti.",NA
2001-06-11,2001-06-11,2001-06-17,0.2280701754385964,There was a sharp increase in infectious disease deaths in 1918 and 1919 caused by an influenza pandemic.,NA
2001-06-18,2001-06-18,2001-06-24,0.180327868852459,NA,NA
2001-06-25,2001-06-25,2001-07-01,0.275,"Influenza is mentioned as a potential disease that mountain gorillas may be exposed to through tourism, and that they have no immunity to.",NA
2001-07-02,2001-07-02,2001-07-08,0.2142857142857142,"The search results do not provide any direct information about the current Public Health and FLU situation. However, it mentions influenza-like symptoms in the context of Hepatitis C Virus Infection.",NA
2001-07-09,2001-07-09,2001-07-15,0.1707317073170731,"Objective facts about the Public Health and FLU situation: 
In Africa, Haemophilus influenzae is a significant cause of lower airway infection . 
Influenza-like illness is monitored through a sentinel surveillance system in Hong Kong .",NA
2001-07-16,2001-07-16,2001-07-22,0.2413793103448276,The African swine fever virus has been found in Ornithodoros ticks.,NA
2001-07-23,2001-07-23,2001-07-29,0.2631578947368421,"The literature review identifies 1415 species of infectious organisms known to be pathogenic to humans, including 217 viruses and prions.",NA
2001-07-30,2001-07-30,2001-08-05,0.0666666666666666,The Equine-2 influenza virus A (H3N8) infection occurred among vaccinated thoroughbred horses in Hong Kong during November 1995.,NA
2001-08-06,2001-08-06,2001-08-12,0.6,"The ""swine flu"" infected millions of people around the world, hospitalizing an alarming number of youth and others, in 2000-2010.",NA
2001-08-13,2001-08-13,2001-08-19,0.25,"Influenza viruses, including H1N1, can stimulate the production of IL-12.",NA
2001-08-20,2001-08-20,2001-08-26,0.3125,NA,NA
2001-08-27,2001-08-27,2001-09-02,0.3181818181818182,"The Global Health sector has created ""FluNet,"" an Internet site devoted to monitoring global influenza activity.",NA
2001-09-03,2001-09-03,2001-09-09,0.0833333333333333,"HIV may produce a brief, flu-like syndrome within a week or so after infection.",NA
2001-09-10,2001-09-10,2001-09-16,0.1612903225806451,Influenza H9N2 has been identified as a human infection in Africa.,NA
2001-09-17,2001-09-17,2001-09-23,0.0769230769230769,Influenza virus is a less desirable pathogen for bioterrorism due to the capacity to develop effective vaccines against it.,NA
2001-09-24,2001-09-24,2001-09-30,0.0909090909090909,"Influenza (flu) is a significant public health concern, and infection rates can be high, with a mortality rate of 50% in some cases.",NA
2001-10-01,2001-10-01,2001-10-07,0.0625,"Objective facts about the Public Health and FLU situation: 
The influenza virus has been mentioned as a cause of various infections and outbreaks, including croup, infantile stridor, and outbreaks in Africa.",NA
2001-10-08,2001-10-08,2001-10-14,0.0333333333333333,"The 1918 influenza epidemic saw emergency measures to limit the spread of infection, including the use of temporary hospitals.",NA
2001-10-15,2001-10-15,2001-10-21,0.0,Influenza was first described by Hippocrates in 412 BC and the first well-described pandemic of influenza-like disease occurred in 1580.,NA
2001-10-22,2001-10-22,2001-10-28,0.0,"The influenza virus is mentioned as a causative agent of disease, along with smallpox and Ebola, and is considered a threat to public health.",NA
2001-10-29,2001-10-29,2001-11-04,0.0,Influenza A and B genomes have eight segments.,NA
2001-11-05,2001-11-05,2001-11-11,inf,"The Centers for Disease Control and Prevention (CDC) and other organizations have conducted research on the safety of multiple immunizations, including those for influenza.",NA
2001-11-12,2001-11-12,2001-11-18,0.0,"In 2001, Haemophilus influenzae type b vaccine was introduced, which is a cause of pneumonia in children, with 20% of bacterial pneumonia cases in Africa being severe enough to require hospitalization.",NA
2001-11-19,2001-11-19,2001-11-25,0.0,"The World Health Organization (WHO) has published information on dengue prevention and control, which also mentions influenza as a similar symptom to dengue fever.",NA
2001-11-26,2001-11-26,2001-12-02,0.0,"In 2001, research identified a new influenza virus protein, PB1-F2, which localizes to mitochondria and causes cell death, potentially offering insights into the pathogenesis of influenza.",NA
2001-12-03,2001-12-03,2001-12-09,0.0,"There is no direct information about the current Public Health and FLU situation. However, there are mentions of influenza in the context of other diseases and vaccination.",NA
2001-12-10,2001-12-10,2001-12-16,0.0,"The influenza virus is one of the causes of croup, along with parainfluenza and respiratory syncytial virus.",NA
2001-12-24,2001-12-24,2001-12-30,0.0,"Objective facts about the Public Health and FLU situation: 
In South Africa, tuberculous infection associated with mining activities is an added high-risk setting. 
Influenza is mentioned as a disease in various contexts, including a national institute for influenza in Zambia recognized by WHO in 1997.",NA
2001-12-31,2001-12-31,2002-01-06,0.0,Influenza infection can suppress lung CD8+ T-cell response to other pathogens,NA
2002-01-07,2002-01-07,2002-01-13,0.0769230769230769,"The article from Nature (2002) suggests that cows could potentially foster flu pandemics, as they can be infected with multiple flu varieties.",NA
2002-01-14,2002-01-14,2002-01-20,0.0,"The influenza A virus can be affected by certain drugs, such as palmitic acid.",NA
2002-01-21,2002-01-21,2002-01-27,0.0,The 2002 influenza season was marked by outbreaks and concerns about avian influenza in Thailand.,NA
2002-01-28,2002-01-28,2002-02-03,0.0303030303030303,"Objective facts about the Public Health and FLU situation:
The Spanish Flu epidemic of 1918 and 1919 was the most devastating pandemic of the 20th century. 
Infectious bronchitis infection is a common poultry disease that can be stopped by vaccinating infected flocks. 
The CDC recommends flu vaccination for travelers to Nepal.",NA
2002-02-04,2002-02-04,2002-02-10,0.0833333333333333,"Objective facts about the Public Health and FLU situation:
The distinctive features of influenza virus infection of dendritic cells have been studied in mice. 
Mucosally administered live attenuated virus vaccines, such as intranasally administered influenza vaccine, are unlikely to affect the response to PPD.",NA
2002-02-11,2002-02-11,2002-02-17,0.1666666666666666,"Objective facts about the Public Health and FLU situation:
Since 1997, more than 120 cases of human avian influenza infections have been documented caused by an influenza A(H5N1) subtype, with mortality rates of . Influenza vaccine will produce a response in most HIV infected children who are not severely immunodeficient and should be given annually in autumn .",NA
2002-02-18,2002-02-18,2002-02-24,0.0,The provided search results do not contain any objective facts about the Public Health and FLU situation.,NA
2002-02-25,2002-02-25,2002-03-03,0.0238095238095238,Influenza virus B and parainfluenza virus are infectious causes of rhabdomyolysis.,NA
2002-03-04,2002-03-04,2002-03-10,0.074074074074074,"The World Health Organization (WHO) reports that dengue infection can range from a mild, self-limiting illness with symptoms resembling influenza to severe disease known as dengue haemorrhagic fever.",NA
2002-03-11,2002-03-11,2002-03-17,0.0256410256410256,"Influenza-like illness has been reported in epidemic regions, particularly sub-Saharan Africa.",NA
2002-03-18,2002-03-18,2002-03-24,0.125,"Objective facts about the Public Health and FLU situation:
The global cholera threat continues to escalate with surges in parts of Africa. 
There was an influenza epidemic in Juneau.",NA
2002-03-25,2002-03-25,2002-03-31,0.0416666666666666,The annual report of GSK in 2001 mentioned Relenza (zanamivir) as a neuraminidase inhibitor for influenza.,NA
2002-04-01,2002-04-01,2002-04-07,0.0470588235294117,Haemophilus influenzae serotype b (Hib) has a significant case fatality rate.,NA
2002-04-08,2002-04-08,2002-04-14,0.0549450549450549,"Objective facts about the Public Health and FLU situation:
The Hepatitis B and Haemophillus influenza type B vaccines have increased, protecting children from more infectious diseases.",NA
2002-04-15,2002-04-15,2002-04-21,0.0139860139860139,"The FDA warned of infection risk in powdered infant formulas due to Enterobacter sakazakii on April 15, 2002.",NA
2002-04-22,2002-04-22,2002-04-28,0.0346820809248554,"Objective facts about the Public Health and FLU situation: 
Yellow fever is a public health concern in Africa, with outbreaks occurring in West Africa as early as 1848 .
Avian influenza is a contagious viral infection that can affect all birds and is transmitted by 15 types of avian influenza viruses .
Smallpox is less transmissible than measles, chickenpox, or influenza, but has secondary attack rates among unvaccinated contacts ranging from 37 to 88 percent .",NA
2002-04-29,2002-04-29,2002-05-05,0.0088495575221238,"The articles and reports from 2002 discuss various infectious diseases, including dengue, influenza, Hantavirus, measles, rubella, enteroviruses, and microsporidiosis.",NA
2002-05-06,2002-05-06,2002-05-12,0.0079051383399209,"HLA-B27 binds and presents peptides from influenza, HIV, Epstein-Barr virus, and other viruses, leading to a vigorous and specific cytotoxic T lymphocyte response.",NA
2002-05-13,2002-05-13,2002-05-19,0.0265486725663716,"Influenza vaccination may reduce the incidence of upper respiratory tract infections and, subsequently, reduce the incidence of acute bacterial bronchitis.",NA
2002-05-20,2002-05-20,2002-05-26,0.0327102803738317,"Influenza virus infection can be affected by CD137 stimulation, which broadens primary antiviral CD8+ T cell responses.",NA
2002-05-27,2002-05-27,2002-06-02,0.0265486725663716,"The World Health Organization (WHO) has unpublished documents related to global infectious disease emergencies, including influenza.",NA
2002-06-03,2002-06-03,2002-06-09,0.0758620689655172,"The 1918 influenza pandemic had a significant impact on Samoa, with the New Zealand trading ship Talune introducing the virus to the island, resulting in widespread infection and death.",NA
2002-06-10,2002-06-10,2002-06-16,0.0522388059701492,"The Centers for Disease Control and Prevention (CDC) provides articles on emerging infectious diseases, including influenza.",NA
2002-06-17,2002-06-17,2002-06-23,0.0909090909090909,"Objective facts about the Public Health and FLU situation:
Influenza and pneumonia were among the top causes of death in South Africa in 2002, with 12,804 deaths reported.",NA
2002-06-24,2002-06-24,2002-06-30,0.0888888888888888,"The influenza virus has been shown to infect individuals, and HLA-B27 typing can be done using PCR.",NA
2002-07-01,2002-07-01,2002-07-07,0.0440528634361233,"Objective facts about the Public Health and FLU situation:
Influenza A (H1N1) virus infection is a concern in healthcare settings.",NA
2002-07-08,2002-07-08,2002-07-14,0.0705882352941176,"Objective facts about the Public Health and FLU situation: 
Influenza B virus can cause severe epidemics with considerable morbidity and mortality .",NA
2002-07-15,2002-07-15,2002-07-21,0.0459183673469387,The influenza A virus (IAV) can infect continuous porcine cell lines developed from alveolar macrophages.,NA
2002-07-22,2002-07-22,2002-07-28,0.1448598130841121,"The influenza virus has been used as a vector for recombinant viral vectors, and testing for viruses should be performed in laboratories with experience in routine virus testing.",NA
2002-07-29,2002-07-29,2002-08-04,0.0268456375838926,The influenza virus is an intracellular pathogen that must infect cells of the body to divide and reproduce.,NA
2002-08-05,2002-08-05,2002-08-11,0.0512820512820512,The global cholera threat continues to escalate with surges in parts of Africa.,NA
2002-08-12,2002-08-12,2002-08-18,0.1162790697674418,"Objective facts about the Public Health and FLU situation:
In 2000, fatal lower respiratory infections, including serious pneumonia and influenza, caused 120 deaths per million. 
Human infection with highly pathogenic H5N1 influenza virus has been reported.",NA
2002-08-19,2002-08-19,2002-08-25,0.1538461538461538,The influenza virus can be rapidly generated using an eight-plasmid system for vaccine development.,NA
2002-08-26,2002-08-26,2002-09-01,0.2631578947368421,"Objective facts about the Public Health and FLU situation: 
In 2002, researchers studied the interaction between viruses and interferon, including influenza A virus . 
There was a study on the viral etiology of frequently recurring respiratory tract infections, which included influenza viruses A and B . 
A study found that chloramphenicol was present in honey imported from China, but there is no direct relation to flu . 
There were cases of human infection with the H7N9 avian influenza virus, resulting in death .",NA
2002-09-02,2002-09-02,2002-09-08,0.032258064516129,The cotton blue disease (CBD) was first described in Central African countries.,NA
2002-09-09,2002-09-09,2002-09-15,0.1764705882352941,"Influenza virus remains among the most important pathogens infecting elderly people, and vaccination is the most cost-effective strategy to reduce morbidity and mortality.",NA
2002-09-16,2002-09-16,2002-09-22,0.1,The influenza epidemic was mentioned in the context of the Tiv people's history in Africa.,NA
2002-09-23,2002-09-23,2002-09-29,0.2105263157894736,The interleukin-35 is upregulated in response to influenza virus infection and secondary bacterial pneumonia.,NA
2002-09-30,2002-09-30,2002-10-06,0.7142857142857143,"Objective facts about the Public Health and FLU situation:
Influenza virus infection can cause repeated infections due to two types of variation, allowing the virus to evade neutralizing antibody-mediated protective immunity. 
Low pathogenic strains of avian influenza virus are considered a biosecurity concern. 
Acute upper respiratory infections of multiple and unspecified sites can be caused by influenza virus with other respiratory viruses.",NA
2002-10-07,2002-10-07,2002-10-13,0.5,"Objective facts about the Public Health and FLU situation:
The global cholera threat continues to escalate with surges in parts of Africa. 
Infectious disease is a global concern, with 90% of infectious disease deaths occurring in developing countries. 
Influenza A receptors were mentioned in the context of infectious disease research. 
West Nile virus (WNV) is a mosquito-borne virus first recognized in Uganda in 1937 and has since been seen in Europe, the Middle East, Africa, and other regions.",NA
2002-10-14,2002-10-14,2002-10-20,0.2727272727272727,"The H5N1 and H5N3 influenza viruses have been studied in laughing gulls, and the birds were found to be susceptible to these viruses.",NA
2002-10-21,2002-10-21,2002-10-27,0.25,"The 1918 influenza epidemic swept the United States during World War I, and a CDC guideline for hand hygiene in health-care settings was published in 2002, highlighting the importance of hand hygiene in preventing the spread of influenza and other infections.",NA
2002-10-28,2002-10-28,2002-11-03,0.1176470588235294,The World Health Organization (WHO) continues to support efforts to eliminate measles infection in Africa.,NA
2002-11-04,2002-11-04,2002-11-10,0.2857142857142857,The Animal Health Act 2002 mentions highly pathogenic avian influenza as a disease of concern.,NA
2002-11-11,2002-11-11,2002-11-17,0.25,"The 1918-1919 influenza pandemic is considered one of the deadliest epidemics in history, accounting for the most deaths from an epidemic disease since the Black Death of the 14th century.",NA
2002-11-18,2002-11-18,2002-11-24,0.1333333333333333,"In 2002, there were concerns about zoonotic influenza virus, which can be transmitted from animals to humans.",NA
2002-11-25,2002-11-25,2002-12-01,1.0,"Between 1997 and 2001, the proportion of children dying from HIV and influenza increased in South Africa.",NA
2002-12-02,2002-12-02,2002-12-08,0.625,The Spanish 'Flu Epidemic of 1918 had consequences on public health reform in South Africa.,NA
2002-12-09,2002-12-09,2002-12-15,0.25,"Influenza vaccination is recommended for individuals with chronic disorders of the cardiovascular or pulmonary systems, including asthma, and chronic metabolic diseases.",NA
2002-12-16,2002-12-16,2002-12-22,0.0,The influenza-like illness can occur out of season and should be noted and reported.,NA
2002-12-23,2002-12-23,2002-12-29,0.0,NA,NA
2002-12-30,2002-12-30,2003-01-05,0.0,"The efficacy of live attenuated, cold-adapted, trivalent, intranasal influenza virus vaccine in children was studied, and the results showed its effectiveness .",NA
2003-01-06,2003-01-06,2003-01-12,0.0,"Objective facts about the Public Health and FLU situation: 
Influenza virus infections cannot be diagnosed clinically with confidence due to similarities with other respiratory viruses. 
The infectious dose of influenza A virus can cause nasal and otologic effects.",NA
2003-01-13,2003-01-13,2003-01-19,0.0,"Objective facts about the Public Health and FLU situation: 
In 2003, research was conducted on Human Parainfluenza Virus Type 3 Hemagglutinin and its mutations. 
There is evidence that human influenza virus can be transmitted by sneezing. 
NIAID has a biodefense research agenda that includes influenza virus. 
Influenza immunization is important in long-term care facilities.",NA
2003-01-20,2003-01-20,2003-01-26,0.0,"In 2003, an influenza outbreak in the Democratic Republic of the Congo resulted in 2,000 deaths and 500,000 cases of infection.",NA
2003-01-27,2003-01-27,2003-02-02,0.0,Influenza vaccine is recommended for healthy children aged 6-23 months and children at high risk.,NA
2003-02-03,2003-02-03,2003-02-09,0.0,"The avian influenza outbreak is a concern for public health, and it is likely that similar transmission would happen with other respiratory agents such as Hantaan (Sin nombre virus) pulmonary syndrome.",NA
2003-02-10,2003-02-10,2003-02-16,0.0833333333333333,"Influenza is a respiratory illness that can cause pandemic outbreaks, which are global outbreaks of disease that occur when a new influenza virus appears or emerges.",NA
2003-02-17,2003-02-17,2003-02-23,0.0,"The concept of network science can be applied to the spread of influenza outbreaks, where individuals in the susceptible state can come into contact with infected persons and contract the disease.",NA
2003-02-24,2003-02-24,2003-03-02,0.1333333333333333,"Influenza co-infection with tuberculosis is a significant public health concern, particularly in Africa.",NA
2003-03-03,2003-03-03,2003-03-09,0.0,The influenza virus causes colds as well as the flu.,NA
2003-03-10,2003-03-10,2003-03-16,0.0,"In 2003, highly pathogenic strains of avian influenza virus, including the H5N1 and H7N7 subtypes, crossed from birds to humans and caused fatal disease.",NA
2003-03-17,2003-03-17,2003-03-23,0.0909090909090909,"In 2003, the World Health Organization (WHO) collaborated on a research project on Severe Acute Respiratory Syndrome (SARS) and influenza.",NA
2003-03-24,2003-03-24,2003-03-30,0.0,"The antigenic diversity of co-circulating influenza strains increases, leading to an increase in their mean infection prevalence and production.",NA
2003-03-31,2003-03-31,2003-04-06,0.0,"Objective facts about the Public Health and FLU situation:
Influenza is a reportable disease in Idaho, USA . Smallpox has a lower rate of transmission than influenza . Influenza vaccine is purchased by General Practitioners to meet local needs, such as for patients in 'at risk' groups .",NA
2003-04-07,2003-04-07,2003-04-13,0.0,"The World Health Organization (WHO) reported on a multi-country outbreak of Severe Acute Respiratory Syndrome (SARS) on April 11, 2003.",NA
2003-04-14,2003-04-14,2003-04-20,0.2,"The influenza virus, along with parainfluenza virus-type, is a significant cause of respiratory infections, and vaccination is an effective way to prevent infection.",NA
2003-04-21,2003-04-21,2003-04-27,0.0714285714285714,"The mortality rate of the Avian Flu virus is around 5%, which is more than twice as deadly as influenza in a pandemic.",NA
2003-04-28,2003-04-28,2003-05-04,0.0,"Objective facts about the Public Health and FLU situation: 
The 1918-1919 flu pandemic killed between 20 and 40 million people, more than the number of deaths in World War I.",NA
2003-05-05,2003-05-05,2003-05-11,0.0714285714285714,"Objective facts about the Public Health and FLU situation: 
In May 2003, a study on pandemic influenza and healthcare demand in the Netherlands was published, analyzing scenario planning for healthcare systems. 
Influenza is a common disease caused by a virus, and Africa experiences it every year. 
Influenza virus can attack humans, and it is an example of a non-permissive host-parasite relationship.",NA
