date,OT,Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),search_fact,search_fact_summary_gpt_5_2
1993-10-25,1.092,1.061,1.091,1.1,1.039,1.074,1.073,1.202,1.202,The rate of inflation in 1993 was 2.9% as measured by the consumer price index. The fiscal deficit rose to US$ 290 billion in 1993.,"[No Notable Change] 1993 CPI inflation and the fiscal deficit are historical macro data with no direct, timely supply-demand signal for next week’s U.S. gasoline prices."
1993-11-01,1.084,1.057,1.087,1.099,1.034,1.062,1.069,1.186,1.198,"The agreement to fix, raise or maintain retail gasoline prices is a crime, even if it was never carried out.","[No Notable Change] A general statement about the illegality of retail gasoline price-fixing provides no new supply, demand, or cost information that would move U.S. gasoline prices next week."
1993-11-08,1.075,1.053,1.081,1.097,1.029,1.051,1.062,1.169,1.186,"In 1993, the price of a gallon of gasoline in the United States was high, with gas prices rising nearly 5 percent for the second time.","[No Notable Change] A historical note about 1993 gasoline prices provides no current-week supply, demand, or crude/refining signal to move U.S. gasoline prices next week."
1993-11-15,1.064,1.048,1.081,1.09,1.025,1.034,1.052,1.158,1.176,"The cost of gasoline and oil in 1990 was estimated to be $0.054/mile, and maintenance and tire costs were estimated to be $0.03/mile.","[No Notable Change] A historical 1990 estimate of per‑mile gasoline and oil cost provides no current supply, demand, or crude price information that would move U.S. gasoline prices next week."
1993-11-22,1.058,1.043,1.076,1.085,1.019,1.026,1.044,1.171,1.167,"The United States was experiencing a gasoline shortage in 1979, which led to the development of oil stations as a way to deal with the shortage.","[No Notable Change] A historical note about a 1979 gasoline shortage provides no current-week supply, demand, or policy information that would affect next week’s U.S. gasoline prices."
1993-11-29,1.051,1.038,1.074,1.081,1.013,1.017,1.04,1.158,1.158,"The U.S. economy is affected by the cost of inputs such as crude oil, gasoline, heating oil, diesel, and propane.",[No Notable Change] The content only notes that fuel input costs affect the U.S. economy without reporting any supply-demand shift or price-moving event for gasoline next week.
1993-12-06,1.036,1.028,1.064,1.071,1.003,0.994,1.03,1.154,1.147,"The United States experienced two oil price crises in the 1970s, which led to economic troubles and debt.","[No Notable Change] A historical recap of 1970s oil price crises provides no current-week supply, demand, or policy developments that would move U.S. gasoline prices next week."
1993-12-13,1.018,1.015,1.055,1.064,0.986,0.969,1.014,1.135,1.134,The price of gasoline in the United States is affected by the cost of crude oil.,"[No Notable Change] The only stated relationship is that U.S. gasoline prices are affected by crude oil costs, but no new information on crude price movements or supply/demand changes is provided to imply a shift next week."
1993-12-20,1.003,1.004,1.047,1.056,0.974,0.948,1.001,1.115,1.122,The price of crude oil imports to the United States and wellhead natural gas prices are compared to the drilling cost index.,[No Notable Change] A comparison of crude oil import prices and wellhead natural gas prices to a drilling cost index provides no new supply-demand or refinery disruption information likely to move U.S. gasoline prices next week.
1993-12-27,0.999,0.997,1.04,1.051,0.966,0.949,0.993,1.098,1.12,"The Omnibus Budget Reconciliation Act of 1993 was enacted by the US Congress on August 10, 1993, which included price support between the purchase prices of oil shale claims.","[No Notable Change] A 1993 budget law about oil shale claim price support is historical and provides no current-week supply, demand, or policy signal affecting U.S. gasoline prices next week."
1994-01-03,0.992,0.992,1.037,1.044,0.962,0.939,0.989,1.085,1.117,The United States Department of the Interior's Office assessed whether oil pollution regulations are applicable to certain situations.,"[No Notable Change] A procedural Interior Department assessment of when oil pollution regulations apply does not signal an immediate shift in crude supply, refinery operations, or demand that would move U.S. gasoline prices next week."
1994-01-10,0.995,0.989,1.036,1.041,0.958,0.956,0.984,1.065,1.111,"The cost of operating a machine, including fuel, oil, grease, and operator labor, is normally included in a custom hire operation.","[No Notable Change] The item only discusses fuel as a component of machine operating costs and provides no information on crude supply/demand, refining conditions, or U.S. gasoline market drivers that would move prices next week."
1994-01-17,1.001,0.987,1.036,1.033,0.958,0.974,0.982,1.092,1.105,"The Northridge earthquake on January 17, 1994, caused significant damage to natural-gas connections, resulting in a high cost to repair and replace them.",[No Notable Change] A historical 1994 earthquake-related natural-gas infrastructure repair cost has no current-week supply/demand implication for U.S. gasoline prices.
1994-01-24,0.999,0.985,1.032,1.03,0.957,0.972,0.981,1.075,1.104,"The oil price was a significant factor in the economy in 1994, with rising international interest rates and oil price changes affecting the market.",[No Notable Change] A historical note about 1994 oil price impacts provides no current supply-demand or refinery information to shift next week’s U.S. gasoline prices.
1994-01-31,1.005,0.984,1.028,1.031,0.955,0.989,0.983,1.063,1.104,"Average residential prices for utility (piped) gas, electricity, and fuel oil in the US were tracked in 1994.","[No Notable Change] A historical note about tracking average U.S. residential utility gas, electricity, and fuel oil prices in 1994 provides no current supply-demand or refinery/crude drivers that would move U.S. gasoline prices next week."
1994-02-07,1.007,0.989,1.028,1.035,0.962,0.989,0.986,1.056,1.105,The International Monetary Fund (IMF) reported on oil commodity prices and long-term developments in 1994.,"[No Notable Change] A 1994 IMF report on oil commodity prices is historical and provides no current-week supply, demand, or market-shock information that would move U.S. gasoline prices next week."
1994-02-14,1.016,0.996,1.033,1.038,0.972,1.001,0.992,1.097,1.106,The oil-price shock was matched by a bigger increase in gold prices.,"[No Notable Change] The note only compares an oil-price shock with a larger rise in gold prices and provides no concrete U.S. gasoline supply, demand, inventory, or refining details to imply a directional move next week."
1994-02-21,1.009,0.997,1.035,1.04,0.972,0.984,0.985,1.073,1.11,The United States had a goal of reducing dependence on foreign petroleum imports in the 1990s .,"[No Notable Change] A historical note about 1990s U.S. goals to reduce foreign petroleum dependence provides no current supply, demand, or price signals for next week’s gasoline market."
1994-02-28,1.004,0.996,1.036,1.038,0.97,0.975,0.981,1.062,1.112,The average price of crude corn oil from 1981 to 1994 is provided in a report by the EPA.,"[No Notable Change] An EPA report on average crude corn oil prices from 1981–1994 provides no current-week supply, demand, refining, or crude-market information relevant to next week’s U.S. gasoline prices."
1994-03-07,1.007,0.994,1.041,1.036,0.968,0.988,0.978,1.042,1.108,"The oil prices in 1994 were at a low level, with crude oil prices reaching their lowest level in five years in December 1993 and gasoline hitting a seven-year low.","[No Notable Change] A historical note about low oil and gasoline prices in 1993–1994 provides no current-week supply, demand, or refinery information that would move U.S. gasoline prices next week."
1994-03-14,1.005,0.993,1.038,1.034,0.968,0.981,0.976,1.089,1.109,"The fuel sources for power generation in the US in 1993 were 26.5% gas, 6.4% oil, 50.3% nuclear, 16.4% coal, and 0.4% hydro.","[No Notable Change] Historical 1993 U.S. power-generation fuel mix data provides no current supply, demand, refining, or crude price signal that would affect next-week U.S. gasoline prices."
1994-03-21,1.007,0.992,1.034,1.031,0.969,0.984,0.981,1.064,1.115,"The Federal Open Market Committee meeting on March 22, 1994, discussed the increase in producer prices, mainly due to higher prices of gasoline and heating oil, which offset the decline in food prices.","[No Notable Change] A past 1994 FOMC discussion noting higher gasoline and heating oil prices provides no current-week supply, demand, or policy developments that would shift U.S. gasoline prices next week."
1994-03-28,1.012,0.996,1.033,1.029,0.975,0.992,0.995,1.036,1.114,"The economy and financial markets in the March quarter of 1994 showed a good result, helped by lower world oil prices, which pushed down both retail fuel prices and production costs.","[No Notable Change] The sole article is a historical 1994 reference to lower world oil prices and does not provide current-week supply, demand, or crude price signals that would move U.S. gasoline prices next week."
1994-04-04,1.011,0.996,1.032,1.027,0.976,0.989,0.999,1.027,1.115,"The price of oil and gas was a concern in 1994, with people stockpiling oil, canned food, and non-perishable milk in anticipation of emergencies.","[No Notable Change] A 1994 historical note about people stockpiling oil and food contains no current supply-demand, refinery, or crude price developments that would move U.S. gasoline prices next week."
1994-04-11,1.028,1.004,1.033,1.028,0.988,1.019,1.01,1.081,1.117,The hydrocracking process can be used to produce middle distillate and low-sulfur fuel oil from vacuum gas oil feedstock.,"[No Notable Change] A general description of hydrocracking provides no week-specific information on crude supply, refinery outages, inventory changes, or demand shifts that would move U.S. gasoline prices."
1994-04-18,1.033,1.008,1.036,1.035,0.992,1.025,1.015,1.059,1.128,The oil embargo of 1973 had an impact on the economy and energy prices.,"[No Notable Change] A historical reference to the 1973 oil embargo provides no current-week supply, demand, or policy signal that would move U.S. gasoline prices next week."
1994-04-25,1.037,1.013,1.039,1.04,0.996,1.029,1.021,1.039,1.133,"The economic value of incremental smallwood production is based on the energy equivalent, with a border price for oil at US$11.23 per cubic meter in 1994.","[No Notable Change] A historical 1994 border price for oil tied to smallwood energy equivalence provides no current-week supply, demand, or crude price signal relevant to next-week U.S. gasoline prices."
1994-05-02,1.04,1.017,1.043,1.049,0.998,1.029,1.024,1.039,1.14,,
1994-05-09,1.045,1.018,1.046,1.051,0.999,1.036,1.024,1.104,1.142,The state of California is concerned about the environment and economic disruptions caused by instability in the petroleum market.,"[No Notable Change] California’s general concern about petroleum market instability cites no specific supply, demand, refinery, or policy change that would move U.S. gasoline prices next week."
1994-05-16,1.046,1.021,1.057,1.055,1.0,1.034,1.025,1.091,1.146,"The United States Army Medical Materiel Agency, Pacific, is involved in the redistribution of assets, including fuel oils, as of May 19, 1994.","[No Notable Change] A 1994 U.S. Army medical logistics asset redistribution involving fuel oils is outdated and unrelated to current U.S. gasoline supply-demand conditions, implying no impact on next week’s prices."
1994-05-23,1.05,1.023,1.061,1.058,1.001,1.045,1.023,1.069,1.15,Plummeting world oil prices reduced government revenues by 60 percent in the early 1980s and have remained depressed.,"[No Notable Change] Depressed world oil prices described as a historical early-1980s condition provide no current-week supply/demand signal, so they imply no actionable change in U.S. gasoline prices next week."
1994-05-30,1.056,1.028,1.066,1.069,1.003,1.053,1.028,1.076,1.152,The price of natural gas from old fields is represented by the price of oil in the World Bank model.,"[No Notable Change] The note about a World Bank modeling assumption linking old-field natural gas pricing to oil provides no concrete supply, demand, or refinery disruption information that would move U.S. gasoline prices next week."
1994-06-06,1.065,1.036,1.071,1.077,1.012,1.059,1.037,1.135,1.163,"Objective facts about the Economy and Energy situation:
The cost of delivered No. 2 fuel oil is mentioned in the Energy Engineering Analysis Program. 
The overall cost of insurance is not regarded as a part of the production cost structure when pricing is decided. 
Oil prices are mentioned as a factor in the North Sea experience.","[No Notable Change] The items only reference generalized cost concepts and a North Sea mention without any U.S. crude/refinery, supply-demand, or policy developments that would move U.S. gasoline prices next week."
1994-06-13,1.073,1.044,1.078,1.084,1.021,1.067,1.049,1.126,1.166,"The nominal price of a barrel of oil is affected by various factors, including the availability of alternative fuels and government policies.","[No Notable Change] The article only describes general factors affecting oil prices without reporting any specific supply, demand, or policy change that would move U.S. gasoline prices next week."
1994-06-20,1.079,1.05,1.087,1.089,1.028,1.075,1.051,1.128,1.17,"The rates of pay for certain positions in the United States Code are being adjusted, with consideration for the cost of gasoline and oil.","[No Notable Change] Adjusting federal pay rates with consideration for gasoline and oil costs does not indicate any near-term shift in crude supply, refining capacity, or demand that would move U.S. gasoline prices next week."
1994-06-27,1.095,1.062,1.096,1.1,1.04,1.097,1.067,1.156,1.179,"The largest chemical company in the U.S. produces oil, natural gas, and gasoline.","[No Notable Change] The statement only notes that a large U.S. chemical company produces oil, natural gas, and gasoline, without reporting any supply disruption, demand shift, or pricing development that would move U.S. gasoline prices next week."
1994-07-04,1.097,1.068,1.105,1.106,1.044,1.095,1.072,1.142,1.184,"The United States had fewer than 2 million farmers in 1994, and they were considered price-takers, not price-makers.","[No Notable Change] The single fact about the number of U.S. farmers in 1994 is unrelated to current crude oil supply/demand, refining, or distribution conditions that drive next-week U.S. gasoline prices."
1994-07-11,1.103,1.07,1.105,1.109,1.046,1.099,1.072,1.194,1.195,"From 1979 to 1982, the real gasoline price grew by 170%.","[No Notable Change] A historical note that real gasoline prices rose 170% from 1979–1982 provides no current-week supply, demand, refinery, or crude-price signal to move U.S. gasoline prices next week."
1994-07-18,1.109,1.074,1.108,1.118,1.049,1.109,1.079,1.179,1.199,The United States has experienced sudden and steep oil price increases in the early 1970s.,"[No Notable Change] A historical note about oil price spikes in the 1970s provides no current supply, demand, or policy developments that would move U.S. gasoline prices next week."
1994-07-25,1.114,1.079,1.112,1.123,1.054,1.119,1.081,1.163,1.205,"The United States government has regulations in place for environmental protection, including those related to oil and gas.","[No Notable Change] General mention of existing U.S. environmental regulations for oil and gas provides no new supply, demand, or refinery disruption information that would move gasoline prices next week."
1994-08-01,1.13,1.089,1.122,1.134,1.063,1.14,1.096,1.215,1.215,The practice of excluding petrol from inflation measures arose during the OPEC oil price shocks of the 1970s.,"[No Notable Change] A historical note on excluding petrol from inflation measures provides no current supply, demand, or policy information that would affect U.S. gasoline prices next week."
1994-08-08,1.157,1.113,1.148,1.154,1.089,1.175,1.126,1.235,1.223,"Between 1977 and 1984, the Point Lisas complex cost US$2,500 million to establish, with the government borrowing up to 75 per cent of its investments.","[No Notable Change] A historical note on Trinidad’s Point Lisas complex financing (1977–1984) provides no current-week supply, demand, or refinery information relevant to near-term U.S. gasoline prices."
1994-08-15,1.161,1.124,1.162,1.165,1.1,1.172,1.132,1.234,1.225,"The price of oil was $20/barrel in 1994, which translates to a gasoline price of $0.73/gallon.",[No Notable Change] A historical 1994 oil-to-gasoline price comparison provides no current supply/demand or policy signal to shift U.S. gasoline prices next week.
1994-08-22,1.165,1.127,1.166,1.167,1.103,1.179,1.134,1.23,1.227,"Natural gas prices plunged to a two-year low on August 25, 1994.",[No Notable Change] A 1994 natural gas price plunge is not relevant to current-week U.S. gasoline market fundamentals and implies no near-term impact on next week’s pump prices.
1994-08-29,1.161,1.126,1.167,1.168,1.1,1.164,1.134,1.293,1.227,"Energy Secretary Hazel O'Leary, who regulated oil and gas prices in the late 1970s, is now heading the Economic Regulatory Administration.","[No Notable Change] A personnel appointment to lead the Economic Regulatory Administration provides no concrete near-term shift in U.S. crude supply, refining capacity, or fuel demand that would move gasoline prices next week."
1994-09-05,1.156,1.122,1.164,1.163,1.098,1.158,1.131,1.282,1.227,"The following facts are related to Economy and Energy:
Fuel prices were a concern in 1994, with widespread strikes in some countries. 
There were discussions about fair compensation and prices in contracts for construction of buildings and facilities. 
Petrol and diesel prices were being tracked in India in 1994.","[No Notable Change] The provided items are dated 1994 and discuss non-U.S. or non-gasoline market issues, offering no current-week supply/demand signal that would move U.S. gasoline prices next week."
1994-09-12,1.15,1.121,1.16,1.163,1.096,1.145,1.129,1.266,1.226,The price of oil in 1994 averaged $31 a barrel.,"[No Notable Change] A historical note that oil averaged $31 per barrel in 1994 provides no current-week supply, demand, or policy signal affecting next week’s U.S. gasoline prices."
1994-09-19,1.14,1.116,1.152,1.157,1.091,1.128,1.123,1.249,1.225,"Objective facts about the Economy and Energy situation:
Crude oil and coal prices are determined by international markets. 
Sugar prices tumbled following the second oil shock in 1979.","[No Notable Change] The facts are either generic (international pricing) or historically unrelated (1979 sugar drop), providing no current-week signal for U.S. gasoline price movement next week."
1994-09-26,1.129,1.111,1.146,1.155,1.085,1.11,1.114,1.23,1.222,"Objective facts about the Economy and Energy situation: 
Delta Air Lines' fuel consumption in 1994 was sensitive to changes in jet fuel prices, with a one-cent change affecting costs by approximately $25 million.","[No Notable Change] A historical note about Delta Air Lines’ 1994 sensitivity to jet fuel price changes provides no current-week supply, demand, or crude/refining signal affecting next week’s U.S. gasoline prices."
1994-10-03,1.12,1.105,1.136,1.153,1.078,1.092,1.109,1.205,1.231,The price of oil was low in the early 1980s,[No Notable Change] A historical note about low oil prices in the early 1980s provides no current supply-demand or policy signal that would move U.S. gasoline prices next week.
1994-10-10,1.114,1.1,1.137,1.147,1.072,1.087,1.103,1.178,1.231,"The gas guzzler tax rates were expected to raise revenue, but a direct tax on gasoline, oil would have more significant effects on the economy.","[No Notable Change] A discussion of potential tax policy (without any enacted change) does not alter near-term U.S. gasoline supply, demand, or retail pricing for the following week."
1994-10-17,1.106,1.098,1.138,1.146,1.069,1.073,1.096,1.16,1.229,"Objective facts about the Economy and Energy situation:
The price of gasoline reached nearly $20 a gallon in the United States on October 19, 1994. 
Economic analysts suggested that a political or military crisis increased U.S. retail gasoline prices by five cents per gallon.","[No Notable Change] The only actionable detail is an analyst estimate of a potential 5¢/gal crisis-related bump with no evidence of a current crisis or supply disruption, while the 1994 $20/gal claim is historical and not predictive for next week."
1994-10-24,1.107,1.098,1.135,1.148,1.069,1.072,1.093,1.213,1.227,"The economy of certain states, such as those in the Federal Reserve district, remained strong in October 1994 despite soft crude oil and natural gas prices.",[No Notable Change] Strong state-level economic conditions alongside soft crude oil and natural gas prices suggest offsetting demand and cost pressures with no clear directional move for U.S. gasoline prices next week.
1994-10-31,1.121,1.112,1.148,1.163,1.083,1.094,1.105,1.189,1.228,"The United States had various energy-related developments in 1994, including the development of damage-cost estimates for different regions by the Energy Commission, and the operation of central heating plants using fuel oil, gas, or other energy sources.","[No Notable Change] The lone article discusses unrelated 1994 U.S. energy developments and provides no current-week supply, demand, refinery, or crude-price information that would move next week’s U.S. gasoline prices."
1994-11-07,1.123,1.122,1.159,1.174,1.091,1.092,1.111,1.174,1.228,The Crystal Oil company's shares rose due to its plan to sell its United States oil and gas fields to the Apache Corporation for about $101 million.,"[No Notable Change] A single corporate asset sale plan (Crystal Oil selling U.S. fields to Apache) does not materially change near-term U.S. crude supply, refining output, or gasoline demand, implying little effect on next week’s gasoline prices."
1994-11-14,1.122,1.121,1.161,1.177,1.088,1.087,1.105,1.209,1.233,The fuel oil price was liberalized in Honduras in 1994.,"[No Notable Change] Honduras’ 1994 fuel oil price liberalization has no direct, time-relevant linkage to U.S. gasoline supply, demand, refining, or crude markets for the following week."
