OT,start_date,date,end_date,search_fact,report_fact
232513,2001-04-01,2001-04-01,2001-04-30,"There are regulations governing highway right-of-way encroachments in Idaho, as approved by the Idaho Transportation Board.; The Transportation for Oahu Plan TOP 2025 provides estimates of travel between different parts of the island, indicating the amount of travel demand.; In the United States, even during peak travel times, many airports have excess capacity.; Traffic volumes in excess of 6,000 vpd would warrant consideration of a TWLTL on a two-lane facility.; In 2001, there were approximately 44,000 deaths in the European Union due to traffic accidents.; The TVT system is used to process the continuous traffic volume trends.",NA
245357,2001-05-01,2001-05-01,2001-05-31,"The TVT system is used to process the continuous traffic volume trends.; The design traffic volume depends on predictions of average daily traffic (ADT) for the target year.; The I-29 highway in the United States begins in Kansas City and has historical traffic volume counts before and after the construction of the 26.; The traffic volume threshold is defined in the MDOT Access Management Manual, and any large traffic generator meeting this threshold shall require a Traffic Impact Analysis.; The U.S. Department of Transportation Bureau of Transportation Statistics provides data on airport activity, including summary tables.",NA
243498,2001-06-01,2001-06-01,2001-06-30,"The U.S. Department of Transportation Bureau of Transportation Statistics provides data on airport activity, including summary tables.; The New York State Department of Transportation (NYSDOT) collects information on the volume of traffic traveling the State's highway system, with traffic count sections arranged in route number sequence for each county.; Objective facts about the Traffic and Transportation situation:
Traffic volumes meet State and Federal traffic signal warrants. 
A valid statewide travel demand model can provide future traffic volumes on all segments of the statewide road network.; The law is the same in every state in the United States regarding traffic.; Objective facts about the Traffic and Transportation situation: 
The Ohio Revised Code outlines traffic laws and regulations in the state of Ohio. 
A transportation project begins with concept plans, which determine the preliminary impacts of the project, including future traffic operations. 
A land use permit is required for modifications to an existing entrance due to changes in land use, traffic volume, or type of traffic. 
The average daily traffic volume is used to determine the need for speed humps on a particular street.",NA
250363,2001-07-01,2001-07-01,2001-07-31,"Objective facts about the Traffic and Transportation situation: 
The Ohio Revised Code outlines traffic laws and regulations in the state of Ohio. 
A transportation project begins with concept plans, which determine the preliminary impacts of the project, including future traffic operations. 
A land use permit is required for modifications to an existing entrance due to changes in land use, traffic volume, or type of traffic. 
The average daily traffic volume is used to determine the need for speed humps on a particular street.; The driving distance from Sacramento to Tahoe is not explicitly stated, but it can be inferred that it takes some time, as the conversation is about visiting relatives in Rocklin, CA, which is northeast of Sacramento.; The United States faces issues with road failure due to truck traffic, and traffic volumes can erode travel-time savings, leading to suppressed trips.; The average daily traffic volume on I-5 south of Highway 42 is 27,800, and it increases to 40,800 vehicles per day north of the interchange.; The traffic volume reduction is a major concern, as seen in the Saranac River Trail Greenway plan.; The 65 MPH speed limit in New Jersey has been in effect since 1995, and a study found that it did not result in a significant increase in travel speed or traffic volume.",NA
253274,2001-08-01,2001-08-01,2001-08-31,"The 65 MPH speed limit in New Jersey has been in effect since 1995, and a study found that it did not result in a significant increase in travel speed or traffic volume.; The volume of cargo in a 2024 Ford Transit Passenger Van XLT ranges from 246.7 to 487.3 cubic feet, depending on the configuration.; Vehicle speeds were recorded at some sites using laser or K-band radar, and traffic volume counts, including turning movements, were collected hourly.; The frequency of trips is affected by population size, distance, and population characteristics.; The Baltimore Washington area is one of the most traffic congested areas in the country.",NA
226312,2001-09-01,2001-09-01,2001-09-30,"The Baltimore Washington area is one of the most traffic congested areas in the country.; There are regulations and guidelines for transportation operations, such as the Wisconsin Department of Transportation's requirements for official signs, and the Marine Corps' transportation operations guidelines.; The average daily traffic volume on a segment of road in Las Vegas, Nevada is a crucial factor in traffic management.; The United States Government does not endorse products or manufacturers.; The state of Ohio has traffic laws that regulate motor vehicles and travel.",NA
241050,2001-10-01,2001-10-01,2001-10-31,"The traffic calming devices, such as speed humps and speed tables, have been shown to reduce vehicle speeds, traffic volumes, and crash rates.; Objective facts about the Traffic and Transportation situation:
Traffic flow theory is a studied field, with reports and models available to analyze traffic volume and travel time. 
Polyester concrete has been used in bridge deck overlays since the 1980s to handle heavy traffic volumes. 
The National Transportation Safety Board (NTSB) investigates accidents, including school bus accidents, and considers factors like traffic volume.; Objective facts about the Traffic and Transportation situation: 
The U.S. Department of Transportation is concerned with travel time, freedom to maneuver, and traffic counts. 
Traffic volume data is used to maintain traffic flow and travel time. 
The number of persons required to conduct traffic count is dependent on the volume of traffic flow.; The USA PATRIOT ACT was enacted on October 26, 2001, which may have implications for transportation security.; The software uses an ORACLE database to store summaries of data and writes processed data to text files for use in the LTPP traffic analysis software.",NA
230511,2001-11-01,2001-11-01,2001-11-30,"The software uses an ORACLE database to store summaries of data and writes processed data to text files for use in the LTPP traffic analysis software.; An analysis of actual US data on all new light rail systems indicates that no system carries more than 1/3 of the volume of a single freeway lane.; The City of San Jose has three levels of traffic calming: Basic, Level I, and Level II, which aim to address speed, high traffic volumes, and discourteous behavior of motorists.; The I-5 in California is known for having terrible traffic jams, especially during holidays like Thanksgiving.; The average daily traffic volume of the Fort McHenry Tunnel is more than 117,000 vehicles.",NA
229584,2001-12-01,2001-12-01,2001-12-31,"The average daily traffic volume of the Fort McHenry Tunnel is more than 117,000 vehicles.; In the United States, the resulting flow of traffic is affected by factors such as time of day and age .; The traffic volume projections could increase by day of the week, and traffic levels also fluctuate by day of the week.; The United States Department of Transportation - Federal Highway Administration is involved in traffic management and enhancements to travel capacity on a metropolitan level.; The 2001 Air Quality Report in New Jersey indicates that fine particles are likely to be a problem in some areas of the state.; The geographic center of the 48 contiguous United States experiences a high volume of traffic, making roads, streets, and highways necessary components of local transportation.",NA
215215,2002-01-01,2002-01-01,2002-01-31,"The geographic center of the 48 contiguous United States experiences a high volume of traffic, making roads, streets, and highways necessary components of local transportation.; Average entering traffic volume of 1,600 vehicles per day is suggested for establishing yield control for streets with lower traffic volume.; The Federal Highway Administration (FHWA) estimates that by 2020 freight volume in the US will increase by 1.5 percent, and US/Mexico traffic by 3.5 percent.; The U.S. Department of Transportation supports state and local governments in the design, construction, and maintenance of the nation's highway system.; Objective facts about the Traffic and Transportation situation:
The average daily traffic volumes on US 59 range from nearly 20,000 vpd at the Fort Bend/Wharton County line to more than 75,000 vpd at SH 6. 
Arterial/major streets are designed for moderate to large traffic volumes traveling at speeds of 35 to 45 mph. 
High traffic volumes, high travel speeds, and large pedestrian volumes are characteristics of wide, two-way streets (four lanes or more).","Travel on all roads and streets in the US changed by +2.2 percent in January 2002 compared to January 2001, resulting in an estimated 213.3 billion vehicle-miles."
208237,2002-02-01,2002-02-01,2002-02-28,"Objective facts about the Traffic and Transportation situation:
The average daily traffic volumes on US 59 range from nearly 20,000 vpd at the Fort Bend/Wharton County line to more than 75,000 vpd at SH 6. 
Arterial/major streets are designed for moderate to large traffic volumes traveling at speeds of 35 to 45 mph. 
High traffic volumes, high travel speeds, and large pedestrian volumes are characteristics of wide, two-way streets (four lanes or more).; In 1996, more than 5400 pedestrians were killed in traffic crashes in the United States, accounting for about 13 percent of all traffic fatalities.; In the United States, congestion at intersections is a significant issue, and signal timing can be used to manage traffic flow.; The Transportation Research Board (TRB) has published reports on traffic flow, transportation, and safety management processes.; Objective facts about the Traffic and Transportation situation:
The State Highway Access Code predicts that traffic volume in the travel lane will be below 150 DHV, providing for local rural travel.","Travel on all roads and streets in the US changed by +3.3% in February 2002 compared to February 2001, with an estimated 205.9 billion vehicle-miles traveled. The West region saw the highest increase at +5.6%, while the South Gulf region saw the lowest increase at +1.5%."
236070,2002-03-01,2002-03-01,2002-03-31,"Objective facts about the Traffic and Transportation situation:
The State Highway Access Code predicts that traffic volume in the travel lane will be below 150 DHV, providing for local rural travel.; The Virginia Judiciary E-Filing System (VJEFS) allows members of the Virginia judiciary to access civil, criminal, and traffic cases online.; Traffic volumes, levels of service, and ease of travel are important factors in understanding traffic conditions.; The cost of parking can be a significant share of the total trip cost, even higher than the amount spent on gasoline.; Pedestrian crashes occur most frequently in urban areas where pedestrian activity and traffic volumes are greater compared to rural areas.","The estimated vehicle miles of travel (VMT) for March 2002 was 232.7 billion, a 0.7% increase compared to March 2001. The VMT on rural roads was 91.2 billion, and on urban roads and streets was 141.5 billion."
237226,2002-04-01,2002-04-01,2002-04-30,"Traffic volumes on rural sections of state highways in Umatilla County have been increasing at rates between two and four percent per year.; The average travel time from Duck Key to Key West is around 2-2.5 hours during the day and 2 hours in the evening.; The average daily traffic volume at the US-Mexico border crossing was recorded by the US Customs and the city of Laredo.; The week following a catastrophic event, such as an earthquake, area traffic volumes are substantially lower as people make alternative travel or work plans.; The average daily traffic (ADT) volume on a roadway can be used to determine the impact of traffic on the surrounding area.","Travel on all roads and streets in the US changed by +1.5% in April 2002 compared to April 2001, resulting in an estimated 234.5 billion vehicle-miles. This total includes 92.2 billion vehicle-miles on rural roads and 142.3 billion vehicle-miles on urban roads and streets."
251746,2002-05-01,2002-05-01,2002-05-31,"The average daily traffic (ADT) volume on a roadway can be used to determine the impact of traffic on the surrounding area.; The average speed on a road section and average traffic volume per day are factors that affect accident severity and loss values of crashes.; The Merritt Parkway has lower traffic levels compared to other modern limited access highways in the state.; The US Federal Aviation Administration (FAA) and the Boeing Commercial Airplane Company were advisors to the US Accredited Representative in an aviation occurrence report in 2002.; There are various traffic data collection procedures, including volume counts, that are used to monitor and manage traffic flow.","Travel on all roads and streets in the US changed by +2.0 percent in May 2002 compared to May 2001, resulting in an estimated 248.8 billion vehicle-miles traveled. The total includes 100.1 billion vehicle-miles on rural roads and 148.7 billion vehicle-miles on urban roads and streets."
247868,2002-06-01,2002-06-01,2002-06-30,"There are various traffic data collection procedures, including volume counts, that are used to monitor and manage traffic flow.; The frequency of use of Soil Vapor Extraction (SVE) is second only to groundwater pump and treat in the United States.; The fundamental assumption of calibration is that the travel behavior models in traffic analysis accurately reflect real-world traffic behavior.; The type of Advanced Public Transportation System (APTS) commonly installed in the United States has a speaker mounted inside or in the vicinity of the bus stop, which produces an audible signal when traffic volume is lower.; Commercial vehicle travel time and delay at U.S. border crossings varied greatly in their ability to handle volume shifts.","Travel on all roads and streets in the US changed by +1.6 percent in June 2002 compared to June 2001, resulting in an estimated 246.3 billion vehicle-miles traveled. The total includes 100.2 billion vehicle-miles on rural roads and 146.0 billion vehicle-miles on urban roads and streets."
256392,2002-07-01,2002-07-01,2002-07-31,"Average daily traffic (ADT) is the volume of traffic traveling on a roadway during a typical (or average) day.; The current volume of Lake Texoma is being surveyed to determine its current state.; The estimation of future traffic volumes involved the use of a travel projection model that utilized existing population, employment, and development trends.; The volume of traffic has increased enormously and has become concentrated on certain dominant routes, thus intensifying the traffic situation.; The volume of truck traffic is unusually high in certain areas.","Travel on all roads and streets in the US changed by +2.3 percent in July 2002 compared to July 2001, resulting in an estimated 254.5 billion vehicle-miles."
258666,2002-08-01,2002-08-01,2002-08-31,"The volume of truck traffic is unusually high in certain areas.; The total traffic volume is a concern, with increased automobile travel leading to increased traffic congestion delays, crashes, and total amount of vehicle travel required.; The research on women's issues in transportation highlights the differences in travel patterns between men and women.; The United States has experienced urban sprawl, which affects transportation and land use.; The Oregon Department of Transportation has researched safety related to traffic control and roadway elements.","Objective facts about the Monthly United States nationwide vehicle miles traveled (VMT) situation:
Travel on all roads and streets in the US changed by +1.8% in August 2002 compared to August 2001, resulting in an estimated 256.2 billion vehicle-miles."
233625,2002-09-01,2002-09-01,2002-09-30,"The Oregon Department of Transportation has researched safety related to traffic control and roadway elements.; The New York State Department of Transportation has guidelines for historic bridge relocation, considering factors like bridge type, size, distance moved, and transportation costs.; The traffic volume for subdivision streets shall be developed as specified in Appendix B (1) of the Department's Road Design Manual.; The study of traffic calming design process was conducted in America and some European countries and it was published in the Journal of the Eastern Asia Society for Transportation Studies, Vol. 7, 2007.; Trail Ridge Road, which is Hwy 34 through Rocky Mountain National Park, is closed to through travel for the winter due to high volume of traffic.; In the United States, pedestrian crashes are most prevalent during morning and afternoon peak periods, when traffic volumes are highest.","Travel on all roads and streets changed by +2.2 percent for September 2002 as compared to September 2001, with an estimated 229.6 billion vehicle-miles traveled."
245556,2002-10-01,2002-10-01,2002-10-31,"In the United States, pedestrian crashes are most prevalent during morning and afternoon peak periods, when traffic volumes are highest.; The traffic volume on local and state roads is a significant factor in evaluating transportation trends and statistics.; In 2001, traffic volume delays lasted hours during the Fair, and HELP vehicles were used as part of a comprehensive ITS effort to manage traffic volumes.; The peak traffic volumes in Ayer generally coincide with the departures and arrivals of the MBTA Commuter Rail.; The volume of traffic is one of the most important factors in transportation planning, and it can be affected by various factors such as recreational vehicles, weather conditions, and time of day.","Travel on all roads and streets changed by +1.3 percent for October 2002 as compared to October 2001, with an estimated 243.2 billion vehicle-miles traveled. The breakdown by region is: West (+2.6%), North Central (+1.7%), South Gulf (+0.2%), Northeast (+1.5%), and South Atlantic (+0.5%)."
230648,2002-11-01,2002-11-01,2002-11-30,"The volume of traffic is one of the most important factors in transportation planning, and it can be affected by various factors such as recreational vehicles, weather conditions, and time of day.; The U.S. Department of Transportation provides online resources for traffic information, allowing users to check traffic conditions before embarking on a trip.; The primary advantage of the hazard index approach is that it is easily understood, and an increase in either highway traffic volume or train traffic volume increases the hazard index.; The AGILE mobile solution, available on Android or iOS devices, helps to avoid elevator traffic congestion and physical interaction.; The traffic volume and commercial areas are positively correlated with litter levels in Iowa.","Travel on all roads and streets in the US changed by -0.6% in November 2002 compared to November 2001, with an estimated 228.2 billion vehicle-miles traveled."
234260,2002-12-01,2002-12-01,2002-12-31,"The traffic volume and commercial areas are positively correlated with litter levels in Iowa.; Objective facts about the Traffic and Transportation situation 
The volume of traffic on the California Trail increased significantly after the discovery of gold at Sutter's Mill. 
NEXUS enrollment centers opened in Detroit-Windsor and will be expanded to all other high-volume crossings between the US and Canada by the end of 2003. 
Rail shipment of hazardous materials is of particular interest to chemical shippers and railroads due to the large volume shipped by rail.; Traffic volume distributions vary between weekdays and weekends, and can be obtained from reports such as the Maryland State Highway Administration's Traffic Trends report.; Objective facts about the Traffic and Transportation situation:
The peak periods of travel when traffic volumes are highest were selected for an Origin/Destination Survey in Sussex, NJ. 
Traffic volume is a key consideration in pedestrian and bicycle facility planning and design, with a policy statement adopted by the United States Department of Transportation. 
Traffic information, including adjacent development traffic, is used in the development of future year background traffic volumes in the Town of Cramerton Land Development Code.; Assuming 30 vehicles per day travel on an unpaved road, it can impact the soil screening levels.; Objective facts about the Traffic and Transportation situation:
The 2003 edition of the Manual on Uniform Traffic Control Devices for Streets and Highways provides guidelines for traffic control devices and traffic laws in the United States. 
There is a model set of motor vehicle codes and traffic laws for use throughout the United States, known as the UVC. 
Some highway segments have increased in traffic volume between 1995 and 2000, while others have decreased. 
Road transport accounts for just over 90% of the total volume of travel in Sweden. 
Traffic volumes represent a small fraction of regional trips, but a significant portion of traffic experiences congested, unstable traffic flow.","In December 2002, travel on all roads and streets changed by +1.4 percent compared to December 2001, resulting in estimated travel of 231.3 billion vehicle-miles."
218534,2003-01-01,2003-01-01,2003-01-31,"Objective facts about the Traffic and Transportation situation:
The 2003 edition of the Manual on Uniform Traffic Control Devices for Streets and Highways provides guidelines for traffic control devices and traffic laws in the United States. 
There is a model set of motor vehicle codes and traffic laws for use throughout the United States, known as the UVC. 
Some highway segments have increased in traffic volume between 1995 and 2000, while others have decreased. 
Road transport accounts for just over 90% of the total volume of travel in Sweden. 
Traffic volumes represent a small fraction of regional trips, but a significant portion of traffic experiences congested, unstable traffic flow.; Missouri Avenue has a stable traffic volume of approximately 20,000 cars per day over the last 5 years.; The projected traffic volumes for 2025 are expected to impact travel speeds in the U.S. Route 219 corridor.; Objective facts about the Traffic and Transportation situation: 
The average daily motor vehicle traffic volume was 900 vehicles at a specific crossing in a railway investigation report .
One of the objectives of the Crandon Boulevard Master Plan study was to analyze the usage patterns and volumes of vehicular traffic along Crandon Boulevard .; Objective facts about the Traffic and Transportation situation: 
Traffic volume data is available for specific locations, such as Cahuenga Blvd and Franklin Ave, with 11,055 traffic volume in 2009 .
Traffic congestion is a concern, and there are strategies to manage it, such as the Concurrency System and Practices .
There are investigations into excessive speeding and traffic volumes in certain areas .","The estimated vehicle miles traveled (VMT) for January 2003 is 215.5 billion, a 0.8% increase compared to January 2002."
203677,2003-02-01,2003-02-01,2003-02-28,"Objective facts about the Traffic and Transportation situation: 
Traffic volume data is available for specific locations, such as Cahuenga Blvd and Franklin Ave, with 11,055 traffic volume in 2009 .
Traffic congestion is a concern, and there are strategies to manage it, such as the Concurrency System and Practices .
There are investigations into excessive speeding and traffic volumes in certain areas .; The proportion of cars to the total traffic volume measured along major commuter corridors into cities varies.; Objective facts about the Traffic and Transportation situation:
Existing traffic counts, both average daily, are used to determine access management in Chesapeake City. 
Service lives of pavement markings decrease as traffic volume increases. 
Idaho accounts for 54% of the state's vehicle miles of travel. 
A growing proportion of travel in urban areas in the US is occurring in congested and oversaturated conditions.; Shared roadways are the most common way for bicycles to travel in the United States. Bike lanes should be one-way facilities and carry bike traffic in the same direction as motor vehicle traffic.; Traffic volume is a key factor in understanding and improving safety, and data is essential for projecting traffic volumes and identifying trends.","Travel on all roads and streets in the US changed by -2.9% in February 2003 compared to February 2002, resulting in an estimated 200.3 billion vehicle-miles traveled."
236679,2003-03-01,2003-03-01,2003-03-31,"Traffic volume is a key factor in understanding and improving safety, and data is essential for projecting traffic volumes and identifying trends.; Traffic calming programs are being implemented in various communities throughout the United States to address high traffic volume and speed.; The monitoring program focuses primarily on HOV and freeway vehicle volumes, bus ridership levels, vehicle occupancy levels, and travel times in the HOV lanes.; The traffic volumes are high on the ramps carrying traffic between the Bruckner and Sheridan Expressways, as it is a major part of the interstate route.; Objective facts about the Traffic and Transportation situation: 
There was a decrease in travel and air traffic in the United States during the Iraq War in 2003, with a 15% drop in travel on U.S. airlines on March 19, 2003.; The Detroit Metropolitan Area Traffic Study (DMATS) was conducted in 1953, which involved travel demand forecasting.","Travel on all roads and streets in the US changed by -0.3% in March 2003 compared to March 2002, resulting in an estimated 233.2 billion vehicle-miles traveled."
239415,2003-04-01,2003-04-01,2003-04-30,"The Detroit Metropolitan Area Traffic Study (DMATS) was conducted in 1953, which involved travel demand forecasting.; The United States has a significant amount of passenger travel, with 415 billion passenger miles flown in 1995 .; The overall traffic volume reduction depends on the nature of the traffic calming measure and the number of movements obstructed.; The U.S. Highway 84 runs primarily in an east-west direction, but provides for travel in a north-south direction in Hewitt, Texas.; The volume, weight, and speed of vehicular traffic, particularly trucks and buses, are factors to consider when locating new highway-railroad grade crossings.","Travel on all roads and streets in the US changed by +0.7 percent in April 2003 compared to April 2002, resulting in an estimated 236.4 billion vehicle-miles."
253244,2003-05-01,2003-05-01,2003-05-31,"The volume, weight, and speed of vehicular traffic, particularly trucks and buses, are factors to consider when locating new highway-railroad grade crossings.; The Linear Road Benchmark is a system that determines tolls based on current traffic conditions.; Traffic volumes on key roadways have increased significantly since 1965, especially in areas with high population density such as State College, PA.; The 91 Express lanes in the United States were the first effort of road pricing, aiming to maintain free flow travel speed.; The 2003 Pennsylvania Crash Facts and Statistics report indicates that crash data is collected by state, county, municipal, and other law enforcement agencies.","The total estimated vehicle-miles of travel for May 2003 is 249.2 billion, with a change of -0.2% compared to May 2002. The total includes 101.4 billion vehicle-miles on rural roads and 147.8 billion vehicle-miles on urban roads and streets."
